courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_1_la_naissance_de_l_islam_622,Imperio bizantino y sasánida,El Imperio bizantino y sasánida,referenceHistorique,"Las dos potencias que rodeaban la península arábiga en el siglo VII. Bizancio (Imperio romano de Oriente) y los sasánidas (imperio persa zoroástrico) se agotaban en una guerra interminable, abriendo el camino a las conquistas árabes.",short_form
course_1_la_naissance_de_l_islam_622,Umma,La Umma,concept,"Comunidad de creyentes musulmanes, que trasciende las fronteras tribales. Todos los musulmanes forman un solo cuerpo independientemente de su origen.",short_form
course_1_la_naissance_de_l_islam_622,yihad,La yihad,concept,Término árabe que significa literalmente «esfuerzo». Designa el esfuerzo interior para mejorar y la defensa armada de la comunidad.,short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,Cisma de 1054,El Cisma de 1054,evenementConnexe,"Ruptura definitiva entre la Iglesia católica romana y la Iglesia ortodoxa, sobre la autoridad papal y la cuestión del Filioque. Este cisma hizo que las relaciones entre Bizancio y Roma fueran complejas en el momento en que Alejo I Comneno solicitaba ayuda militar.",short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,indulgencia plenaria,La indulgencia plenaria,concept,"Remisión total de las penas debidas por los pecados, concedida por el papa. Urbano II prometió una a todos los participantes en la cruzada - un poderoso motor de movilización en una sociedad profundamente religiosa.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,hunos,Los hunos,referenceHistorique,"Pueblo nómada de Asia Central que irrumpió en Europa hacia el 370, empujando a los godos y otros pueblos germánicos a cruzar las fronteras romanas para huir. Su líder Atila asolará Europa en los años 450.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,foedus romano,El foedus romano,concept,"Tratado por el cual Roma autorizaba a un pueblo Bárbaro a instalarse en su territorio a cambio de un servicio militar. Los visigodos obtuvieron un foedus en 382, pero Roma no lo respetó, lo que explica la revuelta de Alarico.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,división del Imperio en 395,La división del Imperio en 395,evenementConnexe,"A la muerte de Teodosio I, el Imperio fue repartido entre sus dos hijos: Honorio al Oeste (capital Rávena) y Arcadio al Este (Constantinopla). Esta división permanente debilitó la respuesta a las invasiones.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,ciudad de Dios,La ciudad de Dios,referenceHistorique,Tratado teológico y filosófico de San Agustín redactado tras el saco de Roma para justificar el cristianismo frente a las críticas paganas.,short_form
course_4_le_couronnement_de_charlemagne_800,Sacro Imperio Romano Germánico,El Sacro Imperio Romano Germánico,concept,"Entidad política nacida de la coronación de Carlomagno, que pretendía encarnar la continuidad del Imperio romano en Occidente bajo autoridad cristiana. Perdudaría hasta 1806 y estructuraría el espacio germánico durante mil años.",short_form
course_4_le_couronnement_de_charlemagne_800,missi dominici,Los missi dominici,concept,"«Enviados del señor» carolingios: inspectores reales enviados por parejas (un obispo, un laico) para controlar la administración local y administrar justicia en nombre del emperador. Instrumento clave del gobierno carolingio sobre un territorio inmenso.",short_form
course_5_la_magna_carta_1215,sistema feudal,El sistema feudal,concept,Organización medieval basada en vínculos personales: el soberano otorga tierras (feudo) a cambio de servicio militar y fidelidad. La Magna Carta fue arrancada en este marco contractual: los barones recordaron al rey sus obligaciones.,short_form
course_5_la_magna_carta_1215,1204,La pérdida de Normandía (1204),evenementConnexe,"Evento mayor donde Juan sin Tierra perdió sus posesiones frente a Felipe II Augusto, provocando la crisis fiscal que dio origen a la Magna Carta.",short_form
course_5_la_magna_carta_1215,La pérdida de Normandía,La pérdida de Normandía (1204),evenementConnexe,"Evento mayor donde Juan sin Tierra perdió sus posesiones frente a Felipe II Augusto, provocando la crisis fiscal que dio origen a la Magna Carta.",short_form
course_5_la_magna_carta_1215,pérdida de Normandía (1204),La pérdida de Normandía (1204),evenementConnexe,"Evento mayor donde Juan sin Tierra perdió sus posesiones frente a Felipe II Augusto, provocando la crisis fiscal que dio origen a la Magna Carta.",short_form
course_5_la_magna_carta_1215,habeas corpus,El habeas corpus,concept,"Principio jurídico que protege contra los arrestos arbitrarios: toda persona detenida debe ser presentada ante un juez. Herencia directa de la cláusula 39 de la Magna Carta, se ha convertido en un pilar del derecho anglosajón.",short_form
course_6_la_peste_noire_en_europe_1347_1353,teoría de los miasmas,La teoría de los miasmas,concept,Creencia médica medieval según la cual las enfermedades eran causadas por vapores impuros que emanaban de aguas estancadas y cadáveres. Explica la impotencia total de la medicina ante la Peste: no se podía curar lo que no se comprendía.,short_form
course_6_la_peste_noire_en_europe_1347_1353,repúblicas marítimas italianas,Las repúblicas marítimas italianas,lieuInstitution,"Génova y Venecia, cuyos barcos comerciales unían el Mar Negro con Europa, fueron los vectores de la epidemia. Barcos genoveses introdujeron la peste en Sicilia en 1347, propagando la bacteria a través de sus redes comerciales mediterráneas.",short_form
course_6_la_peste_noire_en_europe_1347_1353,1348-1349,Los pogromos contra los judíos (1348-1349),evenementConnexe,Juana de Arco y la Guerra de los Cien Años (1429),short_form
course_6_la_peste_noire_en_europe_1347_1353,Los pogromos contra los judíos,Los pogromos contra los judíos (1348-1349),evenementConnexe,Juana de Arco y la Guerra de los Cien Años (1429),short_form
course_6_la_peste_noire_en_europe_1347_1353,pogromos contra los judíos (1348-1349),Los pogromos contra los judíos (1348-1349),evenementConnexe,Juana de Arco y la Guerra de los Cien Años (1429),short_form
course_6_la_peste_noire_en_europe_1347_1353,Teoría de los miasmas,teoría de los miasmas,concept,Creencia médica medieval según la cual las enfermedades eran causadas por vapores impuros que emanaban de aguas estancadas y cadáveres. Explica la impotencia total de la medicina ante la Peste: no se podía curar lo que no se comprendía.,content_link
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,1420,El tratado de Troyes (1420),evenementConnexe,Juana de Arco y la Guerra de los Cien Años (1429),short_form
