courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Кой е авторът на Les Fleurs du Mal?,"Шарл Бодлер публикува Les Fleurs du Mal през 1857 г., свидетелството за раждане на съвременната поезия.","[""Шарл Бодлер"", ""Пол Верлен"", ""Стефан Маларме"", ""Артюр Рембо""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Защо Les Fleurs du Mal бяха осъдени през 1857 г.?,"Колекцията е осъдена за „възмущение на обществения морал“, скандал, който няма да бъде официално повдигнат до 1949 г.","[""За \""поругаване на обществения морал\"""", ""За плагиатство"", ""За подбуждане към политическо насилие"", ""За застрашаване на държавната сигурност""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,През коя година бяха официално реабилитирани шестте осъдени стихотворения от Les Fleurs du Mal?,"Шестте стихотворения, осъдени през 1857 г., не са официално реабилитирани до 1949 г., 92 години по-късно.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Какво представлява албатросът в раздела „Далак и идеал“?,"Албатросът, величествен в полет, но нелеп, веднъж поставен на земята, представя поета в свят, който не го разбира.","[""Поетът, величествен в полет, но смешен на земята"", ""Пълна свобода на твореца"", ""Неизбежната смърт"", ""Недостижима красота""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Коя част от колекцията прави Париж психологически пейзаж?,"„Парижки картини” превръща града в психологически пейзаж. Поетът се скита там като количка, наблюдател на парижкия живот при Осман.","[""\""Парижки картини\"""", ""„Сплин и идеал“"", ""„Виното“"", ""„смърт“""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Кое стихотворение описва природата като „храм“ от знаци, свързващи аромати, цветове и звуци?","„Кореспонденции” описва природата като храм на знаци. Там сетивата се смесват: парфюми, цветове и звуци реагират един на друг.","[""„Кореспонденции“"", ""„Албатросът“"", ""„Слезка“"", ""„Колекция“""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,Вярно или невярно: Бодлер напълно отхвърля класическите поетични форми като сонета.,"Бодлер, напротив, свързва класическата форма, като сонета и александрината, с радикално нова поетична визия.","[""Вярно"", ""Грешно""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Какво поетично движение открива поетиката на кореспонденцията на Бодлер, пренесена впоследствие от Верлен и Маларме?","Тази поетика на съответствията поставя началото на символизма, впоследствие пренесен от Верлен и Маларме.","[""Символиката"", ""Романтизъм"", ""Натурализъм"", ""Класицизъм""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Кой американски писател, описван като „брат по душа“, е превел Бодлер?","Бодлер превежда Едгар По, когото смята за „брат по душа“, който споделя вкуса му към зловещото.","[""Едгар Алън По"", ""Херман Мелвил"", ""Натаниел Хоторн"", ""Уолт Уитман""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Как Бодлер обобщава своята поетична алхимия на извличане на красота от калта?,Бодлер обобщава своя проект със следната формула: „Ти ми даде своята кал и аз направих злато от нея“.,"[""„Ти ми даде своята кал и аз направих злато от нея“"", ""„Красотата е вечна“"", ""„Злото ражда зло“"", ""„Изкуство заради самото изкуство“""]",0,,,,,,
