id,Titre,Description,Cours
c_4kd6x78samcf,O Corpo Humano: da Cura à Tecnologia,A evolução da nossa relação com a saúde e o progresso biológico.,"A descoberta da penicilina (Fleming, 1928) | A estrutura do ADN (Watson & Crick, 1953) | A IA e o emprego | A saúde mental como questão de sociedade"
c_vblwguvnamcf,Sons e Sentido: A Ciência da **Música**,Por que a **Música** nos toca? Uma exploração entre **Arte** e biologia.,Beethoven: génio e surdez | Por que certos sons nos dão arrepios? | Bach e a música barroca | Como funciona a eletricidade no nosso corpo? | O nascimento da música eletrônica
c_fgpg15z4amcf,O Ouro Negro e a Economia do **Mundo**,Compreender como o petróleo moldou a geopolítica e a ciência moderna.,O petróleo como fonte de conflitos | Como funciona o preço do petróleo? | A Grande Depressão (1929) | O que é o efeito estufa (de verdade) ? | A descoberta do micro-ondas (por acidente)
c_m3308zqbamcf,O Espaço: a Última Fronteira,A conquista do cosmos entre a astrofísica e o imaginário cinematográfico.,"O Big Bang | O que é um buraco negro ? | Kubrick: 2001, uma Odisseia no Espaço | A teoria da relatividade para todos | Haverá vida noutros locais do Universo?"
c_idrry5c5amcf,O Tempo das Revoltas,As grandes viradas sociais e artísticas que redefiniram a liberdade.,"A queda da Bastilha (1789) | A Comuna de Paris (1871) | Bob Dylan e a folk protest | A Liberdade Guiando o Povo, Delacroix | A Revolução Russa (1917)"
c_jbwuzn5zamcf,O Império do Medo,"Exploração dos mecanismos do medo através do suspense, da ciência e das crises mundiais.","Hitchcock e o suspense | Por que temos arrepios? | A crise dos mísseis de Cuba (1962) | 1984, George Orwell | O expressionismo: Munch e O Grito"
c_6870opqzamcf,Arquitetura e Poder,Como as estruturas construídas refletem as crenças e os sistemas políticos.,A democracia ateniense | A arquitetura gótica: as catedrais | O Bauhaus | A queda do muro de Berlim (1989) | A coroação de Carlos Magno (800)
c_7etcora6amcf,O fogo: entre castigo divino e energia,"Estudo do fogo através da **Mitologia**, da geologia e da **História** da tecnologia.","Prometeu: o ladrão de fogo | Porque é que os vulcões entram em erupção? | Frankenstein, Mary Shelley | A transição energética | Fahrenheit 451, Bradbury"
c_nuv73pnuamcf,**Genocídios** e Memória: Nunca mais,"Uma análise histórica, sociológica e judiciária dos **crimes contra a humanidade** no século XX.","A Shoah: mecanismos de um genocídio | O genocídio arménio (1915-1916) | O genocídio no Ruanda (1994) | O julgamento de Nuremberga (1945-1946) | Guernica, Picasso"
c_tl61pxu9amcf,O Homem e o Mar: Mitos e Realidades,Da espuma dos mitos gregos aos desafios geopolíticos contemporâneos dos oceanos.,"A Odisseia, Homero | Moby Dick, Melville | Por que a água do mar é salgada? | O Canal de Suez: por que é estratégico | A subida do nível das águas"
c_9y3ap3px8kck,Mulheres de exceção: da ciência à liberdade,"Um percurso transversal honrando as mulheres que abalaram a **História**, quer se trate de descobertas científicas de grande porte, de lutas sociais ou de **Literatura** fundadora.","A descoberta da radioatividade (Marie Curie) | Rosa Parks e Montgomery (1955) | Frankenstein, Mary Shelley | Joana d'Arc e a Guerra dos Cem Anos (1429)"
g_mpzqlws4_0n3de,O Panteão da Grécia Antiga,Encontre os deuses e heróis que moldaram o imaginário da civilização ocidental.,"O nascimento dos deuses gregos (Cronos, Zeus, o Olimpo) | Hércules e seus 12 trabalhos | Prometeu: o ladrão de fogo | Medusa e Perseu | Teseu e o Minotauro | A democracia ateniense"
g_mpzqlws4_1j8bg,As revoluções científicas,"Da gravitação ao **ADN**, descubra as descobertas que transformaram a nossa compreensão do vivo.","A teoria da gravitação (Newton, 1687) | A teoria da evolução de Darwin (1859) | A estrutura do ADN (Watson & Crick, 1953) | A descoberta da radioatividade (Marie Curie) | A teoria da relatividade para todos"
g_mpzqlws4_24n9h,Iniciação à história da **Arte**,Uma viagem visual das obras-primas do **Renascimento** às rupturas da **Arte** abstrata.,O Renascimento italiano | A Mona Lisa | Caravaggio e o chiaroscuro | O nascimento do impressionismo | O cubismo: Picasso e Braque | A arte abstrata: Kandinsky e Mondrian
g_mpzqlws4_382sp,Desafios ecológicos do século XXI,Compreender os desafios climáticos e as soluções para preservar o nosso planeta.,A subida do nível das águas | As migrações climáticas | A transição energética | Por que as abelhas são vitais? | A economia circular | A água: próxima fonte de conflitos? | O buraco na camada de ozônio (e a sua recuperação)
g_mpzqlws4_4xiac,As distopias literárias,Quando a Literatura imagina o pior dos mundos para melhor questionar o nosso presente.,"1984, George Orwell | Admirável Mundo Novo, Aldous Huxley | Fahrenheit 451, Bradbury | A Revolução dos Bichos, George Orwell | O Processo, Kafka | Os GAFAM: poder e derivas | A desinformação e as fake news"
g_mpzqlws4_5kxjr,As reviravoltas da Guerra Mundial,Mergulhe no coração dos confrontos decisivos que marcaram o meio do século XX.,A Blitzkrieg (1940) | A batalha de Estalinegrado (1942-1943) | Hiroshima e Nagasaki (1945) | A Shoah: mecanismos de um genocídio | O julgamento de Nuremberga (1945-1946)
g_mpzqlws4_6mt1o,Os segredos do cérebro humano,"Explore os mecanismos fascinantes da memória, do sono e da consciência.",Porque é que sonhamos? | Como funciona a memória? | Por que dormimos ? | Por que bocejamos? | Como o cérebro armazena as memórias ? | Como funciona a eletricidade no nosso corpo?
g_mpzqlws4_7r1yy,História da sétima Arte,Os grandes realizadores e os movimentos que revolucionaram a imagem animada.,"Charlie Chaplin e o cinema mudo | Orson Welles e Citizen Kane | Hitchcock e o suspense | A Nouvelle Vague francesa | Kubrick: 2001, uma Odisseia no Espaço"
g_mpzqlws4_8liwv,A epopeia de Ulisses,Siga o percurso do herói de Ítaca através dos mitos e dos textos fundadores.,"A Odisseia, Homero | Ulisses e o Ciclope | Ulisses e as Sereias | A Ilíada, Homero"
g_mpzqlws4_9zcsy,Compreender a Geopolítica atual,As chaves para decifrar as relações de força e as tensões do Mundo moderno.,A rivalidade China–Estados Unidos | A guerra na Ucrânia explicada | A Rússia de Putin | As tensões em torno de Taiwan | O conceito de mundo «multipolar»
g_mpzqlws4_afvtk,Grandes nomes do Teatro,Da tragédia grega dramática aos dramas shakespearianos.,"A tragédia grega e o teatro antigo | O teatro de Shakespeare | Hamlet, Shakespeare | Édipo Rei, Sófocles | Antígona, Sófocles"
g_mpzqlws4_bonja,A era do digital,De A invenção da Internet às derivas das redes sociais e da IA.,A invenção da Internet | Os GAFAM: poder e derivas | A IA e o emprego | A exclusão digital mundial
g_mpzqlws4_cuig5,Esplendores da Idade Média,"Entre castelos, catedrais e grandes epidemias: a Europa medieval.",A coroação de Carlos Magno (800) | A arquitetura gótica: as catedrais | A Peste Negra na Europa (1347-1353) | Joana d'Arc e a Guerra dos Cem Anos (1429) | O apelo de Urbano II e a 1ª Cruzada (1095)
g_mpzqlws4_dtp66,Progresso e Medicina,Como a ciência aprendeu a curar o corpo humano e a combater os vírus.,"A descoberta da penicilina (Fleming, 1928) | A descoberta da anestesia | A descoberta dos raios X (Röntgen, 1895) | Como o sabão mata os vírus?"
g_mpzqlws4_exr09,Os mestres da música,"Do rigor de Bach à fúria de Beethoven, a evolução da harmonia.",Bach e a música barroca | Mozart: prodígio infantil e vida trágica | Beethoven: génio e surdez | A ópera de Verdi | O nascimento da música eletrônica
g_mpzqlws4_fit77,Lutas pela liberdade,Os movimentos civis e as figuras que quebraram as correntes da opressão.,Rosa Parks e Montgomery (1955) | O apartheid e Mandela (1948-1994) | A Comuna de Paris (1871) | A descolonização: panorama (1945-1975) | A queda da Bastilha (1789)
g_mpzqlws4_gcstj,Introdução à filosofia,"As grandes interrogações sobre o Estado, a moral e a condição humana.","A Apologia de Sócrates, Platão | A República, Platão | O Banquete, Platão | O Mito de Sísifo, Camus | Cândido, Voltaire"
g_mpzqlws4_hlrmk,Nos confins do Universo,Uma viagem do nascimento do cosmos aos mistérios dos buracos negros.,O Big Bang | O que é um buraco negro ? | O que é a matéria escura? | Haverá vida noutros locais do Universo? | A teoria da relatividade para todos
g_mpzqlws4_ikf6h,As engrenagens da economia global,"Compreender os fluxos de capitais, as crises e as novas formas de trabalho.","A Grande Depressão (1929) | Os paraísos fiscais explicados | A dívida mundial | A economia de plataforma [Uber, Airbnb...] | O petróleo como fonte de conflitos"
g_mpzqlws4_jwtrk,Fenômenos naturais explicados,Descubra a ciência por trás das manifestações do nosso planeta.,Porque é que os vulcões entram em erupção? | Como se formam os sismos? | Como se formam os raios ? | Por que existem estações? | A fotossíntese explicada de forma simples
