id,Nom,Rareté,Cours
k_fv51zsinebhn,Enkidu,Selten,Gilgamesch: der erste Held der Geschichte
k_x573a31hebhn,Horus,Legendär,Osiris und Set (ägyptische Mythologie)
k_obj2aln3ebhn,Isis,Legendär,Osiris und Set (ägyptische Mythologie) | Re und die Erschaffung der Welt (Ägypten)
k_ieqsp8y2ebhn,Erich von Falkenhayn,Gewöhnlich,Die Schlacht um Verdun (1916)
k_98ttzi6hebhn,Hekatoncheiren,Gewöhnlich,"Die Geburt der griechischen Götter (Kronos, Zeus, Olymp) | Die Titanen gegen die Götter (Titanomachie) | Die Titanen gegen die Götter: die vollständige Titanomachie"
k_hndjjet9ebhn,Iokaste,Selten,"König Ödipus, Sophokles | Ödipus und die Sphinx"
k_w21mq76febhn,Teiresias,Selten,"König Ödipus, Sophokles | Antigone, Sophokles | Antigone: Familienpflicht vs. Staatsgesetz | Narziss und Echo"
k_ovpp78boebhn,Haimon,Gewöhnlich,"Antigone, Sophokles | Antigone: Familienpflicht vs. Staatsgesetz"
k_noy1lpmbebhn,Ismene,Gewöhnlich,"Antigone, Sophokles | Antigone: Familienpflicht vs. Staatsgesetz"
k_aaco2w1jebhn,Innozenz III.,Selten,Magna Carta (1215)
k_9leefxjqebhn,Gottfried von Bouillon,Selten,Der Aufruf Urbans II. und der 1. Kreuzzug (1095)
k_56gablwrebhn,Alexios I. Komnenos,Gewöhnlich,Der Aufruf Urbans II. und der 1. Kreuzzug (1095)
k_fg0m9859ebhn,Umar,Selten,Die Geburt des Islam (622)
k_dctp0svtebhn,Abu Bakr,Selten,Die Geburt des Islam (622)
k_d8a98ncmebhn,Ali,Selten,Die Geburt des Islam (622)
k_t8acp06webhn,Chadidscha,Selten,Die Geburt des Islam (622)
k_seakzzrr7udi,Bruce Springsteen,Legendär,Der Fall der Berliner Mauer (1989)
k_21oehq8h7udi,Mohammed,Legendär,Die Geburt des Islam (622)
k_wtnvf16cooie,Satoshi Nakamoto,Selten,Blockchain und Kryptowährungen
k_hc75qe7uo6r2,Deng Xiaoping,Selten,China und sein Wirtschaftsmodell
k_6ej3vu1pknwx,Clement Attlee,Selten,Die Dekolonisierung: Panorama (1945–1975)
k_akzmgdp9knwx,Talât Pascha,Gewöhnlich,Der Völkermord an den Armeniern (1915-1916)
k_o5gu57xuknwx,Enver Pascha,Gewöhnlich,Der Völkermord an den Armeniern (1915-1916)
k_efzxix81knwx,Philippe Pétain,Selten,Die Schlacht um Verdun (1916) | Der Blitzkrieg (1940)
k_kri3e219knwx,Jean Moulin,Legendär,Der Blitzkrieg (1940)
k_pvl2e9ydknwx,Josef Stalin,Legendär,Die Russische Revolution (1917) | Die Schlacht von Stalingrad (1942-1943)
k_d4xdfwq9knwx,Ulysses S. Grant,Selten,Der Amerikanische Bürgerkrieg (1861-1865)
k_th8s1n1pknwx,Robert E. Lee,Selten,Der Amerikanische Bürgerkrieg (1861-1865)
k_7h5vm83hknwx,Jefferson Davis,Selten,Der Amerikanische Bürgerkrieg (1861-1865)
k_l89k6p83knwx,Franklin D. Roosevelt,Legendär,Die Weltwirtschaftskrise (1929)
k_7gxrm1gvknwx,John Maynard Keynes,Selten,Die Weltwirtschaftskrise (1929)
k_ioq088lbknwx,Süleyman der Prächtige,Legendär,Der Fall von Konstantinopel (1453)
k_v9vm9jyxknwx,Jean Monnet,Selten,Die Geburt der EU: von der EGKS bis Maastricht
k_sl825i0xjnyk,David Ben-Gurion,Selten,Die Entstehung des israelisch-palästinensischen Konflikts
k_x9i4i5v6jnyk,Hades,Selten,Demeter und Persephone (die Jahreszeiten)
k_gs97msdzjnyk,Louis Pasteur,Legendär,Wie funktioniert ein Impfstoff?
k_r9y0tpcyjnyk,Robert Schuman,Selten,Die Geburt der EU: von der EGKS bis Maastricht
k_t61ypzg3jnyk,Grigori Rasputin,Selten,Die Russische Revolution (1917)
k_zoykdaxwjnyk,Julius Cäsar,Legendär,Aeneas und die Gründung Roms (Vergil)
k_2999c25zjnyk,Alexander der Große,Legendär,Die griechische Tragödie und das antike Theater
k_tgqvnd1zjnyk,Martin Luther King Jr.,Legendär,Rosa Parks und Montgomery (1955)
k_kbt6e5mdjnyk,Mark Anton,Selten,Aeneas und die Gründung Roms (Vergil)
k_8lkhkiwienj7,Enrico Fermi,Selten,Hiroshima und Nagasaki (1945)
k_b7w32ewnenj7,Saladin,Selten,Der Aufruf Urbans II. und der 1. Kreuzzug (1095)
k_pnlz2a6genj7,Xi Jinping,Legendär,Die Rivalität zwischen China und den USA | China und sein Wirtschaftsmodell
k_yprjq5fmenj7,Wolodymyr Selenskyj,Legendär,Der Ukraine-Krieg erklärt
k_7r4t75noenj7,Theodor Herzl,Gewöhnlich,Die Entstehung des israelisch-palästinensischen Konflikts
