courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_1_la_naissance_de_l_islam_622,Império Bizantino e o Sassânida,O Império Bizantino e o Sassânida,referenceHistorique,"As duas potências que rodeavam a península arábica no século VII. Bizâncio (Império Romano do Oriente) e os Sassânidas (império persa zoroastrista) esgotavam-se numa guerra interminável, abrindo caminho para as conquistas árabes.",short_form
course_1_la_naissance_de_l_islam_622,Umma,A Umma,concept,"Comunidade dos crentes muçulmanos, transcendendo as fronteiras tribais. Todos os muçulmanos formam um só corpo, independentemente da sua origem.",short_form
course_1_la_naissance_de_l_islam_622,jihad,A jihad,concept,Termo árabe que significa literalmente «esforço». Designa o esforço interior para se melhorar e a defesa armada da comunidade.,short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,Cisma de 1054,O Cisma de 1054,evenementConnexe,"Ruptura definitiva entre a Igreja Católica Romana e a Igreja Ortodoxa, sobre a autoridade papal e a questão do Filioque. Este cisma tornava as relações entre Bizâncio e Roma complexas no momento em que Aleixo I Comneno pedia ajuda militar.",short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,indulgência plenária,A indulgência plenária,concept,"Remissão total das penas devidas aos pecados, concedida pelo Papa. Urbano II prometeu uma a todos os participantes na cruzada - um poderoso motor de mobilização numa sociedade profundamente religiosa.",short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,Batailha de Manziquerta,Batalha de Manziquerta,evenementConnexe,"Derrota importante do Império Bizantino frente aos Turcos Seljúcidas em 1071, provocando a perda da Anatólia e o declínio militar de Bizâncio.",content_link
course_3_la_prise_de_rome_par_les_wisigoths_410,Hunos,Os Hunos,referenceHistorique,"Povo nômade da Ásia Central que avançou sobre a Europa por volta de 370, pressionando os Godos e outros povos germânicos a atravessar as fronteiras romanas para fugir. Seu líder Átila devastaria a Europa nos anos 450.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,foedus romano,O foedus romano,concept,"Tratado pelo qual Roma autorizava um povo Bárbaro a instalar-se no seu território em troca de serviço militar. Os Visigodos obtiveram um foedus em 382, mas Roma não o respeitou, o que explica a revolta de Alarico.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,divisão do Império em 395,A divisão do Império em 395,evenementConnexe,"Aquando da morte de Teodósio I, o Império foi partilhado entre os seus dois filhos: Honório a Oeste (capital Ravena) e Arcádio a Leste (Constantinopla). Esta divisão permanente enfraqueceu a resposta às invasões.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,Cidade de Deus,A Cidade de Deus,referenceHistorique,Tratado teológico e filosófico de Santo Agostinho redigido após o saque de Roma para justificar o cristianismo face às críticas pagãs.,short_form
