Nom du cours,Classification,Terme,Explication
La naissance de l'islam (622),Référence historique,L'Empire byzantin et sassanide,"Les deux puissances encadrant la péninsule arabique au VIIe siècle. Byzance (Empire romain d'Orient) et les Sassanides (empire perse zoroastrien) s'épuisaient dans une guerre interminable, ouvrant la voie aux conquêtes arabes."
La naissance de l'islam (622),Concept,La Oumma,"Communauté des croyants musulmans, transcendant les frontières tribales. Tous les musulmans forment un seul corps quelle que soit leur origine."
La naissance de l'islam (622),Concept,Le djihad,Terme arabe signifiant littéralement «effort». Désigne l'effort intérieur pour s'améliorer et la défense armée de la communauté.
L'appel d'Urbain II et la 1re Croisade (1095),Événement connexe,Le Schisme de 1054,"Rupture définitive entre l'Église catholique romaine et l'Église orthodoxe, sur l'autorité papale et la question du Filioque. Ce schisme rendait les relations entre Byzance et Rome complexes au moment où Alexis Ier demandait de l'aide militaire."
L'appel d'Urbain II et la 1re Croisade (1095),Personnage,Alexis Ier Comnène,Empereur byzantin qui envoya une ambassade au pape Urbain II pour demander des mercenaires contre les Turcs Seldjoukides. Sa demande modeste déclencha involontairement la mobilisation massive de la première croisade.
L'appel d'Urbain II et la 1re Croisade (1095),Concept,L'indulgence plénière,"Rémission totale des peines dues aux péchés, accordée par le pape. Urbain II en promit une à tous les participants à la croisade - puissant moteur de mobilisation dans une société profondément religieuse."
La prise de Rome par les Wisigoths (410),Référence historique,Les Huns,"Peuple nomade d'Asie centrale qui déferlèrent sur l'Europe vers 370, poussant les Goths et autres peuples germaniques à traverser les fontières romaines pour fuir. Leur chef Attila ravagera l'Europe dans les années 450."
La prise de Rome par les Wisigoths (410),Concept,Le foedus romain,"Traité par lequel Rome autorisait un peuple barbare à s'installer sur son territoire en échange d'un service militaire. Les Wisigoths obtinrent un foedus en 382, mais Rome ne le respecta pas, ce qui explique la révolte d'Alaric."
La prise de Rome par les Wisigoths (410),Événement connexe,La division de l'Empire en 395,"À la mort de Théodose Ier, l'Empire fut partagé entre ses deux fils : Honorius à l'Ouest (capitale Ravenne) et Arcadius à l'Est (Constantinople). Cette division permanente affaiblit la réponse aux invasions."
Le couronnement de Charlemagne (800),Concept,Le Saint-Empire romain germanique,"Entité politique née du couronnement de Charlemagne, prétendant incarner la continuité de l'Empire romain en Occident sous autorité chrétienne. Elle perdurera jusqu'en 1806 et structurera l'espace germanique pendant mille ans."
Le couronnement de Charlemagne (800),Concept,Les missi dominici,"«Envoyés du maître» carolingiens : inspecteurs royaux envoyés par paires (un évêque, un laïc) pour contrôler l'administration locale et rendre la justice au nom de l'empereur. Instrument clé du gouvernement carolingien sur un territoire immense."
Le couronnement de Charlemagne (800),Personnage,Alcuin de York,"Savant anglais que Charlemagne fit venir pour diriger l'école palatine d'Aix-la-Chapelle. Il supervisa la réforme de l'écriture et de l'enseignement, formant une génération d'administrateurs lettrés qui maintinrent l'empire."
La Magna Carta (1215),Concept,Le système féodal,Organisation médiévale fondée sur des liens personnels : le suzerain accorde des terres (fief) en échange de service militaire et de fidélité. La Magna Carta fut arrachée dans ce cadre contractuel : les barons rappelèrent au roi ses obligations.
La Magna Carta (1215),Événement connexe,La perte de la Normandie (1204),"Évènement majeur où Jean sans Terre perdit ses possessions face à Philippe II Auguste, provoquant la crise fiscale à l'origine de la Magna Carta."
La Magna Carta (1215),Concept,L'habeas corpus,"Principe juridique protégeant contre les arrestations arbitraires : toute personne arrêtée doit être présentée à un juge. Héritage direct de la clause 39 de la Magna Carta, il est devenu un pilier du droit anglo-saxon."
La Peste noire en Europe (1347-1353),Concept,La théorie des miasmes,Croyance médicale médiévale selon laquelle les maladies étaient causées par des vapeurs impures émanant des eaux stagnantes et des cadavres. Elle explique l'impuissance totale de la médecine face à la Peste - on ne pouvait pas soigner ce qu'on ne comprenait pas.
La Peste noire en Europe (1347-1353),Lieu / institution,Les républiques marchandes italiennes,"Gênes et Venise, dont les navires commerciaux reliaient la mer Noire à l'Europe, furent les vecteurs de l'épidémie. Des navires génois introduisirent la peste en Sicile en 1347, propageant la bactérie via leurs réseaux commerciaux méditerranéens."
La Peste noire en Europe (1347-1353),Événement connexe,Les pogroms de Juifs (1348-1349),"Accusés d'empoisonner les puits, des dizaines de milliers de Juifs furent massacrés en Allemagne et en France pendant la Peste. Le pape Clément VI les défendit mais fut peu écouté dans les villes dévastées cherchant des boucs émissaires."
Jeanne d'Arc et la Guerre de Cent Ans (1429),Événement,Le traité de Troyes (1420),"Accord par lequel Charles VI de France déshérite son fils, le dauphin Charles, au profit du roi d'Angleterre Henri V, créant une union dynastique franco-anglaise."
Jeanne d'Arc et la Guerre de Cent Ans (1429),Concept,Le sacre de Reims,"Cérémonie par laquelle le roi de France était oint de l'huile sainte, lui conférant un caractère quasi sacré. Seul un roi sacré à Reims était pleinement légitime aux yeux de l'Église et du peuple - d'où l'urgence pour Jeanne d'y mener Charles VII."
Jeanne d'Arc et la Guerre de Cent Ans (1429),Référence historique,Les Bourguignons,"Faction française alliée aux Anglais, menée par le duc de Bourgogne (Philippe le Bon en 1429). Leur alliance avec l'Angleterre fut brisée par le traité d'Arras en 1435."
