courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_1_la_naissance_de_l_islam_622,bysantinska och sassanidiska riket,Det bysantinska och sassanidiska riket,referenceHistorique,"De två makterna som omgav den arabiska halvön på 700-talet. Bysans (östromerska riket) och sassaniderna (zoroastriska persiska riket) utmattade sig själva i ett oändligt krig, vilket banade väg för arabiska erövringar.",short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,heliga gravens förespråkare,Den heliga gravens förespråkare,concept,"Titel innehas av Godfrey av Bouillon, som vägrade titeln kung av Jerusalem av religiös ödmjukhet.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,romerska foedus,Den romerska foedus,concept,"Fördrag genom vilket Rom tillät ett barbariskt folk att bosätta sig på dess territorium i utbyte mot militärtjänst. Västgoterna fick foedus 382, ​​men Rom respekterade det inte, vilket förklarar Alarics uppror.",short_form
course_4_le_couronnement_de_charlemagne_800,heliga romerska riket,Det heliga romerska riket,concept,"Politisk enhet född från The Coronation of Charlemagne (800), som påstår sig förkroppsliga kontinuiteten i det romerska imperiet i väst under kristen auktoritet. Det varade till 1806 och strukturerade det germanska rummet i tusen år.",short_form
course_5_la_magna_carta_1215,förlusten av Normandie,förlusten av Normandie (1204),evenementConnexe,"Stor händelse där John Lackland förlorade sina ägodelar till Philip II Augustus, vilket provocerade fram finanskrisen vid ursprunget till Magna Carta (1215).",short_form
course_6_la_peste_noire_en_europe_1347_1353,italienska sjörepublikerna,De italienska sjörepublikerna,lieuInstitution,"Genua och Venedig, vars kommersiella fartyg länkade Svarta havet till Europa, var smittbärarna för epidemin. Genuesiska fartyg introducerade pesten till Sicilien 1347 och spred bakterierna genom deras handelsnätverk i Medelhavet.",short_form
course_6_la_peste_noire_en_europe_1347_1353,judiska pogromerna (1348-1349),De judiska pogromerna (1348-1349),evenementConnexe,"Anklagade för att ha förgiftat brunnar, massakrerades tiotusentals judar i Tyskland och Frankrike under pesten. Påven Clemens VI försvarade dem men hördes lite i ödelagda städer som letade efter syndabockar.",short_form
course_6_la_peste_noire_en_europe_1347_1353,judiska pogromerna,De judiska pogromerna,evenementConnexe,"Anklagade för att ha förgiftat brunnar, massakrerades tiotusentals judar i Tyskland och Frankrike under pesten. Påven Clemens VI försvarade dem men hördes lite i ödelagda städer som letade efter syndabockar.",short_form
course_6_la_peste_noire_en_europe_1347_1353,Judiska pogromer,Judiska pogromer (1348-1349),evenementConnexe,"Anklagade för att ha förgiftat brunnar, massakrerades tiotusentals judar i Tyskland och Frankrike under pesten. Påven Clemens VI försvarade dem men hördes lite i ödelagda städer som letade efter syndabockar.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,Troyes-fördraget,Troyes-fördraget (1420),evenementConnexe,"En överenskommelse genom vilken Karl VI av Frankrike tar bort sin son, Dauphin Charles, till förmån för kungen av England Henry V, vilket skapar en fransk-engelsk dynastisk union.",short_form
