courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_5_la_magna_carta_1215,ztráta Normandie,ztráta Normandie (1204),evenementConnexe,"Významná událost, kdy John Lackland ztratil svůj majetek ve prospěch Filipa II. Augusta, což vyvolalo fiskální krizi u vzniku Magna Charta (1215).",short_form
course_6_la_peste_noire_en_europe_1347_1353,1348–1349,Židovské pogromy (1348–1349),evenementConnexe,"Desetitisíce Židů, obviněných z otravy studní, byly v Německu a Francii zmasakrovány během moru. Papež Klement VI. je bránil, ale ve zdevastovaných městech byl málo slyšet, jak hledat obětní beránky.",short_form
course_8_la_chute_de_constantinople_1453,vyplenění Konstantinopole 4. křížovou výpravou,vyplenění Konstantinopole 4. křížovou výpravou (1204),evenementConnexe,"Křižáci, odkloněni Benátkami, v roce 1204 na tři dny drancovali křesťanskou Konstantinopol. Toto trauma trvale oslabilo Byzanc a vysvětluje byzantskou nedůvěru k Západu během obléhání v roce 1453.",short_form
course_10_la_decouverte_de_l_amerique_1492,Španělská reconquista,Španělská reconquista (1492),evenementConnexe,"Triumf dobytí Granady uvolnil zdroje a vytvořil impuls národních ambicí, který vysvětluje podporu Isabelly Kastilské pro Kolumba.",short_form
course_10_la_decouverte_de_l_amerique_1492,Tordesillaská smlouva,Tordesillaská smlouva (1494),evenementConnexe,Dohoda arbitrovaná papežem rozdělující svět na dvě sféry vlivu mezi Španělsko (západ) a Portugalsko (východ).,short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,Bitva u Trafalgaru,Bitva u Trafalgaru (21. října 1805),evenementConnexe,"Nelsonovo rozhodující námořní vítězství nad francouzsko-španělskou flotilou, ve stejný týden jako Ulm. To ukončilo plány na invazi do Anglie a vysvětluje, proč Napoleon nikdy nemohl porazit britskou námořní moc.",short_form
course_14_la_commune_de_paris_1871,First International,The International Workingmen's Association (First International),lieuInstitution,"Organizace založená v Londýně v roce 1864 sdružující odbory a dělnické strany z několika zemí. Ačkoli Komuna nebyla jejím přímým dílem, Marx ji oslavoval jako první zkušenost dělnické moci.",short_form
course_14_la_commune_de_paris_1871,The International Workingmen's Association,The International Workingmen's Association (First International),lieuInstitution,"Organizace založená v Londýně v roce 1864 sdružující odbory a dělnické strany z několika zemí. Ačkoli Komuna nebyla jejím přímým dílem, Marx ji oslavoval jako první zkušenost dělnické moci.",short_form
course_20_hiroshima_et_nagasaki_1945,syndrom akutního ozáření,Nemoc z ozáření (syndrom akutního ozáření),concept,"Syndrom způsobený expozicí záření: nevolnost, vypadávání vlasů, vnitřní krvácení, selhání imunity. Desetitisíce přeživších zemřely v následujících týdnech na tuto nemoc, kterou tehdy lékaři neznali.",short_form
course_21_rosa_parks_et_montgomery_1955,Brown v. Board of Education,Brown v. Board of Education (1954),evenementConnexe,"Rozhodnutí Nejvyššího soudu USA prohlásilo segregaci ve veřejných školách za protiústavní. Toto rozhodnutí dalo právní impuls Hnutí za občanská práva a vysvětluje, proč byl Montgomery poté také napaden u soudů.",short_form
