courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Who is the author of Les Fleurs du Mal?,"Charles Baudelaire published Les Fleurs du Mal in 1857, the birth certificate of modern poetry.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Why were Les Fleurs du Mal condemned in 1857?,"The collection was condemned for “outrage to public morals”, a scandal which would not be officially lifted until 1949.","[""For “outrage to public morals”"", ""For plagiarism"", ""For inciting political violence"", ""For endangering state security""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,In what year were the six condemned poems from Les Fleurs du Mal officially rehabilitated?,"The six poems condemned in 1857 were not officially rehabilitated until 1949, 92 years later.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,What does the albatross represent in the “Spleen and Ideal” section?,"The albatross, majestic in flight but ridiculous once placed on the ground, represents the poet in a world that does not understand him.","[""The poet, majestic in flight but ridiculous on the ground"", ""Total freedom of the artist"", ""The inevitable death"", ""Unattainable beauty""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Which section of the collection makes Paris a psychological landscape?,"“Parisian Paintings” turns the city into a psychological landscape. The poet wanders there as a stroller, an observer of Parisian life under Haussmann.","[""“Parisian paintings”"", ""“Spleen and Ideal”"", ""“The Wine”"", ""“Death”""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Which poem describes nature as a “temple” of signs linking scents, colors and sounds?","“Correspondences” describes nature as a temple of signs. The senses mix there: perfumes, colors and sounds respond to each other.","[""“Correspondence”"", ""“The Albatross”"", ""“Spleen”"", ""“Collection”""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,True or false: Baudelaire entirely rejects classical poetic forms like the sonnet.,"Baudelaire, on the contrary, links the classical form, such as the sonnet and the alexandrine, to a radically new poetic vision.","[""True"", ""False""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"What poetic movement did the poetics of Baudelaire's correspondence found, subsequently carried by Verlaine and Mallarmé?","This poetics of correspondences founded symbolism, subsequently carried by Verlaine and Mallarmé.","[""The symbolism"", ""Romanticism"", ""Naturalism"", ""Classicism""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Which American writer, described as a “soul brother”, did Baudelaire translate?","Baudelaire translated Edgar Poe, whom he considered a “soul brother” who shared his taste for the macabre.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,How does Baudelaire summarize his poetic alchemy of extracting beauty from mud?,Baudelaire summarizes his project with this formula: “You gave me your mud and I made gold from it”.,"[""“You gave me your mud and I made gold from it”"", ""“Beauty is eternal”"", ""“Evil begets evil”"", ""“Art for art’s sake”""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,What is George Orwell's real name?,George Orwell is the pseudonym of Eric Arthur Blair.,"[""Eric Arthur Blair"", ""George Bernard Shaw"", ""Aldous Huxley"", ""Herbert George Wells""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,What conflict did Orwell fight before writing 1984?,"Orwell fought in 1936-1937 in the POUM militias during the Spanish Civil War, where he was injured.","[""The Spanish Civil War"", ""The First World War"", ""The Boer War"", ""The Algerian War""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q3,mcq,"What struck Orwell the most during this experience, beyond the violence?","What strikes Orwell the most is seeing newspapers rewrite the past and erase fighters, an obsession with state lies which fuels the novel.","[""The falsification of facts and the past through propaganda"", ""Lack of food"", ""The betrayal of his comrades"", ""Censorship of the foreign press""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q4,mcq,What real totalitarian regime inspires the Oceania system?,The Oceania system is particularly inspired by Soviet totalitarianism as a model.,"[""Soviet totalitarianism"", ""Italian fascism"", ""The Vichy regime"", ""The British Empire""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q5,mcq,What is the name of the single party that runs Oceania?,"Oceania is run by Ingsoc, which is based on four paradoxical ministries: Peace, Abundance, Love and Truth.","[""Ingsoc"", ""The People's Party"", ""The Red League"", ""The Central Block""]",0,,,,,,
