courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Kto jest autorem Les Fleurs du Mal?,"Charles Baudelaire opublikował w 1857 roku Les Fleurs du Mal, akt urodzenia współczesnej poezji.","[""Charlesa Baudelaire’a"", ""Paula Verlaine’a"", ""Stephane Mallarmé"", ""Artur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Dlaczego w 1857 roku potępiono Les Fleurs du Mal?,"Zbiór potępiono za „obrazę moralności publicznej”, co było skandalem, który został oficjalnie zniesiony dopiero w 1949 roku.","[""Za „obrażenie moralności publicznej”"", ""Za plagiat"", ""Za nawoływanie do przemocy politycznej"", ""Za zagrażanie bezpieczeństwu państwa""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,W którym roku oficjalnie zrehabilitowano sześć potępionych wierszy z Les Fleurs du Mal?,"Sześć wierszy potępionych w 1857 r. zostało oficjalnie zrehabilitowanych dopiero w 1949 r., 92 lata później.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Co reprezentuje albatros w części „Śledziona i ideał”?,"Albatros, majestatyczny w locie, ale śmieszny po umieszczeniu na ziemi, reprezentuje poetę w świecie, który go nie rozumie.","[""Poeta majestatyczny w locie, ale śmieszny na ziemi"", ""Całkowita dowolność artysty"", ""Nieunikniona śmierć"", ""Nieosiągalne piękno""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Która część kolekcji czyni Paryż krajobrazem psychologicznym?,"„Malarstwo paryskie” zamienia miasto w psychologiczny krajobraz. Poeta przechadza się tam jako spacerowicz, obserwator paryskiego życia za czasów Haussmanna.","[""„Malarstwo paryskie”"", ""„Śledziona i ideał”"", ""„Wino”"", ""\""Śmierć\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Który wiersz opisuje naturę jako „świątynię” znaków łączących zapachy, kolory i dźwięki?","„Korespondencje” opisują przyrodę jako świątynię znaków. Mieszają się tam zmysły: zapachy, kolory i dźwięki wzajemnie na siebie oddziałują.","[""„Korespondencje”"", ""„Albatros”"", ""\""Śledziona\"""", ""\""Kolekcja\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,"Prawda czy fałsz: Baudelaire całkowicie odrzuca klasyczne formy poetyckie, takie jak sonet.","Baudelaire natomiast łączy formę klasyczną, taką jak sonet i aleksandryn, z radykalnie nową wizją poetycką.","[""Prawda"", ""Fałsz""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Jaki nurt poetycki odnalazła poetyka korespondencji Baudelaire’a, kontynuowanej później przez Verlaine’a i Mallarmégo?","Ta poetyka korespondencji dała początek symbolice, którą później przejęli Verlaine i Mallarmé.","[""Symbolika"", ""Romantyzm"", ""Naturalizm"", ""Klasycyzm""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Którego amerykańskiego pisarza, określanego mianem „brata duszy”, Baudelaire przetłumaczył?","Baudelaire przetłumaczył Edgara Poe, którego uważał za „brata duszę”, który podzielał jego upodobanie do makabry.","[""Edgara Allana Poe"", ""Hermana Melville’a"", ""Nathaniela Hawthorne’a"", ""Walta Whitmana""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Jak Baudelaire podsumowuje swoją poetycką alchemię wydobywania piękna z błota?,"Baudelaire podsumowuje swój projekt następującą formułą: „Daliście mi swoje błoto, a ja zrobiłem z niego złoto”.","[""„Daliście mi swoje błoto, a ja zrobiłem z niego złoto”"", ""„Piękno jest wieczne”"", ""„Zło rodzi zło”"", ""„Sztuka dla sztuki”""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,Jak naprawdę nazywa się George Orwell?,George Orwell to pseudonim Erica Arthura Blaira.,"[""Erica Arthura Blaira"", ""George'a Bernarda Shawa"", ""Aldousa Huxleya"", ""Herberta George’a Wellsa""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,Z jakim konfliktem walczył Orwell przed napisaniem Roku 1984?,"Orwell walczył w latach 1936-1937 w milicji POUM podczas hiszpańskiej wojny domowej, gdzie został ranny.","[""Wojna domowa w Hiszpanii"", ""Pierwsza wojna światowa"", ""Wojna Burska"", ""Wojna algierska""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q3,mcq,"Co, poza przemocą, najbardziej uderzyło Orwella podczas tego doświadczenia?","Tym, co najbardziej uderza Orwella, jest to, że gazety piszą na nowo przeszłość i wymazują bojowników – obsesja na punkcie kłamstw państwa, która napędza powieść.","[""Fałszowanie faktów i przeszłości poprzez propagandę"", ""Brak jedzenia"", ""Zdrada jego towarzyszy"", ""Cenzura prasy zagranicznej""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q4,mcq,Jaki prawdziwy reżim totalitarny inspiruje system Oceanii?,System Oceanii jest szczególnie inspirowany sowieckim totalitaryzmem jako modelem.,"[""Totalitaryzm sowiecki"", ""Włoski faszyzm"", ""Reżim Vichy"", ""Imperium Brytyjskie""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q5,mcq,Jak nazywa się jedyna partia rządząca Oceanią?,"Oceanią zarządza Ingsoc, która opiera się na czterech paradoksalnych ministerstwach: Pokoju, Obfitości, Miłości i Prawdy.","[""Ingsoc"", ""Partia Ludowa"", ""Liga Czerwona"", ""Blok Centralny""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q6,mcq,Co Winston Smith robi w pracy w Ministerstwie Prawdy?,"Winston Smith pracuje w Ministerstwie Prawdy, gdzie wymazuje przeszłość, aby dopasować ją do teraźniejszości określonej przez Partię.","[""Wymazuje i przepisuje przeszłość, aby dopasować ją do teraźniejszości Partii"", ""Monitoruje obywateli za pomocą teleekranów"", ""Pisze przemówienia Wielkiego Brata"", ""Szkoli nowych członków Partii""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q7,mcq,Jak nazywa się umiejętność zaakceptowania dwóch sprzecznych prawd na raz w roku 1984?,"Dwumyślenie odnosi się do zdolności zaakceptowania dwóch sprzecznych prawd na raz, co stanowi filar kontroli umysłu Partii.","[""Podwójne myślenie"", ""Nowomowa"", ""Teleekran"", ""Ingsoc""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q8,mcq,Dlaczego partia redukuje słownictwo poprzez nowomowę?,"Nowomowa ogranicza dostępne słownictwo, uniemożliwiając sformułowanie samego krytycznego myślenia.","[""Aby uniemożliwić krytyczne myślenie"", ""Aby uprościć administrację"", ""Aby ułatwić handel międzynarodowy"", ""Ujednolicenie dialektów regionalnych""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q9,chronological,Uporządkuj te etapy życia i twórczości Orwella.,"Te cztery etapy wyznaczają karierę Orwella: hiszpańska wojna domowa (1936–1937), Folwark zwierzęcy (1945), 1984 (1949) i jego śmierć w 1950 r.",,,"[""Orwell walczył w milicji POUM podczas hiszpańskiej wojny domowej"", ""Publikuje Farmę Zwierzęcą"", ""Opublikował 1984"", ""Zmarł w Szkocji wkrótce po opublikowaniu swojej powieści.""]",,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q10,trueFalse,Prawda czy fałsz: pod koniec powieści Winston Smith pokochał Wielkiego Brata.,"Totalitaryzm zwycięża na poziomie psychologicznym: Winston nie tylko jest posłuszny, ale zaczyna pokochać Wielkiego Brata.","[""Prawda"", ""Fałsz""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q1,mcq,Jakie wydarzenie historyczne przedstawia Folwark Zwierzęcy w formie alegorii?,Orwell przenosi główne etapy rewolucji rosyjskiej i stalinowskiej zdrady w zwierzęcą bajkę.,"[""Rewolucja Rosyjska"", ""Rewolucja Francuska"", ""Wojna domowa w Hiszpanii"", ""Angielska rewolucja przemysłowa""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q2,mcq,Jakie zwierzę reprezentuje Stalin w alegorii Orwella?,"Napoleon, świnia, która po pogoni za Snowballem przejmuje władzę siłą, wzoruje się na postaci Stalina.","[""Napoleon"", ""Stary Major"", ""Śnieżna kula"", ""Malabar""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q3,trueFalse,"Prawda czy fałsz: Wydawca T.S. Eliot odmówił publikacji rękopisu Orwella, obawiając się, że sprytne świnie obrazą mężów stanu.","T.S. Eliot, ówczesny redaktor, faktycznie odrzucił rękopis z tego powodu.","[""Prawda"", ""Fałsz""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q4,mcq,Co w alegorii przedstawiają psy Napoleona?,Psy wyszkolone przez Napoleona do ścigania Snowballa i terroryzowania farmy reprezentują sowiecką tajną policję.,"[""Tajna policja"", ""Regularna armia cara"", ""Buntujący się chłopi"", ""Oficjalni dziennikarze""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q5,mcq,Które zwierzę uosabia proletariat wyzyskiwany do granic wyczerpania?,"Malabar, oddany i niestrudzony koń pociągowy, symbolizuje proletariat, który pracuje, nigdy nie kwestionując władzy.","[""Malabar, ciężko pracujący koń"", ""Brille-Babil, propagandysta"", ""Stary Major"", ""Śnieżna kula""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q6,chronological,Ułóż w kolejności kroki z Farmy zwierzęcej.,Ta sekwencja pokazuje stopniowe przejście od rewolucji egalitarnej do dyktatury świń.,,,"[""Zwierzęta gonią Farmera Jonesa"", ""Napoleon goni Snowballa ze swoimi psami"", ""Świnie w tajemnicy zmieniają siedem przykazań"", ""Świnie zaczynają chodzić na dwóch nogach""]",,,,,
