courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_1_la_naissance_de_l_islam_622,Βυζαντινή και η Σασσανιδική Αυτοκρατορία,Η Βυζαντινή και η Σασσανιδική Αυτοκρατορία,referenceHistorique,"Οι δύο δυνάμεις που περιβάλλουν την Αραβική Χερσόνησο τον 7ο αιώνα. Το Βυζάντιο (Ανατολική Ρωμαϊκή Αυτοκρατορία) και οι Σασσανίδες (Ζωροαστρική Περσική Αυτοκρατορία) εξουθενώνονταν σε έναν ατελείωτο πόλεμο, ανοίγοντας τον δρόμο για τις αραβικές κατακτήσεις.",short_form
course_1_la_naissance_de_l_islam_622,Ούμμα,Η Ούμμα,concept,"Κοινότητα Μουσουλμάνων πιστών, που ξεπερνά τα φυλετικά όρια. Όλοι οι μουσουλμάνοι αποτελούν ένα ενιαίο σώμα ανεξάρτητα από την καταγωγή τους.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,ρωμαϊκό foedus,Το ρωμαϊκό foedus,concept,"Συνθήκη με την οποία η Ρώμη εξουσιοδότησε έναν βάρβαρο λαό να εγκατασταθεί στην επικράτειά του με αντάλλαγμα τη στρατιωτική θητεία. Οι Βησιγότθοι απέκτησαν ένα foedus το 382, ​​αλλά η Ρώμη δεν το σεβάστηκε, γεγονός που εξηγεί την εξέγερση του Αλάριχου.",short_form
course_4_le_couronnement_de_charlemagne_800,Missi dominici,Η Missi dominici,concept,"Καρολίγγειοι «απεσταλμένοι του κυρίου»: βασιλικοί επιθεωρητές αποστέλλονται σε ζευγάρια (ένας επίσκοπος, ένας λαϊκός) για να ελέγχουν την τοπική διοίκηση και να αποδίδουν δικαιοσύνη στο όνομα του αυτοκράτορα. Βασικό όργανο της Καρολίγγειας κυβέρνησης σε μια τεράστια επικράτεια.",short_form
course_5_la_magna_carta_1215,απώλεια της Νορμανδίας,Η απώλεια της Νορμανδίας,evenementConnexe,"Σημαντικό γεγονός όπου ο John Lackland έχασε τα υπάρχοντά του από τον Φίλιππο Β' Αύγουστο, προκαλώντας τη δημοσιονομική κρίση στην προέλευση της Magna Carta (1215).",short_form
course_6_la_peste_noire_en_europe_1347_1353,ιταλικές ναυτικές δημοκρατίες,Οι ιταλικές ναυτικές δημοκρατίες,lieuInstitution,"Η Γένοβα και η Βενετία, των οποίων τα εμπορικά πλοία συνέδεαν τη Μαύρη Θάλασσα με την Ευρώπη, ήταν οι φορείς της επιδημίας. Τα γενουατικά πλοία εισήγαγαν την πανούκλα στη Σικελία το 1347, διαδίδοντας τα βακτήρια μέσω των μεσογειακών εμπορικών τους δικτύων.",short_form
course_6_la_peste_noire_en_europe_1347_1353,εβραϊκά πογκρόμ (1348-1349),Τα εβραϊκά πογκρόμ (1348-1349),evenementConnexe,"Κατηγορούμενοι για δηλητηρίαση πηγαδιών, δεκάδες χιλιάδες Εβραίοι σφαγιάστηκαν στη Γερμανία και τη Γαλλία κατά τη διάρκεια της πανώλης. Ο Πάπας Κλήμης ΣΤ' τους υπερασπίστηκε αλλά ελάχιστα ακούστηκε σε κατεστραμμένες πόλεις που αναζητούσαν αποδιοπομπαίους τράγους.",short_form
course_6_la_peste_noire_en_europe_1347_1353,εβραϊκά πογκρόμ,Τα εβραϊκά πογκρόμ,evenementConnexe,"Κατηγορούμενοι για δηλητηρίαση πηγαδιών, δεκάδες χιλιάδες Εβραίοι σφαγιάστηκαν στη Γερμανία και τη Γαλλία κατά τη διάρκεια της πανώλης. Ο Πάπας Κλήμης ΣΤ' τους υπερασπίστηκε αλλά ελάχιστα ακούστηκε σε κατεστραμμένες πόλεις που αναζητούσαν αποδιοπομπαίους τράγους.",short_form
course_6_la_peste_noire_en_europe_1347_1353,Εβραϊκά πογκρόμ,Εβραϊκά πογκρόμ (1348-1349),evenementConnexe,"Κατηγορούμενοι για δηλητηρίαση πηγαδιών, δεκάδες χιλιάδες Εβραίοι σφαγιάστηκαν στη Γερμανία και τη Γαλλία κατά τη διάρκεια της πανώλης. Ο Πάπας Κλήμης ΣΤ' τους υπερασπίστηκε αλλά ελάχιστα ακούστηκε σε κατεστραμμένες πόλεις που αναζητούσαν αποδιοπομπαίους τράγους.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,Συνθήκη της Τρουά,Η Συνθήκη της Τρουά,evenementConnexe,"Συμφωνία με την οποία ο Κάρολος ΣΤ' της Γαλλίας αποκληρονομεί τον γιο του, τον Ντοφέν Κάρολο, υπέρ του βασιλιά της Αγγλίας Ερρίκου Ε', δημιουργώντας μια γαλλο-αγγλική δυναστική ένωση.",short_form
course_8_la_chute_de_constantinople_1453,ελληνική διασπορά και η Αναγέννηση,Η ελληνική διασπορά και η Αναγέννηση,referenceHistorique,"Έλληνες λόγιοι που έφυγαν από την Κωνσταντινούπολη έφεραν τα χειρόγραφά τους στην Ιταλία, συμβάλλοντας αποφασιστικά στην Αναγέννηση. Η πτώση του Βυζαντίου επιτάχυνε παραδόξως την πνευματική αναβίωση της Δύσης.",short_form
course_8_la_chute_de_constantinople_1453,λεηλασία της Κωνσταντινούπολης από την 4η Σταυροφορία,Η λεηλασία της Κωνσταντινούπολης από την 4η Σταυροφορία,evenementConnexe,"Οι σταυροφόροι, εκτρέπονται από τη Βενετία, λεηλάτησαν τη χριστιανική Κωνσταντινούπολη για τρεις ημέρες το 1204. Αυτό το τραύμα αποδυνάμωσε οριστικά το Βυζάντιο και εξηγεί τη δυσπιστία του Βυζαντίου προς τη Δύση κατά την πολιορκία του 1453.",short_form
course_8_la_chute_de_constantinople_1453,Η Άλωση της Κωνσταντινούπολης κατά την 4η Σταυροφορία,Η Άλωση της Κωνσταντινούπολης κατά την 4η Σταυροφορία (1204),evenementConnexe,"Οι σταυροφόροι, εκτρέπονται από τη Βενετία, λεηλάτησαν τη χριστιανική Κωνσταντινούπολη για τρεις ημέρες το 1204. Αυτό το τραύμα αποδυνάμωσε οριστικά το Βυζάντιο και εξηγεί τη δυσπιστία του Βυζαντίου προς τη Δύση κατά την πολιορκία του 1453.",short_form
course_8_la_chute_de_constantinople_1453,Άλωση της Κωνσταντινούπολης κατά την 4η Σταυροφορία (1204),Η Άλωση της Κωνσταντινούπολης κατά την 4η Σταυροφορία (1204),evenementConnexe,"Οι σταυροφόροι, εκτρέπονται από τη Βενετία, λεηλάτησαν τη χριστιανική Κωνσταντινούπολη για τρεις ημέρες το 1204. Αυτό το τραύμα αποδυνάμωσε οριστικά το Βυζάντιο και εξηγεί τη δυσπιστία του Βυζαντίου προς τη Δύση κατά την πολιορκία του 1453.",short_form
course_9_l_empire_azteque,τσινάμπα,Τα τσινάμπα,concept,«Πλωτές κήποι» που δημιουργήθηκαν στη λίμνη Texcoco: τεχνητά νησιά από λάσπη και βλάστηση που επιτρέπουν τη γεωργία υψηλής παραγωγικότητας. Το Tenochtitlán περιβαλλόταν από ένα δίκτυο καναλιών και καλλιεργούμενων εκτάσεων που τροφοδοτούσαν 200.000 κατοίκους.,short_form
course_10_la_decouverte_de_l_amerique_1492,The Spanish Reconquista,The Spanish Reconquista (1492),evenementConnexe,Ο θρίαμβος της κατάληψης της Γρανάδας απελευθέρωσε πόρους και δημιούργησε μια δυναμική εθνικής φιλοδοξίας που εξηγεί την υποστήριξη της Ισαβέλλας της Καστίλλης στον Κολόμβο.,short_form
course_10_la_decouverte_de_l_amerique_1492,Ισπανική Reconquista,Η Ισπανική Reconquista,evenementConnexe,Ο θρίαμβος της κατάληψης της Γρανάδας απελευθέρωσε πόρους και δημιούργησε μια δυναμική εθνικής φιλοδοξίας που εξηγεί την υποστήριξη της Ισαβέλλας της Καστίλλης στον Κολόμβο.,short_form
course_10_la_decouverte_de_l_amerique_1492,Συνθήκη του Τορδεσίλλα,Η Συνθήκη του Τορδεσίλλα,evenementConnexe,Συμφωνία διαιτησίας από τον Πάπα που χωρίζει τον κόσμο σε δύο σφαίρες επιρροής μεταξύ της Ισπανίας (δυτικά) και της Πορτογαλίας (ανατολικά).,short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,Η μάχη του Τραφάλγκαρ,Η μάχη του Τραφάλγκαρ (21 Οκτωβρίου 1805),evenementConnexe,"Η αποφασιστική ναυτική νίκη του Νέλσον επί του γαλλο-ισπανικού στόλου, την ίδια εβδομάδα με την Ουλμ. Έβαλε τέλος στα σχέδια εισβολής στην Αγγλία και εξηγεί γιατί ο Ναπολέων δεν μπόρεσε ποτέ να νικήσει τη βρετανική θαλάσσια δύναμη.",short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,μάχη του Τραφάλγκαρ (21 Οκτωβρίου 1805),Η μάχη του Τραφάλγκαρ (21 Οκτωβρίου 1805),evenementConnexe,"Η αποφασιστική ναυτική νίκη του Νέλσον επί του γαλλο-ισπανικού στόλου, την ίδια εβδομάδα με την Ουλμ. Έβαλε τέλος στα σχέδια εισβολής στην Αγγλία και εξηγεί γιατί ο Ναπολέων δεν μπόρεσε ποτέ να νικήσει τη βρετανική θαλάσσια δύναμη.",short_form
course_14_la_commune_de_paris_1871,Γαλλο-πρωσικός πόλεμος,Γαλλο-πρωσικός πόλεμος (1870-1871),evenementConnexe,"Η σύγκρουση που προκλήθηκε από τον Ναπολέοντα Γ', που έληξε με τη συντριπτική ήττα στο Σεντάν και τη σύλληψη του Αυτοκράτορα. Η ταπεινωτική συνθηκολόγηση και η πολιορκία του Παρισιού δημιούργησαν το έδαφος αναπαραγωγής της Κομμούνας.",short_form
course_14_la_commune_de_paris_1871,Γαλλο-Πρωσικός Πόλεμος,Ο Γαλλο-Πρωσικός Πόλεμος,evenementConnexe,"Η σύγκρουση που προκλήθηκε από τον Ναπολέοντα Γ', που έληξε με τη συντριπτική ήττα στο Σεντάν και τη σύλληψη του Αυτοκράτορα. Η ταπεινωτική συνθηκολόγηση και η πολιορκία του Παρισιού δημιούργησαν το έδαφος αναπαραγωγής της Κομμούνας.",short_form
