courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Vem är författaren till Les Fleurs du Mal?,"Charles Baudelaire publicerade Les Fleurs du Mal 1857, födelsebeviset för modern poesi.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Varför fördömdes Les Fleurs du Mal 1857?,"Insamlingen fördömdes för ""skönhet mot den allmänna moralen"", en skandal som inte skulle hävas officiellt förrän 1949.","[""För \""upprördhet mot allmän moral\"""", ""För plagiat"", ""För att ha anstiftat politiskt våld"", ""För att äventyra statens säkerhet""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,Vilket år rehabiliterades de sex fördömda dikterna från Les Fleurs du Mal officiellt?,"De sex dikter som fördömdes 1857 rehabiliterades inte officiellt förrän 1949, 92 år senare.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,"Vad representerar albatrossen i avsnittet ""Mjälte och ideal""?","Albatrossen, majestätisk i flykt men löjlig en gång placerad på marken, representerar poeten i en värld som inte förstår honom.","[""Poeten, majestätisk i flykten men löjlig på marken"", ""Konstnärens totala frihet"", ""Den oundvikliga döden"", ""Ouppnåelig skönhet""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Vilken del av samlingen gör Paris till ett psykologiskt landskap?,"""Parisian Paintings"" förvandlar staden till ett psykologiskt landskap. Poeten vandrar dit som en flanör, en iakttagare av det parisiska livet under Haussmann.","[""\""Parisiska målningar\"""", ""“Mjälte och idealisk”"", ""“Vinet”"", ""\""Död\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Vilken dikt beskriver naturen som ett ""tempel"" av tecken som kopplar ihop dofter, färger och ljud?","""Korrespondenser"" beskriver naturen som ett tempel av tecken. Där blandas sinnena: parfymer, färger och ljud reagerar på varandra.","[""\""Korrespondenser\"""", ""\""Albatrossen\"""", ""\""Mjälte\"""", ""\""Samling\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,Sant eller falskt: Baudelaire förkastar helt klassiska poetiska former som sonetten.,"Baudelaire, tvärtom, kopplar den klassiska formen, som sonetten och alexandrinen, till en radikalt ny poetisk vision.","[""Sant"", ""Falskt""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Vilken poetisk rörelse hittade poetiken i Baudelaires korrespondens, som senare bars av Verlaine och Mallarmé?","Denna korrespondenspoetik grundade symboliken, som senare bars av Verlaine och Mallarmé.","[""Symboliken"", ""Romantik"", ""Naturalism"", ""Klassicism""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Vilken amerikansk författare, beskriven som en ""själsbror"", översatte Baudelaire?","Baudelaire översatte Edgar Poe, som han betraktade som en ""själsbror"" som delade hans smak för det makabra.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Hur sammanfattar Baudelaire sin poetiska alkemi att utvinna skönhet ur lera?,"Baudelaire sammanfattar sitt projekt med denna formel: ""Du gav mig din lera och jag gjorde guld av den"".","[""\""Du gav mig din lera och jag gjorde guld av den\"""", ""\""Skönheten är evig\"""", ""\""Ondska föder ondska\"""", ""\""Konst för konstens skull\""""]",0,,,,,,
