id,Nom,Rareté,Cours
k_fv51zsinebhn,Enkidu,Rare,Gilgamesh: history's first hero
k_x573a31hebhn,Horus,Legendary,Osiris and Set (Egyptian mythology)
k_obj2aln3ebhn,Isis,Legendary,Osiris and Set (Egyptian mythology) | Ra and the creation of the world (Egypt)
k_ieqsp8y2ebhn,Erich von Falkenhayn,Common,The Battle of Verdun (1916)
k_98ttzi6hebhn,Hecatoncheires,Common,"The birth of the Greek gods (Cronus, Zeus, Olympus) | The Titans vs the Gods (Titanomachy) | The Titans vs the Gods: the complete Titanomachy"
k_hndjjet9ebhn,Jocasta,Rare,"Oedipus Rex, Sophocles | Oedipus and the Sphinx"
k_w21mq76febhn,Tiresias,Rare,"Oedipus Rex, Sophocles | Antigone, Sophocles | Antigone: family duty vs. state law | Narcissus and Echo"
k_ovpp78boebhn,Haemon,Common,"Antigone, Sophocles | Antigone: family duty vs. state law"
k_noy1lpmbebhn,Ismene,Common,"Antigone, Sophocles | Antigone: family duty vs. state law"
k_aaco2w1jebhn,Innocent III,Rare,The Magna Carta (1215)
k_9leefxjqebhn,Godfrey of Bouillon,Rare,Urban II's call and the 1st Crusade (1095)
k_56gablwrebhn,Alexios I Komnenos,Common,Urban II's call and the 1st Crusade (1095)
k_fg0m9859ebhn,Umar,Rare,The birth of Islam (622)
k_dctp0svtebhn,Abu Bakr,Rare,The birth of Islam (622)
k_d8a98ncmebhn,Ali,Rare,The birth of Islam (622)
k_t8acp06webhn,Khadija,Rare,The birth of Islam (622)
k_seakzzrr7udi,Bruce Springsteen,Legendary,The fall of the Berlin Wall (1989)
k_21oehq8h7udi,Muhammad,Legendary,The birth of Islam (622)
k_wtnvf16cooie,Satoshi Nakamoto,Rare,Blockchain and cryptocurrencies
k_hc75qe7uo6r2,Deng Xiaoping,Rare,China and its economic model
k_6ej3vu1pknwx,Clement Attlee,Rare,Decolonization: an overview (1945-1975)
k_akzmgdp9knwx,Talaat Pasha,Common,The Armenian Genocide (1915-1916)
k_o5gu57xuknwx,Enver Pasha,Common,The Armenian Genocide (1915-1916)
k_efzxix81knwx,Philippe Pétain,Rare,The Battle of Verdun (1916) | The Blitzkrieg (1940)
k_kri3e219knwx,Jean Moulin,Legendary,The Blitzkrieg (1940)
k_pvl2e9ydknwx,Joseph Stalin,Legendary,The Russian Revolution (1917) | The Battle of Stalingrad (1942-1943)
k_d4xdfwq9knwx,Ulysses S. Grant,Rare,The American Civil War (1861-1865)
k_th8s1n1pknwx,Robert E. Lee,Rare,The American Civil War (1861-1865)
k_7h5vm83hknwx,Jefferson Davis,Rare,The American Civil War (1861-1865)
k_l89k6p83knwx,Franklin D. Roosevelt,Legendary,The Great Depression (1929)
