Nom du cours,Classification,Terme,Explication
Die Geburt des Islam (622),Historischer Bezug,Das Byzantinische und das Sassanidenreich,"Die beiden Mächte, die die Arabische Halbinsel im 7. Jahrhundert einrahmten. Byzanz (Oströmisches Reich) und die Sassaniden (ein zoroastrisches persisches Reich) erschöpften sich in einem endlosen Krieg und machten so den Weg frei für die arabischen Eroberungen."
Die Geburt des Islam (622),Konzept,Die Umma,"Gemeinschaft der muslimischen Gläubigen, die Stammesgrenzen überschreitet. Alle Muslime bilden einen einzigen Körper, ungeachtet ihrer Herkunft."
Die Geburt des Islam (622),Konzept,Der Dschihad,"Arabischer Begriff, der wörtlich «Anstrengung» bedeutet. Bezeichnet die innere Anstrengung zur Selbstverbesserung sowie die bewaffnete Verteidigung der Gemeinschaft."
Der Aufruf Urbans II. und der 1. Kreuzzug (1095),Zugehöriges Ereignis,Das Morgenländische Schisma von 1054,"Endgültiger Bruch zwischen der römisch-katholischen Kirche und der orthodoxen Kirche über die päpstliche Autorität und die Frage des Filioque. Dieses Schisma machte die Beziehungen zwischen Byzanz und Rom zu dem Zeitpunkt komplex, als Alexios I. um militärische Hilfe bat."
Der Aufruf Urbans II. und der 1. Kreuzzug (1095),Personage,Alexios I. Komnenos,"Byzantinischer Kaiser, der eine Gesandtschaft an Papst Urban II. schickte, um Söldner gegen die Seldschuken anzufordern. Seine bescheidene Bitte löste unbeabsichtigt die massive Mobilisierung des ersten Kreuzzugs aus."
Der Aufruf Urbans II. und der 1. Kreuzzug (1095),Konzept,Der vollkommene Ablass,"Vollständiger Erlass der Sündenstrafen, gewährt durch den Papst. Urban II. versprach diesen allen Teilnehmern des Kreuzzugs – ein mächtiger Antrieb zur Mobilisierung in einer tief religiösen Gesellschaft."
Die Plünderung Roms durch die Westgoten (410),Historischer Bezug,Die Hunnen,"Nomadenvolk Zentralasiens, das um 370 über Europa hereinbrach und die Goten sowie andere germanische Völker zwang, die römischen Grenzen auf der Flucht zu überqueren. Ihr Anführer Attila verwüstete Europa in den 450er Jahren."
Die Plünderung Roms durch die Westgoten (410),Konzept,Das römische Foedus,"Vertrag, durch den Rom einem Volk der Barbaren erlaubte, sich auf seinem Territorium niederzulassen, im Austausch für militärische Dienste. Die Westgoten erhielten 382 ein Foedus, aber Rom hielt es nicht ein, was den Aufstand von Alarich erklärt."
Die Plünderung Roms durch die Westgoten (410),Zugehöriges Ereignis,Die Reichsteilung von 395,Nach dem Tod von Theodosius I. wurde das Reich zwischen seinen beiden Söhnen aufgeteilt: Honorius im Westen (Hauptstadt Ravenna) und Arcadius im Osten (Konstantinopel). Diese dauerhafte Teilung schwächte die Reaktion auf die Invasionen.
Die Kaiserkrönung Karls des Großen (800),Konzept,Das Heilige Römische Reich,"Politische Einheit, die aus der Kaiserkrönung Karls des Großen hervorging und den Anspruch erhob, die Kontinuität des Römischen Reiches im Westen unter christlicher Autorität zu verkörpern. Sie bestand bis 1806 fort und strukturierte den germanischen Raum über tausend Jahre lang."
Die Kaiserkrönung Karls des Großen (800),Konzept,Die Missi Dominici,"Karolingische „Boten des Herrn“: königliche Inspektoren, die paarweise (ein Bischof, ein Laie) entsandt wurden, um die lokale Verwaltung zu kontrollieren und im Namen des Kaisers Recht zu sprechen. Ein Schlüsselinstrument der karolingischen Regierung über ein riesiges Territorium."
Die Kaiserkrönung Karls des Großen (800),Personage,Alkuin von York,"Englischer Gelehrter, den Karl der Große holte, um die Pfalzschule von Aachen zu leiten. Er beaufsichtigte die Reform der Schrift und des Unterrichts und bildete eine Generation von literaten Verwaltern aus, die das Reich aufrechterhielten."
Magna Carta (1215),Konzept,Das Feudalsystem,"Mittelalterliche Organisation, die auf persönlichen Bindungen basierte: Der Lehnsherr gewährt Land (Lehen) im Austausch für Militärdienst und Treue. Die Magna Carta wurde in diesem vertraglichen Rahmen erzwungen: Die Barone erinnerten den König an seine Verpflichtungen."
Magna Carta (1215),Zugehöriges Ereignis,Der Verlust der Normandie (1204),"Bedeutendes Ereignis, bei dem Johann Ohneland seine Besitzungen an Philipp II. August verlor, was die Finanzkrise auslöste, die zur Magna Carta führte."
Magna Carta (1215),Konzept,Habeas Corpus,Rechtsgrundsatz zum Schutz vor willkürlichen Verhaftungen: Jede festgenommene Person muss einem Richter vorgeführt werden. Als direktes Erbe von Klausel 39 der Magna Carta wurde er zu einem Grundpfeiler des angelsächsischen Rechts.
Der Schwarze Tod in Europa (1347-1353),Konzept,Die Miasmentheorie,"Mittelalterlicher medizinischer Glaube, wonach Krankheiten durch verunreinigte Dämpfe verursacht wurden, die aus stehenden Gewässern und Leichen austraten. Sie erklärt die völlige Hilflosigkeit der Medizin gegenüber der Pest – man konnte nicht heilen, was man nicht verstand."
Der Schwarze Tod in Europa (1347-1353),Ort / Institution,Die italienischen Handelsrepubliken,"Genua und Venedig, deren Handelsschiffe das Schwarze Meer mit Europa verbanden, waren die Überträger der Epidemie. Genuesische Schiffe brachten die Pest 1347 nach Sizilien und verbreiteten das Bakterium über ihre mediterranen Handelsnetze."
Der Schwarze Tod in Europa (1347-1353),Zugehöriges Ereignis,Die Judenpogrome (1348-1349),"Unter der Anschuldigung, Brunnen zu vergiften, wurden während der Pest zehntausende Juden in Deutschland und Frankreich massakriert. Papst Clemens VI. verteidigte sie, fand jedoch in den verwüsteten Städten, die nach Sündenböcken suchten, kaum Gehör."
Jeanne d’Arc und der Hundertjährige Krieg (1429),Ereignis,Der Vertrag von Troyes (1420),"Abkommen, durch das Karl VI. von Frankreich seinen Sohn, den Dauphin Karl, zugunsten des englischen Königs Heinrich V. enterbte und so eine französisch-englische Dynastieunion schuf."
Jeanne d’Arc und der Hundertjährige Krieg (1429),Konzept,Die Krönung in Reims,"Zeremonie, bei der der König von Frankreich mit heiligem Öl gesalbt wurde, was ihm einen fast heiligen Charakter verlieh. Nur ein in Reims gekrönter König war in den Augen der Kirche und des Volkes vollkommen legitim – daher die Dringlichkeit für Johanna, Karl VII. dorthin zu führen."
Jeanne d’Arc und der Hundertjährige Krieg (1429),Historischer Bezug,Die Burgunder,"Französische Fraktion, die mit den Engländern verbündet war und vom Herzog von Burgund (Philipp dem Guten im Jahr 1429) angeführt wurde. Ihr Bündnis mit England wurde 1435 durch den Vertrag von Arras gebrochen."
Der Fall von Konstantinopel (1453),Zugehöriges Ereignis,Die Plünderung Konstantinopels durch den 4. Kreuzzug (1204),"Die Kreuzfahrer, die von Venedig umgeleitet worden waren, plünderten das christliche Konstantinopel im Jahr 1204 drei Tage lang. Dieses Trauma schwächte Byzanz dauerhaft und erklärt das byzantinische Misstrauen gegenüber dem Westen während der Belagerung von 1453."
Der Fall von Konstantinopel (1453),Historischer Bezug,Die griechische Diaspora und die Renaissance,"Griechische Gelehrte, die aus Konstantinopel flohen, brachten ihre Manuskripte nach Italien und trugen so entscheidend zur Renaissance bei. Paradoxerweise beschleunigte der Fall von Byzanz die intellektuelle Erneuerung des Westens."
Der Fall von Konstantinopel (1453),Konzept,Das byzantinische Recht und das römische Erbe,"Konstantinopel hatte das römische Recht, die griechische Philosophie und die christliche Theologie über tausend Jahre lang bewahrt und weitergegeben. Sein Fall beendete diese lebendige Kontinuität zwischen der Antike und der modernen Welt."
Das Aztekenteich,Konzept,Die Kosmogonie der Fünf Sonnen,Aztekischer Mythos: Das Universum wurde bereits viermal erschaffen und zerstört. Die gegenwärtige fünfte Sonne wird nur durch Menschenopfer am Leben erhalten. Diese Kosmologie machte Opferungen kosmisch notwendig – ohne sie würde die Sonne stillstehen.
Das Aztekenteich,Konzept,Die Chinampas,"„Schwimmende Gärten“, die im Texcoco-See angelegt wurden: künstliche Inseln aus Schlamm und Pflanzen, die eine hochproduktive Landwirtschaft ermöglichten. Tenochtitlán war von einem Netz aus Kanälen und Anbauflächen umgeben, die 200.000 Einwohner ernährten."
Das Aztekenteich,Ort / Institution,Tenochtitlán und Mexiko-Stadt,"Aztekische Hauptstadt, die 1325 auf einer kleinen Insel im Texcoco-See gegründet wurde, dort wo sich heute Mexiko-Stadt befindet. Sie war 1519 eine der größten Städte der Welt mit einem ausgeklügelten Netz von Aquädukten und Kanälen."
Die Entdeckung Amerikas (1492),Ereignis,Die spanische Reconquista (1492),"Der Triumph der Einnahme von Granada setzte Ressourcen frei und erzeugte einen Impuls nationalen Ehrgeizes, der die Unterstützung von Isabella von Kastilien für Kolumbus erklärt."
Die Entdeckung Amerikas (1492),Personage,Amerigo Vespucci,"Florentinischer Seefahrer, der begriff, dass die entdeckten Gebiete ein unbekannter Kontinent waren. Der Kontinent wurde 1507 zu seinen Ehren benannt."
Die Entdeckung Amerikas (1492),Ereignis,Der Vertrag von Tordesillas (1494),"Vom Papst vermitteltes Abkommen, das die Welt in zwei Einflusssphären zwischen Spanien (West) und Portugal (Ost) aufteilte."
Der Sturm auf die Bastille (1789),Konzept,Das Ancien Régime und die drei Stände,"Die französische Gesellschaft war in drei Stände unterteilt: Klerus (1.), Adel (2.) und Dritter Stand (97 % der Bevölkerung, 3.). Bei den Generalständen verfügte jeder Stand über nur eine von drei Stimmen, trotz der überwältigenden demografischen Repräsentativität des Dritten Standes."
Der Sturm auf die Bastille (1789),Konzept,Der Lettre de cachet,"Vom König unterzeichneter königlicher Befehl zur Inhaftierung ohne Gerichtsverfahren oder Begründung. Die Bastille symbolisierte diese königliche Willkür, auch wenn sie im Juli 1789 nur 7 Gefangene beherbergte – ihr Wert war rein symbolisch."
Napoleons Strategie bei Ulm (1805),Konzept,Das napoleonische Armeekorps,"Eine autonome Militäreinheit von 15.000 bis 30.000 Mann, die alle Waffengattungen umfasste und in der Lage war, mehrere Tage lang allein zu kämpfen. Diese organisatorische Innovation ermöglichte die Schnelligkeit der Manöver, die Napoleons Stärke ausmachte."
Napoleons Strategie bei Ulm (1805),Zugehöriges Ereignis,Die Schlacht von Trafalgar (21. Oktober 1805),"Nelsons entscheidender Seesieg über die französisch-spanische Flotte in derselben Woche wie Ulm. Dies beendete die Pläne für eine Invasion Englands und erklärt, warum Napoleon die britische Seemacht nie besiegen konnte."
Napoleons Strategie bei Ulm (1805),Konzept,Die Kontinentalsperre,"Napoleonische Wirtschaftspolitik (1806), die jeglichen europäischen Handel mit England untersagte, um das Land wirtschaftlich zu ruinieren. Die mangelhafte Umsetzung zwang Napoleon dazu, erst die Iberische Halbinsel und dann Russland zu überfallen."
Die Schlacht bei Waterloo (1815),Zugehöriges Ereignis,Der Wiener Kongress (1814-1815),"Zusammenkunft der europäischen Mächte zum Wiederaufbau der post-napoleonischen Ordnung. Er zeichnete die Landkarte Europas neu, restaurierte die Monarchien und schuf das „Europäische Konzert“, das fast ein Jahrhundert lang einen relativen Frieden aufrechterhielt."
Die Schlacht bei Waterloo (1815),Konzept,Die Heilige Allianz,"Ein 1815 zwischen Russland, Österreich und Preußen unterzeichneter Pakt zur Verteidigung monarchischer Prinzipien gegen revolutionäre Ideen. Er war das Instrument zur Unterdrückung der liberalen Aufstände in den Jahren 1820-1830."
Die Schlacht bei Waterloo (1815),Personage,Marschall Ney,"Marschall Ney, der den Beinamen „der Tapferste der Tapferen“ trug, befehligte die französische Kavallerie bei Waterloo. Sein verheerender Angriff auf die britischen **Karrees**, der zu früh und ohne Artillerieunterstützung gestartet wurde, war einer der fatalen taktischen Fehler des Tages."
Die Pariser Kommune (1871),Zugehöriges Ereignis,Der Deutsch-Französische Krieg (1870-1871),"Ein von Napoleon III. ausgelöster Konflikt, der mit der schmetternden Niederlage bei Sedan und der Gefangennahme des Kaisers endete. Die demütigende Kapitulation und die Belagerung von Paris bildeten den Nährboden für die Kommune."
Die Pariser Kommune (1871),Personage,Adolphe Thiers,"Chef der provisorischen Regierung von Versailles, der die Niederschlagung der Kommune während der „Blutigen Woche“ (21.–28. Mai 1871) befahl. Der ehemalige Journalist und Historiker war der erste Präsident der Dritten Republik."
Die Pariser Kommune (1871),Ort / Institution,Die Arbeiter-Internationale (1. Internationale),"1864 in London gegründete Organisation, die Gewerkschaften und Arbeiterparteien mehrerer Länder vereinte. Obwohl die Kommune nicht ihr direktes **Werk** war, feierte Marx sie als erste Erfahrung einer Arbeitermacht."
