courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Les Fleurs du Mal'ın yazarı kimdir?,"Charles Baudelaire, 1857'de modern şiirin doğum belgesi olan Les Fleurs du Mal'ı yayınladı.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Les Fleurs du Mal 1857'de neden kınandı?,"Koleksiyon, 1949'a kadar resmen kaldırılmayacak bir skandal olan ""kamu ahlakına aykırı"" olduğu gerekçesiyle kınandı.","[""\""Genel ahlaka aykırı\"" iddiasıyla"", ""İntihal için"", ""Siyasi şiddeti teşvik ettiği için"", ""Devlet güvenliğini tehlikeye atmaktan""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,Les Fleurs du Mal'ın mahkum edilen altı şiiri hangi yılda resmen rehabilite edildi?,"1857'de kınanan altı şiir, 92 yıl sonra, 1949'a kadar resmi olarak iade edilmedi.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,“Dalak ve İdeal” bölümünde albatros neyi temsil ediyor?,"Uçarken heybetli ama yere konduğunda gülünç olan albatros, onu anlamayan bir dünyada şairi temsil ediyor.","[""Şair, uçarken muhteşem ama yerde gülünç"", ""Sanatçının tam özgürlüğü"", ""Kaçınılmaz ölüm"", ""Ulaşılamaz güzellik""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Koleksiyonun hangi bölümü Paris'i psikolojik bir manzaraya dönüştürüyor?,"“Paris Resimleri” şehri psikolojik bir manzaraya dönüştürüyor. Şair, Haussmann yönetimindeki Paris yaşamının bir gözlemcisi olarak orada bir gezgin olarak dolaşır.","[""“Paris resimleri”"", ""“Dalak ve İdeal”"", ""“Şarap”"", ""\""Ölüm\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Hangi şiir doğayı kokuları, renkleri ve sesleri birbirine bağlayan işaretlerden oluşan bir “tapınak” olarak tanımlar?","“Yazışmalar” doğayı bir işaretler tapınağı olarak tanımlıyor. Burada duyular karışıyor; kokular, renkler ve sesler birbirine tepki veriyor.","[""“Yazışmalar”"", ""“Albatros”"", ""\""Dalak\"""", ""“Koleksiyon”""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,"Doğru ya da yanlış: Baudelaire, sone gibi klasik şiirsel biçimleri tamamen reddeder.","Baudelaire ise tam tersine, sone ve alexandrine gibi klasik biçimleri kökten yeni bir şiirsel vizyona bağlar.","[""Doğru"", ""Yanlış""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,Baudelaire'in yazışmalarının poetikası hangi şiirsel hareketi buldu ve daha sonra Verlaine ve Mallarmé tarafından sürdürüldü?,"Bu yazışmaların şiirselliği, daha sonra Verlaine ve Mallarmé tarafından taşınan sembolizmi kurdu.","[""Sembolizm"", ""Romantizm"", ""Natüralizm"", ""Klasisizm""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,Baudelaire “ruh kardeşi” olarak tanımlanan Amerikalı yazarlardan hangisini tercüme etti?,"Baudelaire, onun dehşet zevkini paylaşan, ""ruh kardeşi"" olarak gördüğü Edgar Poe'yu tercüme etti.","[""Edgar Allan Poe'nun"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,"Baudelaire, güzelliği çamurdan çıkarmaya yönelik şiirsel simyasını nasıl özetliyor?","Baudelaire projesini şu formülle özetliyor: “Sen bana çamurunu verdin, ben de ondan altın yaptım”.","[""“Sen bana çamurunu verdin, ben de ondan altın yaptım”"", ""“Güzellik sonsuzdur”"", ""“Kötülük kötülüğü doğurur”"", ""“Sanat sanat içindir”""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,George Orwell'in gerçek adı nedir?,"George Orwell, Eric Arthur Blair'in takma adıdır.","[""Eric Arthur Blair"", ""George Bernard Shaw"", ""Aldous Huxley"", ""Herbert George Wells""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,Orwell 1984'ü yazmadan önce hangi çatışmayla mücadele ediyordu?,"Orwell, 1936-1937'de İspanya İç Savaşı sırasında POUM milislerinde savaştı ve orada yaralandı.","[""İspanya İç Savaşı"", ""Birinci Dünya Savaşı"", ""Boer Savaşı"", ""Cezayir Savaşı""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q3,mcq,Bu deneyim sırasında Orwell'i şiddetin ötesinde en çok etkileyen şey neydi?,"Orwell'i en çok etkileyen şey, gazetelerin geçmişi yeniden yazdığını ve savaşçıları sildiğini görmek; romanı körükleyen devlet yalanlarına olan takıntı.","[""Propaganda yoluyla gerçeklerin ve geçmişin çarpıtılması"", ""Yiyecek eksikliği"", ""Yoldaşlarının ihaneti"", ""Yabancı basına sansür""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q4,mcq,Okyanusya sistemine hangi gerçek totaliter rejim ilham veriyor?,Okyanusya sistemi model olarak özellikle Sovyet totaliterizminden esinlenmiştir.,"[""Sovyet totaliterliği"", ""İtalyan faşizmi"", ""Vichy rejimi"", ""Britanya İmparatorluğu""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q5,mcq,Okyanusya'yı yöneten tek partinin adı nedir?,"Okyanusya, dört çelişkili bakanlığa dayanan Ingsoc tarafından yönetiliyor: Barış, Bolluk, Sevgi ve Hakikat.","[""İngsos"", ""Halk Partisi"", ""Kırmızı Lig"", ""Merkez Blok""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q6,mcq,"Winston Smith, Hakikat Bakanlığı'nda çalışmak için ne yapıyor?","Winston Smith, Gerçek Bakanlığı'nda çalışıyor ve burada Partinin tanımladığı bugüne uyacak şekilde geçmişi siliyor.","[""Partinin bugününe uyacak şekilde geçmişi siler ve yeniden yazar"", ""Vatandaşları tele ekranlarla izliyor"", ""Büyük Birader'in konuşmalarını yazıyor"", ""Partinin yeni üyelerini eğitiyor""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q7,mcq,1984'te iki çelişkili gerçeği aynı anda kabul etme yeteneğine ne denir?,"Çiftdüşün, Partinin zihin kontrolünün temel direği olan iki çelişkili gerçeği aynı anda kabul etme yeteneğini ifade eder.","[""Çiftdüşün"", ""Yenisöylem"", ""Tele ekran"", ""İngsos""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q8,mcq,Parti neden Yenisöylem aracılığıyla sözcük dağarcığını azaltıyor?,"Yenisöylem, eleştirel düşüncenin formüle edilmesini imkansız hale getirecek şekilde mevcut kelime dağarcığını azaltır.","[""Eleştirel düşünmeyi imkansız kılmak"", ""Yönetimi basitleştirmek"", ""Uluslararası ticareti kolaylaştırmak"", ""Bölgesel lehçeleri birleştirmek""]",0,,,,,,
