courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Cine este autorul cărții Les Fleurs du Mal?,"Charles Baudelaire a publicat Les Fleurs du Mal în 1857, certificatul de naștere al poeziei moderne.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,De ce au fost condamnați Les Fleurs du Mal în 1857?,"Colecția a fost condamnată pentru „ultraj față de morala publică”, scandal care nu va fi ridicat oficial până în 1949.","[""Pentru „indignarea moralei publice”"", ""Pentru plagiat"", ""Pentru incitarea la violență politică"", ""Pentru a pune în pericol securitatea statului""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,În ce an au fost reabilitate oficial cele șase poezii condamnate din Les Fleurs du Mal?,"Cele șase poezii condamnate în 1857 nu au fost reabilitate oficial decât în ​​1949, 92 de ani mai târziu.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Ce reprezintă albatrosul în secțiunea „Splină și ideal”?,"Albatrosul, maiestuos în zbor dar ridicol odată așezat pe pământ, îl reprezintă pe poet într-o lume care nu-l înțelege.","[""Poetul, maiestuos în zbor dar ridicol pe pământ"", ""Libertatea totală a artistului"", ""Moartea inevitabila"", ""Frumusețe de neatins""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Care secțiune a colecției face din Paris un peisaj psihologic?,"„Tablourile pariziene” transformă orașul într-un peisaj psihologic. Poetul rătăcește acolo ca un cărucior, un observator al vieții pariziene sub Haussmann.","[""„Tablouri pariziene”"", ""„Splină și ideală”"", ""„Vinul”"", ""\""Moarte\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Care poem descrie natura ca un „templu” de semne care leagă mirosuri, culori și sunete?","„Corespondențele” descrie natura ca un templu al semnelor. Simțurile se amestecă acolo: parfumurile, culorile și sunetele răspund unele la altele.","[""„Corespondente”"", ""„Albatrosul”"", ""\""Splină\"""", ""\""Colectare\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,Adevărat sau fals: Baudelaire respinge în totalitate formele poetice clasice precum sonetul.,"Baudelaire, dimpotrivă, leagă forma clasică, precum sonetul și alexandrinul, de o viziune poetică radical nouă.","[""Adevărat"", ""Fals""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Ce mișcare poetică a găsit poetica corespondenței lui Baudelaire, purtată ulterior de Verlaine și Mallarmé?","Această poetică a corespondențelor a fondat simbolismul, purtat ulterior de Verlaine și Mallarmé.","[""Simbolismul"", ""Romantism"", ""Naturalism"", ""Clasicism""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Ce scriitor american, descris drept „frate de suflet”, a tradus Baudelaire?","Baudelaire l-a tradus pe Edgar Poe, pe care l-a considerat un „frate de suflet” care îi împărtășea gustul pentru macabru.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Cum își rezumă Baudelaire alchimia sa poetică de a extrage frumusețea din noroi?,Baudelaire își rezumă proiectul cu această formulă: „Mi-ai dat noroiul tău și din el am făcut aur”.,"[""„Mi-ai dat noroiul tău și am făcut aur din el”"", ""„Frumusețea este veșnică”"", ""„Răul naște răul”"", ""„Arta de dragul artei”""]",0,,,,,,
