id,Nom,Rareté,Cours
k_fv51zsinebhn,Enkidu,Rara,Gilgamesh: il primo eroe della storia
k_x573a31hebhn,Horus,Leggendaria,Osiride e Set (mitologia egizia)
k_obj2aln3ebhn,Iside,Leggendaria,Osiride e Set (mitologia egizia) | Ra e la creazione del mondo (Egitto)
k_ieqsp8y2ebhn,Erich von Falkenhayn,Comune,La battaglia di Verdun (1916)
k_98ttzi6hebhn,Centimani,Comune,"La nascita degli dei greci (Crono, Zeus, l'Olimpo) | I Titani contro gli Dei (Titanomachia) | I Titani contro gli Dei: la Titanomachia completa"
k_hndjjet9ebhn,Giocasta,Rara,"Edipo Re, Sofocle | Edipo e la Sfinge"
k_w21mq76febhn,Tiresia,Rara,"Edipo Re, Sofocle | Antigone, Sofocle | Antigone: dovere familiare vs legge dello Stato | Narciso ed Eco"
k_ovpp78boebhn,Emone,Comune,"Antigone, Sofocle | Antigone: dovere familiare vs legge dello Stato"
k_noy1lpmbebhn,Ismene,Comune,"Antigone, Sofocle | Antigone: dovere familiare vs legge dello Stato"
k_aaco2w1jebhn,Innocenzo III,Rara,La Magna Carta (1215)
k_9leefxjqebhn,Goffredo di Buglione,Rara,L'appello di Urbano II e la 1ª Crociata (1095)
k_56gablwrebhn,Alessio I Comneno,Comune,L'appello di Urbano II e la 1ª Crociata (1095)
k_fg0m9859ebhn,Umar,Rara,La nascita dell'Islam (622)
k_dctp0svtebhn,Abu Bakr,Rara,La nascita dell'Islam (622)
k_d8a98ncmebhn,Ali,Rara,La nascita dell'Islam (622)
k_t8acp06webhn,Khadija,Rara,La nascita dell'Islam (622)
k_seakzzrr7udi,Bruce Springsteen,Leggendaria,La caduta del muro di Berlino (1989)
k_21oehq8h7udi,Maometto,Leggendaria,La nascita dell'Islam (622)
k_wtnvf16cooie,Satoshi Nakamoto,Rara,La blockchain e le criptovalute
k_hc75qe7uo6r2,Deng Xiaoping,Rara,La Cina e il suo modello economico
k_6ej3vu1pknwx,Clement Attlee,Rara,La decolonizzazione: panorama (1945-1975)
k_akzmgdp9knwx,Talaat Pascià,Comune,Il genocidio armeno (1915-1916)
k_o5gu57xuknwx,Enver Pascià,Comune,Il genocidio armeno (1915-1916)
k_efzxix81knwx,Philippe Pétain,Rara,La battaglia di Verdun (1916) | La Blitzkrieg (1940)
k_kri3e219knwx,Jean Moulin,Leggendaria,La Blitzkrieg (1940)
k_pvl2e9ydknwx,Iosif Stalin,Leggendaria,La Rivoluzione russa (1917) | La battaglia di Stalingrado (1942-1943)
k_d4xdfwq9knwx,Ulysses S. Grant,Rara,La guerra di secessione americana (1861-1865)
k_th8s1n1pknwx,Robert E. Lee,Rara,La guerra di secessione americana (1861-1865)
k_7h5vm83hknwx,Jefferson Davis,Rara,La guerra di secessione americana (1861-1865)
k_l89k6p83knwx,Franklin D. Roosevelt,Leggendaria,La Grande Depressione (1929)
k_7gxrm1gvknwx,John Maynard Keynes,Rara,La Grande Depressione (1929)
k_ioq088lbknwx,Solimano il Magnifico,Leggendaria,La caduta di Costantinopoli (1453)
k_v9vm9jyxknwx,Jean Monnet,Rara,La nascita dell'UE: dalla CECA a Maastricht
k_sl825i0xjnyk,David Ben Gurion,Rara,La nascita del conflitto israelo-palestinese
k_x9i4i5v6jnyk,Ade,Rara,Demetra e Persefone (le stagioni)
k_gs97msdzjnyk,Louis Pasteur,Leggendaria,Come fa il sapone a uccidere i virus?
k_r9y0tpcyjnyk,Robert Schuman,Rara,La nascita dell'UE: dalla CECA a Maastricht
k_t61ypzg3jnyk,Grigori Rasputin,Rara,La Rivoluzione russa (1917)
k_zoykdaxwjnyk,Giulio Cesare,Leggendaria,Enea e la fondazione di Roma (Virgilio)
k_2999c25zjnyk,Alessandro Magno,Leggendaria,La tragedia greca e il teatro antico
k_tgqvnd1zjnyk,Martin Luther King Jr.,Leggendaria,Rosa Parks e Montgomery (1955)
k_kbt6e5mdjnyk,Marco Antonio,Rara,Enea e la fondazione di Roma (Virgilio)
k_8lkhkiwienj7,Enrico Fermi,Rara,Hiroshima e Nagasaki (1945)
k_b7w32ewnenj7,Saladino,Rara,L'appello di Urbano II e la 1ª Crociata (1095)
k_pnlz2a6genj7,Xi Jinping,Leggendaria,La rivalità Cina-Stati Uniti | La Cina e il suo modello economico
k_yprjq5fmenj7,Volodymyr Zelensky,Leggendaria,La guerra in Ucraina spiegata
k_7r4t75noenj7,Theodor Herzl,Comune,La nascita del conflitto israelo-palestinese
k_8jzmh570enj7,Regina Vittoria,Leggendaria,La Belle Époque (1871-1914)
k_sbt7ehtqenj7,Nikita Chruščëv,Rara,La crisi dei missili di Cuba (1962)
k_4eeh4oxtenj6,Fidel Castro,Leggendaria,La crisi dei missili di Cuba (1962)
k_rbd56821enj6,Lev Trockij,Rara,La Rivoluzione russa (1917)
k_pdaexjgvenj6,Nicola II,Rara,La Rivoluzione russa (1917)
k_qlckfgbienj6,Luigi XVI,Leggendaria,La presa della Bastiglia (1789)
k_g7gf1nppenj6,Sancho Panza,Rara,"Don Chisciotte, Cervantes"
k_ensj0jgwenj6,Gavroche,Rara,"I miserabili, Victor Hugo | La Libertà che guida il popolo, Delacroix"
k_wz5uunkmenj6,Javert,Rara,"I miserabili, Victor Hugo"
k_vdzoatm8enj6,Cosette,Rara,"I miserabili, Victor Hugo"
k_hri0022nenj6,Pangloss,Comune,"Candido, Voltaire"
k_u05rcmh9enj6,Guy Montag,Rara,"Fahrenheit 451, Bradbury"
k_ggzgmrkzenj6,Gandalf,Leggendaria,"Il Signore degli Anelli, Tolkien"
k_dnh7i0ovenj6,Frodo Baggins,Leggendaria,"Il Signore degli Anelli, Tolkien"
k_6l9ew771enj6,Atticus Finch,Rara,"Il buio oltre la siepe, Harper Lee"
k_7giotpwuenj6,Raskol'nikov,Rara,"Delitto e castigo, Dostoevskij"
k_kvy4lo3senj6,Mustapha Mond,Comune,"Il mondo nuovo, Aldous Huxley"
k_3e098262enj6,Winston Smith,Rara,"1984, George Orwell"
k_jk4921seenj6,Capitano Achab,Rara,"Moby Dick, Melville"
k_y54bytr8enj6,Virgilio,Comune,Enea e la fondazione di Roma (Virgilio)
k_06kqqaslenj6,Sfinge,Comune,Edipo e la Sfinge
k_0ztgkna6enj6,Creonte,Comune,"Antigone, Sofocle | Antigone: dovere familiare vs legge dello Stato"
k_nzl2a2rxenj6,Penelope,Comune,"Odissea, Omero"
k_94wafcfpenj6,Elena di Troia,Comune,La guerra di Troia e il cavallo di legno
k_blexv5vmenj6,Paride,Comune,La guerra di Troia e il cavallo di legno
k_uiuto3qfenj6,Ettore,Comune,"Iliade, Omero | La guerra di Troia e il cavallo di legno"
k_zutx4z59enj6,Polifemo,Comune,Ulisse e il Ciclope
k_y3l7j485enj6,Euridice,Comune,Orfeo ed Euridice
k_9tivxzmienj6,Crono,Comune,"La nascita degli dei greci (Crono, Zeus, l'Olimpo) | I Titani contro gli Dei (Titanomachia)"
k_c4e0tg9acm0y,Pericle,Comune,La democrazia ateniese
k_511bjpy9cm0y,Abraham Lincoln,Leggendaria,La guerra di secessione americana (1861-1865)
k_3g79sg21cm0y,Ginevra,Comune,"Lancillotto, Ginevra e la Tavola Rotonda"
k_cdwysl61cm0y,Shiva,Leggendaria,Vishnu e Shiva (mitologia indù)
k_qd0899ytcm0y,Visnù,Leggendaria,Vishnu e Shiva (mitologia indù)
k_axk6yms8cm0y,Seth,Comune,Osiride e Set (mitologia egizia)
k_8dmkzdlkcm0y,Minotauro,Comune,Teseo e il Minotauro
k_j2vx29w3cm0y,Efesto,Comune,Pandora e il vaso | Prometeo: il ladro di fuoco
k_tgyj8vbvcm0y,Perseo,Comune,Medusa e Perseo
k_oyjt0lq6cm0y,Dedalo,Comune,Icaro e Dedalo
k_y8oqgtp2cm0y,Montezuma II,Comune,L'impero azteco
k_3imy57g7cm0y,Robert Oppenheimer,Comune,Hiroshima e Nagasaki (1945)
k_iupi7oa1cm0y,Lenin,Leggendaria,La Rivoluzione russa (1917)
k_vbbosp6jcm0y,Maometto II,Comune,La caduta di Costantinopoli (1453)
k_xzvwjrl8cm0y,Costantino XI,Comune,La caduta di Costantinopoli (1453)
k_5xlg998yzjjr,Michail Gorbačëv,Epica,La caduta del muro di Berlino (1989) | Il disastro di Černobyl' (1986)
k_adut669nzjjr,John F. Kennedy,Epica,La crisi dei missili di Cuba (1962)
k_xnb909ztzjjr,Ho Chi Minh,Comune,La battaglia di Dien Bien Phu (1954) | La decolonizzazione: panorama (1945-1975)
k_676gqpy1zjjr,Harry S. Truman,Comune,Hiroshima e Nagasaki (1945) | Il piano Marshall (1947-1952)
k_8ti7fz02zjjr,Charles de Gaulle,Epica,La Blitzkrieg (1940) | La decolonizzazione: panorama (1945-1975) | La guerra d'Algeria (1954-1962)
g_mpzyw5pq_1qf3l,Urbano II,Comune,L'appello di Urbano II e la 1ª Crociata (1095)
g_mpzyw5pq_2nw7n,Alarico,Comune,Il sacco di Roma da parte dei Visigoti (410)
g_mpzyw5pq_3tcd9,Carlo Magno,Epica,L'incoronazione di Carlo Magno (800)
g_mpzyw5pq_45zh4,Leone III,Comune,L'incoronazione di Carlo Magno (800)
g_mpzyw5pq_5vji0,Giovanni Senzaterra,Comune,La Magna Carta (1215)
g_mpzyw5pq_6k4jo,Giovanna d'Arco,Epica,Giovanna d'Arco e la Guerra dei cent'anni (1429)
g_mpzyw5pq_7voeu,Cristoforo Colombo,Epica,La scoperta dell'America (1492)
g_mpzyw5pq_8f3k9,Napoleone Bonaparte,Epica,"La strategia di Napoleone a Ulm (1805) | La battaglia di Waterloo (1815) | Il rosso e il nero, Stendhal"
g_mpzyw5pq_9ua1p,Duca di Wellington,Comune,La battaglia di Waterloo (1815)
g_mpzyw5pq_a0yhn,Maresciallo Blücher,Comune,La battaglia di Waterloo (1815)
g_mpzyw5pq_bnz9p,Rosa Parks,Comune,Rosa Parks e Montgomery (1955)
g_mpzyw5pq_coto2,George Marshall,Comune,Il piano Marshall (1947-1952)
g_mpzyw5pq_d5dug,Nelson Mandela,Epica,L'apartheid e Mandela (1948-1994)
g_mpzyw5pq_eebm6,Mao Zedong,Epica,La Rivoluzione culturale in Cina (1966-1976)
g_mpzyw5pq_f5cv8,Alexander Fleming,Comune,"La scoperta della penicillina (Fleming, 1928)"
g_mpzyw5pq_g6uj4,Wilhelm Röntgen,Comune,"La scoperta dei raggi X (Röntgen, 1895)"
g_mpzyw5pq_hfud3,Isaac Newton,Epica,"La teoria della gravitazione (Newton, 1687) | La teoria della relatività per tutti"
g_mpzyw5pq_ihh74,Marie Curie,Epica,La scoperta della radioattività (Marie Curie)
g_mpzyw5pq_jlyf3,James Watson,Comune,"La struttura del DNA (Watson & Crick, 1953)"
g_mpzyw5pq_k2vzh,Francis Crick,Comune,"La struttura del DNA (Watson & Crick, 1953)"
g_mpzyw5pq_l550l,Charles Darwin,Epica,La teoria dell'evoluzione di Darwin (1859)
g_mpzyw5pq_ms1zg,Albert Einstein,Epica,Cos'è un buco nero? | La teoria della relatività per tutti
g_mpzyw5pq_ne1ty,Omero,Epica,"Odissea, Omero | Iliade, Omero | Le opere e i giorni, Esiodo | La guerra di Troia e il cavallo di legno"
g_mpzyw5pq_o9a0x,Ulisse,Epica,"Odissea, Omero | Ulisse e il Ciclope | Ulisse e le Sirene"
g_mpzyw5pq_p5hdr,Sofocle,Comune,"Edipo Re, Sofocle | Antigone, Sofocle | Antigone: dovere familiare vs legge dello Stato"
g_mpzyw5pq_q9t83,Edipo,Comune,"Edipo Re, Sofocle | Edipo e la Sfinge | Antigone: dovere familiare vs legge dello Stato"
g_mpzyw5pq_r47o7,Antigone,Comune,"Antigone, Sofocle | Antigone: dovere familiare vs legge dello Stato"
g_mpzyw5pq_s24ac,Platone,Epica,"Il Simposio, Platone | La Repubblica, Platone | L'Apologia di Socrate, Platone"
g_mpzyw5pq_te9vw,Socrate,Epica,"La Repubblica, Platone | L'Apologia di Socrate, Platone"
