id,Titre,Description,Cours
c_4kd6x78samcf,El Cuerpo Humano: de la Curación a la Tecnología,La evolución de nuestra relación con la salud y el progreso biológico.,"El descubrimiento de la penicilina (Fleming, 1928) | La estructura del ADN (Watson & Crick, 1953) | La IA y el empleo | La salud mental como desafío social"
c_vblwguvnamcf,Sonidos y Sentido: La Ciencia de la Música,¿Por qué nos emociona la música? Una exploración entre arte y biología.,Beethoven: genio y sordera | ¿Por qué ciertos sonidos nos dan escalofríos? | Bach y la música barroca | ¿Cómo funciona la electricidad en nuestro cuerpo? | El nacimiento de la música electrónica
c_fgpg15z4amcf,El Oro Negro y la Economía del Mundo,Comprender cómo el petróleo ha moldeado la geopolítica y la ciencia moderna.,El petróleo como fuente de conflictos | ¿Cómo funciona el precio del petróleo? | La Gran Depresión (1929) | ¿Qué es el efecto invernadero (realmente)? | El descubrimiento del microondas (por accidente)
c_m3308zqbamcf,El Espacio: la Última Frontera,La conquista del cosmos entre astrofísica e imaginario cinematográfico.,"El Big Bang | ¿Qué es un agujero negro? | Kubrick: 2001, una odisea del espacio | La teoría de la relatividad para todos | ¿Hay vida en otros lugares del Universo?"
c_idrry5c5amcf,El Tiempo de las Revueltas,Los grandes vuelcos sociales y artísticos que han redefinido la libertad.,"La toma de la Bastilla (1789) | La Comuna de París (1871) | Bob Dylan y el folk de protesta | La libertad guiando al pueblo, Delacroix | La Revolución rusa (1917)"
c_jbwuzn5zamcf,El Imperio del Miedo,"Exploración de los mecanismos del miedo a través del suspense, la ciencia y las crisis mundiales.","Hitchcock y el suspense | ¿Por qué tenemos escalofríos? | La crisis de los misiles en Cuba (1962) | 1984, George Orwell | El expresionismo: Munch y El Grito"
c_6870opqzamcf,Arquitectura y Poder,Cómo las estructuras construidas reflejan las creencias y los sistemas políticos.,La democracia ateniense | La arquitectura gótica: las catedrales | El Bauhaus | La caída del muro de Berlín (1989) | La coronación de Carlomagno (800)
c_7etcora6amcf,El fuego: entre castigo divino y energía,"Estudio del fuego a través de la Mitología, la geología y la historia de la tecnología.","Prometeo: el ladrón del fuego | ¿Por qué entran en erupción los volcanes? | Frankenstein, Mary Shelley | La transición energética | Fahrenheit 451, Bradbury"
c_nuv73pnuamcf,Genocidios y Memoria: Nunca más,"Un análisis histórico, sociológico y judicial de los crímenes contra la humanidad en el siglo XX.","La Shoah: mecanismos de un genocidio | El genocidio armenio (1915-1916) | El genocidio de Ruanda (1994) | El juicio de Núremberg (1945-1946) | Guernica, Picasso"
c_tl61pxu9amcf,El Hombre y el Mar: Mitos y Realidades,De la espuma de los mitos griegos a los desafíos geopolíticos contemporáneos de los océanos.,"La Odisea, Homero | Moby Dick, Melville | ¿Por qué es salada el agua del mar? | El Canal de Suez: por qué es estratégico | El aumento del nivel del mar"
c_9y3ap3px8kck,Mujeres de excepción: de la ciencia a la libertad,"Un recorrido transversal que honra a las mujeres que han transformado la Historia, ya sea a través de descubrimientos científicos mayores, luchas sociales o Literatura fundadora.","El descubrimiento de la radiactividad (Marie Curie) | Rosa Parks y Montgomery (1955) | Frankenstein, Mary Shelley | Juana de Arco y la Guerra de los Cien Años (1429)"
g_mpzqlws4_0n3de,El Panteón de la Grecia Antigua,Encuentre a los dioses y héroes que han moldeado el imaginario de la civilización occidental.,"El nacimiento de los dioses griegos (Cronos, Zeus, el Olimpo) | Hércules y sus 12 trabajos | Prometeo: el ladrón del fuego | Medusa y Perseo | Teseo y el Minotauro | La democracia ateniense"
g_mpzqlws4_1j8bg,Las revoluciones científicas,"De la gravitación al ADN, descubra los avances que han transformado nuestra comprensión de lo vivo.","La teoría de la gravitación (Newton, 1687) | La teoría de la evolución de Darwin (1859) | La estructura del ADN (Watson & Crick, 1953) | El descubrimiento de la radiactividad (Marie Curie) | La teoría de la relatividad para todos"
g_mpzqlws4_24n9h,Iniciación a la Historia del Arte,Un viaje visual desde las obras maestras del Renacimiento hasta las rupturas del Arte abstracto.,El Renacimiento italiano | La Gioconda | Caravaggio y el claroscuro | El nacimiento del impresionismo | El cubismo: Picasso y Braque | El arte abstracto: Kandinsky y Mondrian
g_mpzqlws4_382sp,Desafíos ecológicos del siglo XXI,Comprender los retos climáticos y las soluciones para preservar nuestro planeta.,El aumento del nivel del mar | Las migraciones climáticas | La transición energética | ¿Por qué las abejas son vitales? | La economía circular | El agua: ¿próxima fuente de conflictos? | El agujero de la capa de ozono (y su recuperación)
g_mpzqlws4_4xiac,Las distopías literarias,Cuando la Literatura imagina el peor de los mundos para cuestionar mejor nuestro presente.,"1984, George Orwell | Un mundo feliz, Aldous Huxley | Fahrenheit 451, Bradbury | Rebelión en la granja, George Orwell | El proceso, Kafka | Los GAFAM: poder y derivas | La desinformación y las fake news"
g_mpzqlws4_5kxjr,Los giros de la Guerra Mundial,Sumérjase en el corazón de los enfrentamientos decisivos que marcaron mediados del siglo XX.,La Blitzkrieg (1940) | La batalla de Stalingrado (1942-1943) | Hiroshima y Nagasaki (1945) | La Shoah: mecanismos de un genocidio | El juicio de Núremberg (1945-1946)
g_mpzqlws4_6mt1o,Los secretos del cerebro humano,"Explore los fascinantes mecanismos de la memoria, el sueño y la conciencia.",¿Por qué soñamos? | ¿Cómo funciona la memoria? | ¿Por qué dormimos? | ¿Por qué bostezamos? | ¿Cómo almacena el cerebro los recuerdos? | ¿Cómo funciona la electricidad en nuestro cuerpo?
g_mpzqlws4_7r1yy,Historia del séptimo Arte,Los grandes directores y los movimientos que han revolucionado la imagen animada.,"Charlie Chaplin y el cine mudo | Orson Welles y Citizen Kane | Hitchcock y el suspense | La Nouvelle Vague francesa | Kubrick: 2001, una odisea del espacio"
g_mpzqlws4_8liwv,La epopeya de Ulises,Siga el recorrido del héroe de Ítaca a través de los mitos y los textos fundacionales.,"La Odisea, Homero | Ulises y el Cíclope | Ulises y las Sirenas | La Ilíada, Homero"
g_mpzqlws4_9zcsy,Comprender la Geopolítica actual,Las claves para descifrar las relaciones de poder y las tensiones del Mundo moderno.,La rivalidad China–Estados Unidos | La guerra en Ucrania explicada | La Rusia de Putin | Las tensiones en torno a Taiwán | El concepto de mundo «multipolar»
g_mpzqlws4_afvtk,Grandes nombres del Teatro,De la tragedia griega dramática a los dramas shakespearianos.,"La tragedia griega y el teatro antiguo | El teatro de Shakespeare | Hamlet, Shakespeare | Edipo Rey, Sófocles | Antígona, Sófocles"
g_mpzqlws4_bonja,La era digital,De La invención de Internet a las derivas de las redes sociales y la IA.,La invención de Internet | Los GAFAM: poder y derivas | La IA y el empleo | La brecha digital mundial
g_mpzqlws4_cuig5,Esplendores de la Edad Media,"Entre castillos, catedrales y grandes epidemias: la Europa medieval.",La coronación de Carlomagno (800) | La arquitectura gótica: las catedrales | La Peste Negra en Europa (1347-1353) | Juana de Arco y la Guerra de los Cien Años (1429) | El llamado de Urbano II y la 1.ª Cruzada (1095)
g_mpzqlws4_dtp66,Progreso y Medicina,Cómo la ciencia ha aprendido a curar el cuerpo humano y a combatir los virus.,"El descubrimiento de la penicilina (Fleming, 1928) | El descubrimiento de la anestesia | El descubrimiento de los rayos X (Röntgen, 1895) | ¿Cómo mata el jabón a los virus?"
g_mpzqlws4_exr09,Los maestros de la Música,"Del rigor de Bach a la furia de Beethoven, la evolución de la armonía.",Bach y la música barroca | Mozart: niño prodigio y vida trágica | Beethoven: genio y sordera | La ópera de Verdi | El nacimiento de la música electrónica
g_mpzqlws4_fit77,Luchas por la libertad,Los movimientos civiles y las figuras que han roto las cadenas de la opresión.,Rosa Parks y Montgomery (1955) | El apartheid y Mandela (1948-1994) | La Comuna de París (1871) | La descolonización: panorama (1945-1975) | La toma de la Bastilla (1789)
g_mpzqlws4_gcstj,Introducción a la filosofía,"Los grandes interrogantes sobre el Estado, la moral y la condición humana.","Apología de Sócrates, Platón | La República, Platón | El Banquete, Platón | El mito de Sísifo, Camus | Cándido, Voltaire"
g_mpzqlws4_hlrmk,En los confines del Universo,Un viaje desde el nacimiento del cosmos a los misterios de los agujeros negros.,El Big Bang | ¿Qué es un agujero negro? | ¿Qué es la materia oscura? | ¿Hay vida en otros lugares del Universo? | La teoría de la relatividad para todos
g_mpzqlws4_ikf6h,Los engranajes de la economía mundial,"Comprender los flujos de capitales, las crisis y las nuevas formas de trabajo.","La Gran Depresión (1929) | Los paraísos fiscales explicados | La deuda mundial | La economía de plataforma [Uber, Airbnb...] | El petróleo como fuente de conflictos"
g_mpzqlws4_jwtrk,Fenómenos naturales explicados,Descubra la ciencia que se esconde detrás de las manifestaciones de nuestro planeta.,¿Por qué entran en erupción los volcanes? | ¿Cómo se forman los terremotos? | ¿Cómo se forman los rayos? | ¿Por qué hay estaciones? | La fotosíntesis explicada de forma sencilla
