courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_8_la_chute_de_constantinople_1453,4. Haçlı Seferi'nde Konstantinopolis'in yağmalanması,4. Haçlı Seferi'nde Konstantinopolis'in yağmalanması (1204),evenementConnexe,"Venedik'in dikkatini dağıtan haçlılar, 1204'te Hıristiyan Konstantinopolis'ini üç gün boyunca yağmaladılar. Bu travma Bizans'ı kalıcı olarak zayıflattı ve 1453 kuşatması sırasında Bizans'ın Batı'ya olan güvensizliğini açıklıyor.",short_form
course_8_la_chute_de_constantinople_1453,4. Haçlı Seferi'nin Konstantinopolis'i Yağmalaması,4. Haçlı Seferi'nin Konstantinopolis'i Yağmalaması (1204),evenementConnexe,"Venedik'in dikkatini dağıtan haçlılar, 1204'te Hıristiyan Konstantinopolis'ini üç gün boyunca yağmaladılar. Bu travma Bizans'ı kalıcı olarak zayıflattı ve 1453 kuşatması sırasında Bizans'ın Batı'ya olan güvensizliğini açıklıyor.",short_form
course_10_la_decouverte_de_l_amerique_1492,İspanyol Keşif,İspanyol Keşif (1492),evenementConnexe,"Granada'nın ele geçirilmesinin zaferi, kaynakları serbest bıraktı ve Kastilya'lı Isabella'nın Kolomb'a verdiği desteği açıklayan bir ulusal hırs ivmesi yarattı.",short_form
course_14_la_commune_de_paris_1871,Birinci Enternasyonal,Uluslararası İşçi Birliği (Birinci Enternasyonal),lieuInstitution,"1864 yılında Londra'da kurulan ve çeşitli ülkelerdeki sendikaları ve işçi partilerini bir araya getiren örgüt. Komün onun doğrudan eseri olmasa da, Marx onu işçi iktidarının ilk deneyimi olarak kutladı.",short_form
course_21_rosa_parks_et_montgomery_1955,Brown - Eğitim Kurulu,Brown - Eğitim Kurulu (1954),evenementConnexe,"ABD Yüksek Mahkemesi, devlet okullarında ayrımcılığın anayasaya aykırı olduğuna karar verdi. Bu karar Sivil Haklar Hareketi'ne hukuki ivme kazandırdı ve Montgomery'nin neden mahkemelerde de itiraz edildiğini açıklıyor.",short_form
course_22_la_crise_des_missiles_de_cuba_1962,MAD,Karşılıklı Garantili İmha (MAD),concept,"Nükleer doktrin, ne ABD'nin ne de SSCB'nin nükleer bir savaştan sağ çıkamayacağını belirtir. Bu dengeli terör mantığı herkesi saldırmaktan caydırdı ve Küba krizinin tüm dinamiğini yapılandırdı.",short_form
course_23_la_guerre_d_algerie_1954_1962,general darbesi,general darbesi (Nisan 1961),evenementConnexe,"Bağımsızlığa karşı çıkan dört generalin darbe girişimi. De Gaulle bir radyo konuşması sayesinde dört gün içinde bu durumu bastırdı. Bunu, Fransız yanlısı Cezayir terör örgütü olan OAS'ın kurulması izledi.",short_form
course_25_le_genocide_armenien_1915_1916,İttihat ve Terakki Cemiyeti,Jön Türkler (İttihat ve Terakki Cemiyeti),referenceHistorique,"1908'de Sultan II. Abdülhamid'i deviren Türk milliyetçi Hareketi. Enver-Talat-Cemal üçlüsü, aşırı milliyetçiler, soykırımı savaş bağlamında ""etnik açıdan saf bir Türkiye"" projesi kapsamında örgütlediler.",short_form
course_26_la_creation_de_l_onu_1945,UAD,Uluslararası Adalet Divanı (UAD),lieuInstitution,"BM'nin Lahey'de bulunan ve Devletler arasındaki anlaşmazlıkları çözen yargı organı. Bireyleri yargılayan ICC'den farklı olarak, Devletleri yargılar. Kararları bağlayıcıdır ancak uygulama mekanizması yoktur.",short_form
course_27_la_naissance_de_l_ue_de_la_ceca_a_maastr,Maastricht Anlaşması,Maastricht Anlaşması (1992),evenementConnexe,"Avrupa vatandaşlığını yaratan Avrupa Birliği'nin kurucu antlaşması, tek para birimi sürecinin başlatılması (2002'de euro), ortak bir dış politika ve katı ekonomik yakınsama kriterlerinin oluşturulması.",short_form
