courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_1_la_naissance_de_l_islam_622,Ummah,The Ummah,concept,"Community of Muslim believers, transcending tribal boundaries. All Muslims form a single body regardless of their origin.",short_form
course_1_la_naissance_de_l_islam_622,jihad,Jihad,concept,"Arabic term literally meaning ""effort"". Refers to the inner effort for self-improvement and the armed defense of the community.",content_link
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,Schism of 1054,The Schism of 1054,evenementConnexe,"Definitive break between the Roman Catholic Church and the Orthodox Church, over papal authority and the Filioque question. This schism made relations between Byzantium and Rome complex at the time when Alexios I was requesting military aid.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,Huns,The Huns,referenceHistorique,"Nomadic people from Central Asia who swept into Europe around 370, pushing the Goths and other Germanic peoples to cross Roman borders to flee. Their leader Attila would ravage Europe in the 450s.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,Roman foedus,The Roman foedus,concept,"Treaty by which Rome authorized a Barbarian people to settle on its territory in exchange for military service. The Visigoths obtained a foedus in 382, but Rome did not respect it, which explains Alaric's revolt.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,division of the Empire in 395,The division of the Empire in 395,evenementConnexe,"Upon the death of Theodosius I, the Empire was shared between his two sons: Honorius in the West (capital Ravenna) and Arcadius in the East (Constantinople). This permanent division weakened the response to invasions.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,City of God,The City of God,referenceHistorique,Theological and philosophical treatise by Saint Augustine written following the sack of Rome to justify Christianity against pagan criticism.,short_form
course_4_le_couronnement_de_charlemagne_800,Holy Roman Empire,The Holy Roman Empire,concept,"Politics entity born from The Coronation of Charlemagne (800), claiming to embody the continuity of the Roman Empire in the West under Christian authority. It lasted until 1806 and structured the Germanic space for a thousand years.",short_form
course_4_le_couronnement_de_charlemagne_800,missi dominici,The missi dominici,concept,"Carolingian ""envoys of the master"": royal inspectors sent in pairs (one bishop, one layman) to control local administration and render justice in the name of the emperor. Key instrument of Carolingian government over an immense territory.",short_form
course_5_la_magna_carta_1215,feudal system,The feudal system,concept,Medieval organization based on personal ties: the suzerain grants land (fief) in exchange for military service and loyalty. The Magna Carta (1215) was extracted within this contractual framework: the barons reminded the king of his obligations.,short_form
course_5_la_magna_carta_1215,1204,The loss of Normandy (1204),evenementConnexe,"Major Event where John Lackland lost his possessions to Philip II Augustus, provoking the fiscal crisis at the origin of the Magna Carta (1215).",short_form
course_5_la_magna_carta_1215,The loss of Normandy,The loss of Normandy (1204),evenementConnexe,"Major Event where John Lackland lost his possessions to Philip II Augustus, provoking the fiscal crisis at the origin of the Magna Carta (1215).",short_form
course_5_la_magna_carta_1215,loss of Normandy (1204),The loss of Normandy (1204),evenementConnexe,"Major Event where John Lackland lost his possessions to Philip II Augustus, provoking the fiscal crisis at the origin of the Magna Carta (1215).",short_form
course_5_la_magna_carta_1215,habeas corpus,Habeas corpus,concept,"Legal principle protecting against arbitrary arrest: any person arrested must be brought before a judge. A direct legacy of clause 39 of the Magna Carta, it became a pillar of Anglo-Saxon law.",content_link
course_6_la_peste_noire_en_europe_1347_1353,Italian maritime republics,The Italian maritime republics,lieuInstitution,"Genoa and Venice, whose commercial ships linked the Black Sea to Europe, were the vectors of the epidemic. Genoese ships introduced the plague to Sicily in 1347, spreading the bacteria through their Mediterranean trade networks.",short_form
course_6_la_peste_noire_en_europe_1347_1353,1348-1349,The Jewish pogroms (1348-1349),evenementConnexe,"Accused of poisoning wells, tens of thousands of Jews were massacred in Germany and France during the Plague. Pope Clement VI defended them but was little heard in devastated cities looking for scapegoats.",short_form
course_6_la_peste_noire_en_europe_1347_1353,The Jewish pogroms,The Jewish pogroms (1348-1349),evenementConnexe,"Accused of poisoning wells, tens of thousands of Jews were massacred in Germany and France during the Plague. Pope Clement VI defended them but was little heard in devastated cities looking for scapegoats.",short_form
course_6_la_peste_noire_en_europe_1347_1353,Jewish pogroms (1348-1349),The Jewish pogroms (1348-1349),evenementConnexe,"Accused of poisoning wells, tens of thousands of Jews were massacred in Germany and France during the Plague. Pope Clement VI defended them but was little heard in devastated cities looking for scapegoats.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,1420,The Treaty of Troyes (1420),evenementConnexe,"Agreement by which Charles VI of France disinherits his son, the Dauphin Charles, in favor of the King of England Henry V, creating a Franco-English dynastic union.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,The Treaty of Troyes,The Treaty of Troyes (1420),evenementConnexe,"Agreement by which Charles VI of France disinherits his son, the Dauphin Charles, in favor of the King of England Henry V, creating a Franco-English dynastic union.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,Treaty of Troyes (1420),The Treaty of Troyes (1420),evenementConnexe,"Agreement by which Charles VI of France disinherits his son, the Dauphin Charles, in favor of the King of England Henry V, creating a Franco-English dynastic union.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,coronation at Reims,The coronation at Reims,concept,"Ceremony by which the King of France was anointed with holy oil, conferring upon him a quasi-sacred character. Only a king crowned in Reims was fully legitimate in the eyes of the Church and the people - hence the urgency for Joan to lead Charles VII there.",short_form
