courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Kto je autorom knihy Les Fleurs du Mal?,"Charles Baudelaire vydal v roku 1857 Les Fleurs du Mal, rodný list modernej poézie.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Prečo boli Les Fleurs du Mal odsúdené v roku 1857?,"Zbierka bola odsúdená za „urážanie verejnej morálky“, čo je škandál, ktorý bude oficiálne zrušený až v roku 1949.","[""Za „urážanie verejnej morálky“"", ""Za plagiátorstvo"", ""Za podnecovanie politického násilia"", ""Za ohrozenie bezpečnosti štátu""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,V ktorom roku bolo oficiálne rehabilitovaných šesť odsúdených básní z Les Fleurs du Mal?,"Šesť básní odsúdených v roku 1857 bolo oficiálne rehabilitovaných až v roku 1949, teda o 92 rokov neskôr.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Čo predstavuje albatros v sekcii „Slezina a ideál“?,"Albatros, majestátny v lete, ale smiešny raz položený na zem, predstavuje básnika vo svete, ktorý mu nerozumie.","[""Básnik, majestátny v lete, ale smiešny na zemi"", ""Úplná sloboda umelca"", ""Nevyhnutná smrť"", ""Nedosiahnuteľná krása""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Ktorá časť zbierky robí z Paríža psychologickú krajinu?,"„Parížske maľby“ premieňajú mesto na psychologickú krajinu. Básnik sa tam potuluje ako kočík, pozorovateľ parížskeho života za Haussmanna.","[""\""Parížske maľby\"""", ""“Slezina a ideálne”"", ""“Víno”"", ""\""smrť\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Ktorá báseň opisuje prírodu ako „chrám“ znakov spájajúcich vône, farby a zvuky?","„Korespondencie“ opisujú prírodu ako chrám znamení. Miešajú sa tam zmysly: parfumy, farby a zvuky na seba reagujú.","[""\""korešpondencia\"""", ""\""Albatros\"""", ""\""slezina\"""", ""\""Kolekcia\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,"Pravda alebo nepravda: Baudelaire úplne odmieta klasické poetické formy, ako je sonet.","Baudelaire naopak spája klasickú formu, ako je sonet a alexandrín, s radikálne novou poetickou víziou.","[""Pravda"", ""Nepravda""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Aký básnický pohyb našla poetika Baudelairovej korešpondencie, ktorú následne niesli Verlaine a Mallarmé?","Táto poetika korešpondencie založila symbolizmus, ktorý následne niesli Verlaine a Mallarmé.","[""Symbolika"", ""Romantizmus"", ""Naturalizmus"", ""klasicizmus""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Ktorého amerického spisovateľa, označovaného ako „brat duše“, preložil Baudelaire?","Baudelaire preložil Edgara Poea, ktorého považoval za „brata duše“, ktorý zdieľal jeho chuť k moru.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Ako Baudelaire zhŕňa svoju poetickú alchýmiu získavania krásy z blata?,Baudelaire zhrnul svoj projekt týmto vzorcom: „Dal si mi svoje blato a ja som z neho urobil zlato“.,"[""\""Dal si mi svoje blato a urobil som z neho zlato\"""", ""“Krása je večná”"", ""„Zlo plodí zlo“"", ""“Umenie pre umenie”""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,Aké je skutočné meno Georgea Orwella?,George Orwell je pseudonym Erica Arthura Blaira.,"[""Eric Arthur Blair"", ""George Bernard Shaw"", ""Aldous Huxley"", ""Herbert George Wells""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,Aký konflikt bojoval Orwell pred napísaním roku 1984?,"Orwell bojoval v rokoch 1936-1937 v milíciách POUM počas španielskej občianskej vojny, kde bol zranený.","[""Španielska občianska vojna"", ""Prvá svetová vojna"", ""Búrska vojna"", ""Alžírska vojna""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q3,mcq,"Čo Orwella počas tejto skúsenosti najviac zasiahlo, okrem násilia?","To, čo Orwella zasiahne najviac, je vidieť, ako noviny prepisujú minulosť a vymazávajú bojovníkov, posadnutosť štátnymi klamstvami, ktorá poháňa román.","[""Falšovanie faktov a minulosti prostredníctvom propagandy"", ""Nedostatok jedla"", ""Zrada jeho kamarátov"", ""Cenzúra zahraničnej tlače""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q4,mcq,Aký skutočný totalitný režim inšpiruje systém Oceánie?,Systém Oceánie je ako vzor inšpirovaný najmä sovietskou totalitou.,"[""Sovietska totalita"", ""taliansky fašizmus"", ""Vichystický režim"", ""Britské impérium""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q5,mcq,"Ako sa volá jediná strana, ktorá riadi Oceániu?","Oceániu riadi Ingsoc, ktorá je založená na štyroch paradoxných ministerstvách: Mier, Hojnosť, Láska a Pravda.","[""Ingsoc"", ""Ľudová strana"", ""Červená liga"", ""Centrálny blok""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q6,mcq,Čo robí Winston Smith pre prácu na Ministerstve pravdy?,"Winston Smith pracuje na Ministerstve pravdy, kde vymazáva minulosť, aby sa zmestila do prítomnosti definovanej Stranou.","[""Vymazáva a prepisuje minulosť, aby sa hodila k prítomnosti Strany"", ""Cez televízne obrazovky sleduje občanov"", ""Píše prejavy Veľkého brata"", ""Trénuje nových členov Strany""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q7,mcq,"Čo nazývate schopnosťou prijať dve protichodné pravdy naraz, v roku 1984?","Doublethink odkazuje na schopnosť prijať dve protichodné pravdy naraz, čo je pilier kontroly mysle Strany.","[""Doublethink"", ""Newspeak"", ""Teleobrazovka"", ""Ingsoc""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q8,mcq,Prečo strana redukuje slovnú zásobu prostredníctvom Newspeaku?,"Newspeak redukuje dostupnú slovnú zásobu, aby bolo nemožné formulovať samotné kritické myslenie.","[""Znemožniť kritické myslenie"", ""Pre zjednodušenie administratívy"", ""Na uľahčenie medzinárodného obchodu"", ""Zjednotiť regionálne nárečia""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q9,chronological,Daj do poriadku tieto etapy Orwellovho života a diela.,"Tieto štyri etapy označujú Orwellovu kariéru: Španielska občianska vojna (1936-1937), Farma zvierat (1945), 1984 (1949), potom jeho smrť v roku 1950.",,,"[""Orwell bojoval v milíciách POUM počas španielskej občianskej vojny"", ""Vydáva Farma zvierat"", ""Publikoval v roku 1984"", ""Zomrel v Škótsku krátko po vydaní svojho románu.""]",,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q10,trueFalse,Pravda alebo nepravda: na konci románu Winston Smith skončí s láskou k Veľkému bratovi.,"Totalita víťazí na psychologickej úrovni: Winston nielen poslúchne, ale aj zamiluje si Veľkého brata.","[""Pravda"", ""Nepravda""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q1,mcq,Akú historickú udalosť zobrazuje Farma zvierat vo forme alegórie?,Orwell transponuje hlavné etapy ruskej revolúcie a stalinistickej zrady do zvieracej bájky.,"[""Ruská revolúcia"", ""Francúzska revolúcia"", ""Španielska občianska vojna"", ""Anglická priemyselná revolúcia""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q2,mcq,Aké zviera predstavuje Stalin v Orwellovej alegórii?,"Napoleon, prasa, ktoré prevezme moc silou po prenasledovaní Snowball, modeluje postavu Stalina.","[""Napoleon"", ""Starý major"", ""Snehová guľa"", ""Malabar""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q3,trueFalse,"Pravda alebo nepravda: Vydavateľ T.S. Eliot odmietol zverejniť Orwellov rukopis, pretože sa obával, že bystré prasatá urazili štátnikov.","T.S. Eliot, vtedajší redaktor, vlastne z tohto dôvodu rukopis odmietol.","[""Pravda"", ""Nepravda""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q4,mcq,Čo predstavujú Napoleonove psy v alegórii?,"Psy vycvičené Napoleonom, aby prenasledovali Snowball a terorizovali farmu, predstavujú sovietsku tajnú políciu.","[""Tajná polícia"", ""Cárova pravidelná armáda"", ""Vzbúrení roľníci"", ""Oficiálni novinári""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q5,mcq,Ktoré zviera stelesňuje proletariát vykorisťovaný až do vyčerpania?,"Malabar, oddaný a neúnavný pracant, symbolizuje proletariát, ktorý pracuje bez toho, aby spochybňoval autoritu.","[""Malabar, tvrdo pracujúci kôň"", ""Brille-Babil, propagandista"", ""Starý major"", ""Snehová guľa""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q6,chronological,Urobte si poriadok v týchto krokoch z Farmy zvierat.,Táto sekvencia ukazuje postupný posun od rovnostárskej revolúcie k diktatúre svíň.,,,"[""Zvieratá prenasledujú farmára Jonesa"", ""Napoleon naháňa Snowball so svojimi psami"", ""Ošípané tajne menia Sedem prikázaní"", ""Ošípané začínajú chodiť po dvoch nohách""]",,,,,
