courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Kdo je autorem Les Fleurs du Mal?,"Charles Baudelaire vydal v roce 1857 Les Fleurs du Mal, rodný list moderní poezie.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Proč byly Les Fleurs du Mal v roce 1857 odsouzeny?,"Sbírka byla odsouzena za „urážku veřejné morálky“, což je skandál, který bude oficiálně zrušen až v roce 1949.","[""Za „urážku veřejné morálky“"", ""Za plagiátorství"", ""Za podněcování politického násilí"", ""Za ohrožení bezpečnosti státu""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,Ve kterém roce bylo oficiálně rehabilitováno šest odsouzených básní z Les Fleurs du Mal?,"Šest básní odsouzených v roce 1857 bylo oficiálně rehabilitováno až v roce 1949, tedy o 92 let později.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Co představuje albatros v sekci „Slezina a ideál“?,"Albatros, majestátní v letu, ale směšný, jakmile byl položen na zem, představuje básníka ve světě, který mu nerozumí.","[""Básník, majestátní v letu, ale směšný na zemi"", ""Naprostá svoboda umělce"", ""Nevyhnutelná smrt"", ""Nedosažitelná krása""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Která část sbírky dělá z Paříže psychologickou krajinu?,"„Pařížské obrazy“ proměňují město v psychologickou krajinu. Básník se tam toulá jako kočárek, pozorovatel pařížského života za Haussmanna.","[""\""Pařížské malby\"""", ""“Slezina a ideální”"", ""“Víno”"", ""\""Smrt\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Která báseň popisuje přírodu jako „chrám“ znaků spojujících vůně, barvy a zvuky?","„Korespondence“ popisuje přírodu jako chrám znamení. Smysly se tam mísí: parfémy, barvy a zvuky na sebe reagují.","[""\""korespondence\"""", ""\""Albatros\"""", ""\""Slezina\"""", ""\""Sbírka\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,"Pravda nebo lež: Baudelaire zcela odmítá klasické poetické formy, jako je sonet.","Baudelaire naopak spojuje klasickou formu, jako je sonet a alexandrin, s radikálně novou poetickou vizí.","[""Pravda"", ""Nepravda""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Jaký básnický pohyb našla poetika Baudelairovy korespondence, kterou následně nesli Verlaine a Mallarmé?","Tato poetika korespondence založila symbolismus, který následně nesli Verlaine a Mallarmé.","[""Symbolika"", ""Romantismus"", ""Naturalismus"", ""Klasicismus""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Kterého amerického spisovatele, popisovaného jako „bratr duše“, přeložil Baudelaire?","Baudelaire přeložil Edgara Poea, kterého považoval za „bratra duše“, který sdílel jeho chuť na hrůzu.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Jak Baudelaire shrnuje svou poetickou alchymii získávání krásy z bahna?,Baudelaire shrnuje svůj projekt tímto vzorcem: „Dal jsi mi své bahno a já jsem z něj udělal zlato“.,"[""\""Dal jsi mi své bahno a já z něj udělal zlato\"""", ""“Krása je věčná”"", ""„Zlo plodí zlo“"", ""„Umění pro umění“""]",0,,,,,,
