courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Ki a Les Fleurs du Mal szerzője?,"Charles Baudelaire 1857-ben adta ki a Les Fleurs du Mal-t, a modern költészet születési anyakönyvi kivonatát.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Miért ítélték el a Les Fleurs du Mal-t 1857-ben?,"A gyűjteményt a „közerkölcs elleni felháborodás” miatt ítélték el, ez a botrány hivatalosan csak 1949-ben szűnik meg.","[""A „közerkölcs megbotránkozásáért”"", ""Plágiumért"", ""A politikai erőszak felbujtásáért"", ""Az állambiztonság veszélyeztetése miatt""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,Melyik évben rehabilitálták hivatalosan a Les Fleurs du Mal hat elítélt versét?,"Az 1857-ben elítélt hat verset hivatalosan csak 92 évvel később, 1949-ben rehabilitálták.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Mit jelent az albatrosz a „Lép és ideális” részben?,"Az albatrosz, amely repülés közben fenséges, de ha egyszer a földre került, nevetséges, a költőt képviseli egy olyan világban, amely nem érti őt.","[""A költő, fenséges repülés közben, de nevetséges a földön"", ""A művész teljes szabadsága"", ""Az elkerülhetetlen halál"", ""Elérhetetlen szépség""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,A gyűjtemény melyik része teszi Párizst pszichológiai tájképévé?,"A „Párizsi festmények” pszichológiai tájképgé varázsolja a várost. A költő babakocsiként bolyong ott, a párizsi élet szemlélője Haussmann alatt.","[""\""Párizsi festmények\"""", ""“Lép és ideális”"", ""“A bor”"", ""\""Halál\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Melyik vers írja le a természetet az illatokat, színeket és hangokat összekötő jelek „templomaként”?","A „levelezés” a természetet a jelek templomaként írja le. Ott keverednek az érzékek: parfümök, színek és hangok reagálnak egymásra.","[""„Levelezések”"", ""\""Az Albatrosz\"""", ""\""Lép\"""", ""\""Gyűjtemény\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,"Igaz vagy hamis: Baudelaire teljes mértékben elutasítja az olyan klasszikus költői formákat, mint a szonett.","Baudelaire éppen ellenkezőleg, a klasszikus formát, például a szonettet és az alexandrint egy gyökeresen új költői látásmódhoz kapcsolja.","[""Igaz"", ""Hamis""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Milyen költői mozgalmat talált Baudelaire levelezésének poétikája, amelyet később Verlaine és Mallarmé vitt?","Ez a megfeleltetési poétika alapozta meg a szimbolizmust, amelyet később Verlaine és Mallarmé hordozott.","[""A szimbolizmus"", ""Romantika"", ""Naturalizmus"", ""Klasszicizmus""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,Melyik „lélektestvérnek” nevezett amerikai írót fordította Baudelaire?,"Baudelaire lefordította Edgar Poe-t, akit „lélektestvérnek” tartott, aki osztotta a hátborzongató ízlését.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Hogyan foglalja össze Baudelaire a szépség sárból való kiemelésének költői alkímiáját?,"Baudelaire ezzel a képlettel foglalja össze projektjét: „Te adtad nekem a saradat, és aranyat csináltam belőle”.","[""\""Te adtad nekem a saradat, és aranyat csináltam belőle\"""", ""„A szépség örök”"", ""\""A gonosz rosszat szül\"""", ""„Művészet a művészetért”""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,Mi George Orwell valódi neve?,George Orwell Eric Arthur Blair álneve.,"[""Eric Arthur Blair"", ""George Bernard Shaw"", ""Aldous Huxley"", ""Herbert George Wells""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,Milyen konfliktust vívott Orwell 1984 megírása előtt?,"Orwell 1936-1937 között a POUM milíciákban harcolt a spanyol polgárháborúban, ahol megsérült.","[""A spanyol polgárháború"", ""Az első világháború"", ""A búr háború"", ""Az algériai háború""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q3,mcq,Az erőszakon kívül mi ütötte meg Orwellt leginkább ebben az élményben?,"Orwellt leginkább az üti meg, hogy az újságok átírják a múltat ​​és eltörlik a harcosokat, az állami hazugságok megszállottsága, amely a regényt táplálja.","[""A tények és a múlt meghamisítása propagandával"", ""Étel hiánya"", ""Társainak árulása"", ""A külföldi sajtó cenzúrája""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q4,mcq,Milyen valódi totalitárius rezsim inspirálja az óceániai rendszert?,Az óceániai rendszert különösen a szovjet totalitarizmus mint modell ihlette.,"[""Szovjet totalitarizmus"", ""olasz fasizmus"", ""A Vichy-rezsim"", ""A Brit Birodalom""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q5,mcq,Mi a neve az Óceániát irányító egyetlen pártnak?,"Óceániát az Ingsoc irányítja, amely négy paradox szolgálatra épül: a békére, a bőségre, a szeretetre és az igazságra.","[""Ingsoc"", ""A Néppárt"", ""A Vörös Liga"", ""A központi blokk""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q6,mcq,Mit tesz Winston Smith az Igazságügyi Minisztériumban?,"Winston Smith az Igazságügyi Minisztériumban dolgozik, ahol kitörli a múltat, hogy illeszkedjen a párt által meghatározott jelenhez.","[""Kitörli és átírja a múltat, hogy illeszkedjen a Párt jelenéhez"", ""Teleképernyőn keresztül figyeli a polgárokat"", ""Ő írja a Nagy Testvér beszédeit"", ""A Párt új tagjait képezi ki""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q7,mcq,"Hogyan nevezik 1984-ben azt a képességet, hogy két egymásnak ellentmondó igazságot egyszerre elfogadjunk?","A Doublethink két egymásnak ellentmondó igazság egyszerre történő elfogadásának képességére utal, ami a Párt elmekontrolljának pillére.","[""Doublethink"", ""Újbeszéd"", ""A teleképernyő"", ""Ingsoc""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q8,mcq,Miért csökkenti a Párt a szókincset a Newspeaken keresztül?,"A Newspeak csökkenti a rendelkezésre álló szókincset, hogy lehetetlenné tegye a kritikai gondolkodás megfogalmazását.","[""Lehetetlenné tenni a kritikus gondolkodást"", ""Az adminisztráció egyszerűsítése érdekében"", ""A nemzetközi kereskedelem megkönnyítése érdekében"", ""A regionális nyelvjárások egységesítése""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q9,chronological,Tedd rendbe Orwell életének és munkásságának ezeket a szakaszait.,"Ez a négy szakasz jelzi Orwell karrierjét: a spanyol polgárháború (1936-1937), az Állatfarm (1945), 1984 (1949), majd halála 1950-ben.",,,"[""Orwell a POUM milíciákban harcolt a spanyol polgárháború alatt"", ""Kiadja az Állatfarmot"", ""1984-et publikált"", ""Nem sokkal regénye megjelenése után halt meg Skóciában.""]",,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q10,trueFalse,Igaz vagy hamis: a regény végén Winston Smith végül megszereti a Big Brothert.,"A totalitarizmus lélektani szinten győz: Winston nemcsak engedelmeskedik, hanem meg is szereti a Big Brothert.","[""Igaz"", ""Hamis""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q1,mcq,Milyen történelmi eseményt ábrázol az Állatfarm allegória formájában?,Orwell állatmesébe ülteti át az orosz forradalom és a sztálini árulás főbb állomásait.,"[""Az orosz forradalom"", ""A francia forradalom"", ""A spanyol polgárháború"", ""Az angol ipari forradalom""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q2,mcq,Milyen állatot képvisel Sztálin Orwell allegóriájában?,"Napóleon, a disznó, aki erőszakkal veszi át a hatalmat Hógolyó üldözése után, Sztálin alakját mintázza meg.","[""Napóleon"", ""Az öreg őrnagy"", ""Hógolyó"", ""Malabar""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q3,trueFalse,"Igaz vagy hamis: T.S. kiadó Eliot megtagadta Orwell kéziratának kiadását, attól tartva, hogy az okos disznók megsértik az államférfiakat.","T.S. Eliot, az akkori szerkesztő valójában emiatt utasította el a kéziratot.","[""Igaz"", ""Hamis""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q4,mcq,Mit ábrázolnak Napóleon kutyái az allegóriában?,A Napóleon által Hógolyó üldözésére és a farm terrorizálására kiképzett kutyák a szovjet titkosrendőrséget képviselik.,"[""A titkosrendőrség"", ""A cár reguláris hadserege"", ""A lázadó parasztok"", ""Hivatalos újságírók""]",0,,,,,,
