courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Kdo je avtor Les Fleurs du Mal?,"Charles Baudelaire je leta 1857 izdal Les Fleurs du Mal, rojstni list moderne poezije.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Zakaj so bili Les Fleurs du Mal obsojeni leta 1857?,"Zbirka je bila obsojena zaradi ""ogorčenja javne morale"", škandala, ki je bil uradno razglašen šele leta 1949.","[""Za »zločitev javne morale«"", ""Za plagiat"", ""Zaradi spodbujanja političnega nasilja"", ""Zaradi ogrožanja državne varnosti""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,Katerega leta je bilo šest obsojenih pesmi iz Les Fleurs du Mal uradno rehabilitiranih?,"Šest pesmi, obsojenih leta 1857, je bilo uradno rehabilitiranih šele leta 1949, 92 let pozneje.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Kaj predstavlja albatros v razdelku »Vranica in ideal«?,"Albatros, veličasten v letu, a smešen, ko je postavljen na tla, predstavlja pesnika v svetu, ki ga ne razume.","[""Pesnik, veličasten v letu, a smešen na tleh"", ""Popolna svoboda umetnika"", ""Neizogibna smrt"", ""Nedosegljiva lepota""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Kateri del zbirke naredi Pariz psihološko pokrajino?,"""Pariške slike"" spremenijo mesto v psihološko pokrajino. Pesnik se tam potepa kot sprehajalec, opazovalec pariškega življenja pod Haussmannom.","[""\""Pariške slike\"""", ""“Vranica in ideal”"", ""\""Vino\"""", ""\""Smrt\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Katera pesem opisuje naravo kot »tempelj« znakov, ki povezujejo vonjave, barve in zvoke?","»Korespondenca« naravo opisuje kot tempelj znamenj. Tam se mešajo čutila: dišave, barve in zvoki se odzivajo drug na drugega.","[""“Korespondenca”"", ""\""Albatros\"""", ""\""vranica\"""", ""“Zbirka”""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,"Res ali ne: Baudelaire v celoti zavrača klasične pesniške oblike, kot je sonet.","Nasprotno, Baudelaire povezuje klasično obliko, kot sta sonet in aleksandrinka, z radikalno novo pesniško vizijo.","[""Prav"", ""Narobe""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Kakšno pesniško gibanje je našla poetika Baudelairove korespondence, ki sta jo kasneje nosila Verlaine in Mallarmé?","Ta poetika dopisovanja je utemeljila simbolizem, ki sta ga nato nosila Verlaine in Mallarmé.","[""Simbolika"", ""romantika"", ""Naturalizem"", ""klasicizem""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Katerega ameriškega pisatelja, ki ga opisujejo kot »dušnega brata«, je prevedel Baudelaire?","Baudelaire je prevedel Edgarja Poeja, ki ga je imel za ""dušnega brata"", ki je delil njegov okus za grozljivo.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Kako Baudelaire povzema svojo poetično alkimijo pridobivanja lepote iz blata?,Baudelaire svoj projekt povzame s formulo: »Dal si mi svoje blato in iz njega sem naredil zlato«.,"[""\""Dal si mi svoje blato in iz njega sem naredil zlato\"""", ""“Lepota je večna”"", ""\""Zlo rodi zlo\"""", ""“Umetnost zaradi umetnosti”""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,Kakšno je pravo ime Georgea Orwella?,George Orwell je psevdonim Erica Arthurja Blaira.,"[""Eric Arthur Blair"", ""George Bernard Shaw"", ""Aldous Huxley"", ""Herbert George Wells""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,"V katerem konfliktu se je bojeval Orwell, preden je napisal 1984?","Orwell se je boril v letih 1936-1937 v milicah POUM med špansko državljansko vojno, kjer je bil ranjen.","[""Španska državljanska vojna"", ""Prva svetovna vojna"", ""Burska vojna"", ""Alžirska vojna""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q3,mcq,Kaj je Orwella med to izkušnjo najbolj prizadelo poleg nasilja?,"Orwella najbolj preseneti, ko vidi, kako časopisi prepisujejo preteklost in izbrišejo borce, obsedenost z državnimi lažmi, ki napaja roman.","[""Potvarjanje dejstev in preteklosti s propagando"", ""Pomanjkanje hrane"", ""Izdaja njegovih tovarišev"", ""Cenzura tujega tiska""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q4,mcq,Kateri resnični totalitarni režim navdihuje sistem Oceanije?,Oceanijski sistem se zgleduje predvsem po sovjetskem totalitarizmu kot modelu.,"[""Sovjetski totalitarizem"", ""italijanski fašizem"", ""Vichyjev režim"", ""Britanski imperij""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q5,mcq,"Kako se imenuje ena sama stranka, ki vodi Oceanijo?","Oceanijo vodi Ingsoc, ki temelji na štirih paradoksalnih ministrstvih: mir, obilje, ljubezen in resnica.","[""Ingsoc"", ""Ljudska stranka"", ""Rdeča liga"", ""Centralni blok""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q6,mcq,Kaj naredi Winston Smith za delo na ministrstvu za resnico?,"Winston Smith dela na ministrstvu za resnico, kjer briše preteklost, da bi ustrezala sedanjosti, ki jo določa stranka.","[""Briše in na novo piše preteklost, da se prilega partijski sedanjosti"", ""Državljane spremlja preko teleekranov"", ""Piše govore Big Brotherja"", ""Usposablja nove člane stranke""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q7,mcq,Kako leta 1984 imenujete sposobnost sprejemanja dveh protislovnih resnic hkrati?,"Dvojno mišljenje se nanaša na sposobnost sprejemanja dveh nasprotujočih si resnic hkrati, steber partijske kontrole uma.","[""Doublethink"", ""Novogovor"", ""Teleekran"", ""Ingsoc""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q8,mcq,Zakaj partija z novogovorom krči besedni zaklad?,"Novogovor zmanjša razpoložljivo besedišče, tako da kritičnega mišljenja ni mogoče oblikovati.","[""Onemogočiti kritično mišljenje"", ""Za poenostavitev administracije"", ""Za olajšanje mednarodne trgovine"", ""Poenotiti regionalna narečja""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q9,chronological,Postavite te faze Orwellovega življenja in dela v red.,"Te štiri faze zaznamujejo Orwellovo kariero: španska državljanska vojna (1936-1937), Živalska farma (1945), 1984 (1949), nato njegova smrt leta 1950.",,,"[""Orwell se je med špansko državljansko vojno boril v milicah POUM"", ""Objavlja Živalsko farmo"", ""Objavil je 1984"", ""Umrl je na Škotskem kmalu po izidu svojega romana.""]",,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q10,trueFalse,Res ali ne: na koncu romana Winston Smith na koncu vzljubi Big Brotherja.,"Totalitarizem zmaga na psihološki ravni: Winston ne le uboga, ampak tudi vzljubi Big Brotherja.","[""Prav"", ""Narobe""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q1,mcq,Kateri zgodovinski dogodek Živalska farma prikazuje v obliki alegorije?,Orwell glavne faze ruske revolucije in stalinistične izdaje prenese v živalsko pravljico.,"[""Ruska revolucija"", ""Francoska revolucija"", ""Španska državljanska vojna"", ""Angleška industrijska revolucija""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q2,mcq,Katero žival predstavlja Stalin v Orwellovi alegoriji?,"Napoleon, prašič, ki po lovu na Snežno kepo s silo prevzame oblast, je model Stalina.","[""Napoleon"", ""Stari Major"", ""Snežna kepa"", ""Malabar""]",0,,,,,,
