courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Kuka on Les Fleurs du Malin kirjoittaja?,"Charles Baudelaire julkaisi Les Fleurs du Malin vuonna 1857, modernin runouden syntymätodistuksen.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Miksi Les Fleurs du Mal tuomittiin vuonna 1857?,"Kokoelma tuomittiin ""julkisen moraalin raivosta"", skandaalista, joka purettiin virallisesti vasta vuonna 1949.","[""\""Yleisen moraalin raivosta\"""", ""Plagioinnin vuoksi"", ""Poliittisen väkivallan yllyttämisestä"", ""Valtion turvallisuuden vaarantamisesta""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,Minä vuonna Les Fleurs du Malin kuusi tuomittua runoa kunnostettiin virallisesti?,"Vuonna 1857 tuomitut kuusi runoa kunnostettiin virallisesti vasta vuonna 1949, 92 vuotta myöhemmin.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,"Mitä albatrossi edustaa ""Perna ja ihanne"" -osiossa?","Albatrossi, majesteettinen lennossa, mutta naurettava, kun se on asetettu maahan, edustaa runoilijaa maailmassa, joka ei ymmärrä häntä.","[""Runoilija, majesteettinen lennossa, mutta naurettava maassa"", ""Taiteilijan täydellinen vapaus"", ""Väistämätön kuolema"", ""Saavutamaton kauneus""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Mikä kokoelman osa tekee Pariisista psykologisen maiseman?,"”Pariisilaiset maalaukset” muuttaa kaupungin psykologiseksi maisemaksi. Runoilija vaeltelee siellä lastenrattaana, pariisilaisen elämän tarkkailijana Haussmannin alaisuudessa.","[""\""Pariisilaisia maalauksia\"""", ""“Perna ja ihanteellinen”"", ""\""Viini\"""", ""\""Kuolema\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Mikä runo kuvaa luontoa tuoksuja, värejä ja ääniä yhdistävien merkkien ”temppeliksi”?","""Kirjeenvaihto"" kuvaa luontoa merkkien temppeliksi. Siellä aistit sekoittuvat: hajuvedet, värit ja äänet reagoivat toisiinsa.","[""\""Kirjeenvaihto\"""", ""\""Albatrossi\"""", ""\""Perna\"""", ""\""Kokoelma\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,"Totta vai tarua: Baudelaire hylkää kokonaan klassiset runomuodot, kuten sonetin.","Baudelaire päinvastoin yhdistää klassisen muodon, kuten sonetin ja aleksandriinin, radikaalisti uuteen runolliseen visioon.","[""Tosi"", ""Epätosi""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Minkä runollisen liikkeen Baudelairen kirjeenvaihdon poetiikka löysi, ja sen myöhemmin kantavat Verlaine ja Mallarmé?","Tämä vastaavuuden poetiikka perusti symbolismin, jota myöhemmin kantavat Verlaine ja Mallarmé.","[""Symboliikka"", ""Romantiikka"", ""Naturalismi"", ""Klassismi""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Minkä ""sieluveljeksi"" kuvatun amerikkalaisen kirjailijan Baudelaire käänsi?","Baudelaire käänsi Edgar Poen, jota hän piti ""sieluveljenä"", joka jakoi makunsa makaaberia kohtaan.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Miten Baudelaire tiivistää runollisen alkemiansa kauneuden poimimisesta mudasta?,"Baudelaire tiivistää projektinsa tällä kaavalla: ""Annoit minulle mutasi ja tein siitä kultaa"".","[""\""Annoit minulle mutasi ja tein siitä kultaa\"""", ""\""Kauneus on ikuista\"""", ""\""Paha synnyttää pahan\"""", ""\""Taidetta taiteen vuoksi\""""]",0,,,,,,
