courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Ποιος είναι ο συγγραφέας του Les Fleurs du Mal;,"Ο Charles Baudelaire δημοσίευσε το Les Fleurs du Mal το 1857, το πιστοποιητικό γέννησης της σύγχρονης ποίησης.","[""Charles Baudelaire"", ""Πολ Βερλαίν"", ""Στεφάν Μαλαρμέ"", ""Άρθουρ Ρεμπώ""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Γιατί καταδικάστηκαν το Les Fleurs du Mal το 1857;,"Η συλλογή καταδικάστηκε για «αγανάκτηση των δημοσίων ηθών», ένα σκάνδαλο που δεν θα άρει επίσημα μέχρι το 1949.","[""Για «αγανάκτηση των δημοσίων ηθών»"", ""Για λογοκλοπή"", ""Για υποκίνηση πολιτικής βίας"", ""Για να τεθεί σε κίνδυνο η κρατική ασφάλεια""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,Ποια χρονιά αποκαταστάθηκαν επίσημα τα έξι καταδικασμένα ποιήματα από το Les Fleurs du Mal;,"Τα έξι ποιήματα που καταδικάστηκαν το 1857 δεν αποκαταστάθηκαν επίσημα παρά το 1949, 92 χρόνια αργότερα.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Τι αντιπροσωπεύει το άλμπατρος στην ενότητα «Σπλήνας και Ιδανικό»;,"Το άλμπατρος, μεγαλοπρεπές στο πέταγμα, αλλά γελοίο κάποτε τοποθετημένο στο έδαφος, αντιπροσωπεύει τον ποιητή σε έναν κόσμο που δεν τον καταλαβαίνει.","[""Ο ποιητής, μεγαλοπρεπής στην πτήση αλλά γελοίος στο έδαφος"", ""Πλήρης ελευθερία του καλλιτέχνη"", ""Ο αναπόφευκτος θάνατος"", ""Ανέφικτη ομορφιά""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Ποιο τμήμα της συλλογής κάνει το Παρίσι ένα ψυχολογικό τοπίο;,"Οι «Παρισινοί Πίνακες» μετατρέπουν την πόλη σε ψυχολογικό τοπίο. Ο ποιητής περιπλανιέται εκεί ως περιπατητής, παρατηρητής της παρισινής ζωής υπό τον Χάουσμαν.","[""“Παρισινοί πίνακες”"", ""“Σπλήνα και ιδανικό”"", ""“Το κρασί”"", ""\""Θάνατος\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Ποιο ποίημα περιγράφει τη φύση ως «ναό» σημείων που συνδέουν αρώματα, χρώματα και ήχους;","Το «Correspondences» περιγράφει τη φύση ως ναό σημείων. Οι αισθήσεις αναμειγνύονται εκεί: αρώματα, χρώματα και ήχοι ανταποκρίνονται μεταξύ τους.","[""\""Αλληλογραφία\"""", ""“Το Άλμπατρος”"", ""\""Σπλήνα\"""", ""\""Συλλογή\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,Σωστό ή λάθος: Ο Μπωντλαίρ απορρίπτει εντελώς κλασικές ποιητικές φόρμες όπως το σονέτο.,"Ο Μπωντλαίρ, αντίθετα, συνδέει την κλασική φόρμα, όπως το σονέτο και το αλεξανδρινό, με ένα ριζικά νέο ποιητικό όραμα.","[""Σωστό"", ""Λάθος""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Ποια ποιητική κίνηση βρήκε η ποιητική της αλληλογραφίας του Μπωντλαίρ, την οποία μετέφεραν στη συνέχεια ο Βερλαίν και ο Μαλαρμέ;","Αυτή η ποιητική των αντιστοιχιών ίδρυσε τον συμβολισμό, τον οποίο στη συνέχεια έφεραν οι Βερλαίν και Μαλαρμέ.","[""Ο συμβολισμός"", ""Ρομαντισμός"", ""Νατουραλισμός"", ""Κλασσικότης""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Ποιον Αμερικανό συγγραφέα, που περιγράφεται ως «αδελφός ψυχής», μετέφρασε ο Μπωντλαίρ;","Ο Μπωντλαίρ μετέφρασε τον Έντγκαρ Πόε, τον οποίο θεωρούσε «αδελφό ψυχή» που συμμεριζόταν το γούστο του για το μακάβριο.","[""Έντγκαρ Άλαν Πόε"", ""Χέρμαν Μέλβιλ"", ""Ναθάνιελ Χόθορν"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Πώς συνοψίζει ο Μπωντλαίρ την ποιητική του αλχημεία της εξαγωγής της ομορφιάς από τη λάσπη;,Ο Μπωντλαίρ συνοψίζει το έργο του με αυτόν τον τύπο: «Μου έδωσες τη λάσπη σου και έκανα χρυσό από αυτήν».,"[""«Μου έδωσες τη λάσπη σου και έκανα χρυσό από αυτήν»"", ""“Η ομορφιά είναι αιώνια”"", ""«Το κακό γεννά το κακό»"", ""«Η τέχνη για την τέχνη»""]",0,,,,,,
