courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Hvem er forfatteren av Les Fleurs du Mal?,"Charles Baudelaire publiserte Les Fleurs du Mal i 1857, fødselsattesten til moderne poesi.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Hvorfor ble Les Fleurs du Mal fordømt i 1857?,"Samlingen ble fordømt for ""fornærmelse mot offentlig moral"", en skandale som ikke offisielt ville bli opphevet før i 1949.","[""For \""forargelse mot offentlig moral\"""", ""For plagiat"", ""For å oppfordre til politisk vold"", ""For å sette statens sikkerhet i fare""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,I hvilket år ble de seks fordømte diktene fra Les Fleurs du Mal offisielt rehabilitert?,"De seks diktene som ble fordømt i 1857 ble ikke offisielt rehabilitert før i 1949, 92 år senere.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,"Hva representerer albatrossen i delen ""Milt og ideell""?","Albatrossen, majestetisk i flukt, men latterlig en gang plassert på bakken, representerer poeten i en verden som ikke forstår ham.","[""Poeten, majestetisk i flukt, men latterlig på bakken"", ""Total frihet for kunstneren"", ""Den uunngåelige døden"", ""Uoppnåelig skjønnhet""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Hvilken del av samlingen gjør Paris til et psykologisk landskap?,"""Parisian Paintings"" gjør byen til et psykologisk landskap. Poeten vandrer dit som en barnevogn, en observatør av det parisiske livet under Haussmann.","[""“Parisiske malerier”"", ""“Milt og ideelt”"", ""“Vinen”"", ""\""Død\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Hvilket dikt beskriver naturen som et ""tempel"" av tegn som forbinder dufter, farger og lyder?","""Korrespondanse"" beskriver naturen som et tegntempel. Sansene blandes der: parfymer, farger og lyder reagerer på hverandre.","[""\""Korrespondanse\"""", ""\""Albatrossen\"""", ""\""Milt\"""", ""\""Samling\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,Sant eller usant: Baudelaire avviser fullstendig klassiske poetiske former som sonetten.,"Baudelaire knytter tvert imot den klassiske formen, som sonetten og alexandrinen, til en radikalt ny poetisk visjon.","[""Sant"", ""Usant""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Hvilken poetisk bevegelse fant poetikken i Baudelaires korrespondanse, senere båret av Verlaine og Mallarmé?","Denne korrespondansens poetikk grunnla symbolikken, deretter båret av Verlaine og Mallarmé.","[""Symbolikken"", ""Romantikk"", ""Naturalisme"", ""Klassisisme""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Hvilken amerikansk forfatter, beskrevet som en «sjelebror», oversatte Baudelaire?","Baudelaire oversatte Edgar Poe, som han betraktet som en ""sjelebror"" som delte hans smak for det makabre.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Hvordan oppsummerer Baudelaire sin poetiske alkymi om å hente skjønnhet fra gjørme?,"Baudelaire oppsummerer prosjektet sitt med denne formelen: ""Du ga meg gjørme og jeg laget gull av det"".","[""\""Du ga meg gjørmen din og jeg laget gull av den\"""", ""\""Skjønnhet er evig\"""", ""\""Ondskap avler ondskap\"""", ""«Kunst for kunstens skyld»""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,Hva er George Orwells virkelige navn?,George Orwell er pseudonymet til Eric Arthur Blair.,"[""Eric Arthur Blair"", ""George Bernard Shaw"", ""Aldous Huxley"", ""Herbert George Wells""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,Hvilken konflikt kjempet Orwell før han skrev 1984?,"Orwell kjempet i 1936-1937 i POUM-militsene under den spanske borgerkrigen, hvor han ble skadet.","[""Den spanske borgerkrigen"", ""Første verdenskrig"", ""Boerkrigen"", ""Algerie-krigen""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q3,mcq,"Hva slo Orwell mest under denne opplevelsen, utover volden?","Det som slår Orwell mest er å se avisene omskrive fortiden og slette stridende, en besettelse av statlige løgner som gir næring til romanen.","[""Forfalskning av fakta og fortid gjennom propaganda"", ""Mangel på mat"", ""Kameratenes svik"", ""Sensur av utenlandsk presse""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q4,mcq,Hvilket virkelig totalitært regime inspirerer Oseania-systemet?,Oceania-systemet er spesielt inspirert av sovjetisk totalitarisme som modell.,"[""Sovjetisk totalitarisme"", ""Italiensk fascisme"", ""Vichy-regimet"", ""Det britiske imperiet""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q5,mcq,Hva heter enkeltpartiet som driver Oseania?,"Oceania drives av Ingsoc, som er basert på fire paradoksale departementer: Fred, Overflod, Kjærlighet og Sannhet.","[""Ingsoc"", ""Folkepartiet"", ""Den røde ligaen"", ""Sentralblokken""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q6,mcq,Hva gjør Winston Smith for arbeid i Sannhetsdepartementet?,"Winston Smith jobber i Sannhetsdepartementet, hvor han sletter fortiden for å passe til den partidefinerte nåtiden.","[""Han sletter og omskriver fortiden for å passe til partiets nåtid"", ""Han overvåker innbyggerne via teleskjermer"", ""Han skriver storebrors taler"", ""Han trener nye medlemmer av partiet""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q7,mcq,"Hva kaller du evnen til å akseptere to motstridende sannheter på en gang, i 1984?","Doublethink refererer til evnen til å akseptere to motstridende sannheter på en gang, en bærebjelke i partiets tankekontroll.","[""Dobbelttenkning"", ""Newspeak"", ""Teleskjermen"", ""Ingsoc""]",0,,,,,,
