courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Hvem er forfatteren til Les Fleurs du Mal?,"Charles Baudelaire udgav Les Fleurs du Mal i 1857, fødselsattesten for moderne poesi.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Hvorfor blev Les Fleurs du Mal fordømt i 1857?,"Indsamlingen blev dømt for ""forargelse mod den offentlige moral"", en skandale, som ikke officielt ville blive ophævet før i 1949.","[""For \""forargelse mod den offentlige moral\"""", ""For plagiat"", ""For at opildne til politisk vold"", ""For at bringe statens sikkerhed i fare""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,I hvilket år blev de seks fordømte digte fra Les Fleurs du Mal officielt rehabiliteret?,"De seks digte, der blev dømt i 1857, blev først officielt rehabiliteret i 1949, 92 år senere.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,"Hvad repræsenterer albatrossen i afsnittet ""Spleen and Ideal""?","Albatrossen, majestætisk i flugt, men latterlig, når den først blev anbragt på jorden, repræsenterer digteren i en verden, der ikke forstår ham.","[""Digteren, majestætisk i flugten, men latterlig på jorden"", ""Kunstnerens fuldstændige frihed"", ""Den uundgåelige død"", ""Uopnåelig skønhed""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Hvilken del af samlingen gør Paris til et psykologisk landskab?,"""Parisian Paintings"" gør byen til et psykologisk landskab. Digteren vandrer dertil som en klapvogn, en iagttager af det parisiske liv under Haussmann.","[""“Parisiske malerier”"", ""“Milt og ideel”"", ""“Vinen”"", ""\""Død\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Hvilket digt beskriver naturen som et ""tempel"" af tegn, der forbinder dufte, farver og lyde?","""Korrespondancer"" beskriver naturen som et tempel af tegn. Sanserne blandes der: parfumer, farver og lyde reagerer på hinanden.","[""\""Korrespondance\"""", ""\""Albatrossen\"""", ""\""Milt\"""", ""\""Samling\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,Sandt eller falsk: Baudelaire afviser fuldstændigt klassiske poetiske former som sonetten.,"Baudelaire knytter tværtimod den klassiske form, som sonetten og alexandrinen, til en radikalt ny poetisk vision.","[""Sandt"", ""Falsk""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Hvilken poetisk bevægelse fandt poetikken i Baudelaires korrespondance, efterfølgende båret af Verlaine og Mallarmé?","Denne korrespondancers poetik grundlagde symbolismen, efterfølgende båret af Verlaine og Mallarmé.","[""Symbolikken"", ""Romantikken"", ""Naturalisme"", ""Klassicisme""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Hvilken amerikansk forfatter, beskrevet som en ""sjælebror"", oversatte Baudelaire?","Baudelaire oversatte Edgar Poe, som han betragtede som en ""sjælebror"", der delte hans smag for det makabre.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Hvordan opsummerer Baudelaire sin poetiske alkymi om at udvinde skønhed fra mudder?,"Baudelaire opsummerer sit projekt med denne formel: ""Du gav mig dit mudder, og jeg lavede guld af det"".","[""\""Du gav mig dit mudder, og jeg lavede guld af det\"""", ""\""Skønhed er evig\"""", ""\""Ondskab avler ondskab\"""", ""\""Kunst for kunstens skyld\""""]",0,,,,,,
