courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,من هو مؤلف كتاب Les Fleurs du Mal؟,نشر تشارلز بودلير أزهار الشر عام 1857، وهي شهادة ميلاد الشعر الحديث.,"[""شارل بودلير"", ""بول فيرلين"", ""ستيفان مالارميه"", ""آرثر رامبو""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,لماذا تمت إدانة Les Fleurs du Mal في عام 1857؟,"تمت إدانة المجموعة بتهمة ""انتهاك الآداب العامة""، وهي فضيحة لم يتم رفعها رسميًا حتى عام 1949.","[""بسبب \""الإخلال بالآداب العامة\"""", ""للسرقة الأدبية"", ""بسبب التحريض على العنف السياسي"", ""بسبب تعريض أمن الدولة للخطر""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,في أي عام تمت إعادة تأهيل القصائد الست المُدانة من Les Fleurs du Mal رسميًا؟,ولم تتم إعادة تأهيل القصائد الست التي أدينت عام 1857 رسميًا حتى عام 1949، أي بعد مرور 92 عامًا.,,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,"ماذا يمثل طائر القطرس في قسم ""الطحال والمثالي""؟",طائر القطرس، المهيب أثناء الطيران، ولكنه مثير للسخرية بمجرد وضعه على الأرض، يمثل الشاعر في عالم لا يفهمه.,"[""الشاعر مهيب في الطيران ومضحك على الأرض"", ""الحرية الكاملة للفنان"", ""الموت الحتمي"", ""جمال لا يمكن تحقيقه""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,أي قسم من المجموعة يجعل من باريس مشهدًا نفسيًا؟,"""اللوحات الباريسية"" تحول المدينة إلى مشهد نفسي. يتجول الشاعر هناك كعربة أطفال، مراقبًا للحياة الباريسية في عهد هوسمان.","[""«اللوحات الباريسية»"", ""\""الطحال والمثالية\"""", ""\""النبيذ\"""", ""\""موت\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"أي قصيدة تصف الطبيعة بأنها ""معبد"" من العلامات التي تربط بين الروائح والألوان والأصوات؟","تصف ""المراسلات"" الطبيعة بأنها معبد للعلامات. هناك تمتزج الحواس: العطور والألوان والأصوات تستجيب لبعضها البعض.","[""\""مراسلة\"""", ""\""القطرس\"""", ""\""الطحال\"""", ""\""مجموعة\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,صحيح أم خطأ: يرفض بودلير تمامًا الأشكال الشعرية الكلاسيكية مثل السوناتة.,على العكس من ذلك، يربط بودلير الشكل الكلاسيكي، مثل السوناتة والإسكندرية، برؤية شعرية جديدة جذريا.,"[""صحيح"", ""خطأ""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,ما هي الحركة الشعرية التي وجدتها شعرية مراسلات بودلير، والتي قام بها فيما بعد فيرلين ومالارميه؟,أسست شعرية المراسلات هذه الرمزية، والتي حملها فيما بعد فيرلين ومالارميه.,"[""الرمزية"", ""الرومانسية"", ""الطبيعية"", ""الكلاسيكية""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,من هو الكاتب الأمريكي الذي يوصف بـ”أخ الروح” الذي ترجمه بودلير؟,"قام بودلير بترجمة إدغار بو، الذي اعتبره ""أخ الروح"" الذي شاركه ذوقه المروع.","[""إدغار آلان بو"", ""هيرمان ملفيل"", ""ناثانيال هوثورن"", ""والت ويتمان""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,كيف يلخص بودلير كيمياءه الشعرية في استخلاص الجمال من الطين؟,"يلخص بودلير مشروعه بهذه الصيغة: ""لقد أعطيتني طينك فصنعت منه الذهب"".","[""\""اعطيتني طينك فصنعت منه ذهبا\"""", ""\""الجمال ابدي\"""", ""\""الشر يولد الشر\"""", ""\""الفن من أجل الفن\""""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,ما هو اسم جورج أورويل الحقيقي؟,جورج أورويل هو الاسم المستعار لإريك آرثر بلير.,"[""إريك آرثر بلير"", ""جورج برنارد شو"", ""ألدوس هكسلي"", ""هربرت جورج ويلز""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,ما الصراع الذي خاضه أورويل قبل كتابة 1984؟,حارب أورويل في 1936-1937 في ميليشيات حزب العمال للوحدة الماركسية خلال الحرب الأهلية الإسبانية، حيث أصيب.,"[""الحرب الأهلية الإسبانية"", ""الحرب العالمية الأولى"", ""حرب البوير"", ""حرب الجزائر""]",0,,,,,,
