# History
"ID",Matière,Sous-catégorie,Titre,QCM1 — Question,QCM1 — ✅ Bonne réponse,QCM1 — ❌ Mauvaise 1,QCM1 — ❌ Mauvaise 2,QCM1 — ❌ Mauvaise 3,QCM1 — Explication,QCM2 — Question,QCM2 — ✅ Bonne réponse,QCM2 — ❌ Mauvaise 1,QCM2 — ❌ Mauvaise 2,QCM2 — ❌ Mauvaise 3,QCM2 — Explication,QCM3 — Question,QCM3 — ✅ Bonne réponse,QCM3 — ❌ Mauvaise 1,QCM3 — ❌ Mauvaise 2,QCM3 — ❌ Mauvaise 3,QCM3 — Explication,QCM4 — Question,QCM4 — ✅ Bonne réponse,QCM4 — ❌ Mauvaise 1,QCM4 — ❌ Mauvaise 2,QCM4 — ❌ Mauvaise 3,QCM4 — Explication,QCM5 — Question,QCM5 — ✅ Bonne réponse,QCM5 — ❌ Mauvaise 1,QCM5 — ❌ Mauvaise 2,QCM5 — ❌ Mauvaise 3,QCM5 — Explication
1,History,Antiquity & Middle Ages,The birth of Islam (622),What does the Hegira (622) represent in Islamic history and the calendar?,"Muhammad's departure from Mecca to Medina, marking year 1 of the calendar.",The birth of Muhammad in Mecca.,The final victory of Muhammad and the breaking of the idols of the Kaaba.,The first revelation received by Muhammad in the Hira cave.,"The Hegira refers to the migration of the Muslim community to Medina in 622, a founding Event chosen as the starting point of the Islamic era.",What was the role of the Kaaba before the conquest of Mecca by the Muslims?,A polytheistic sanctuary housing hundreds of tribal idols.,A Byzantine church dedicated to the Virgin Mary.,A simple warehouse for goods for the Quraysh caravans.,The official seat of the Sassanid Empire's government in Arabia.,"Before Islam, the Kaaba was the center of a polytheistic cult where Arab tribes placed their idols and performed lucrative pilgrimages.",What was Muhammad's strategy in Politics during the capture of Mecca in 630?,"A general pardon granted to his former persecutors despite his army of 10,000 men.",The systematic execution of all members of the Quraysh tribe.,The total destruction of the city to rebuild a new capital.,The forced exile of all inhabitants refusing to convert immediately.,"Muhammad opted for clemency in politics by pronouncing a general pardon, which facilitated the massive adherence of Arab tribes to Islam.",What is the Constitution of Medina drafted by Muhammad?,"An edict organizing the coexistence between Muslim, Jewish, and polytheistic clans.",The first written collection of Quranic verses.,A manual of military tactics for razzias.,A peace treaty signed between Arabia and the Byzantine Empire.,"Drafted shortly after the Hegira, it defines the rights and duties of the different groups of the oasis, creating the Concept of Ummah.",Which legal status allowed non-Muslim monotheists to practice their faith?,"The Dhimma, in exchange for the payment of the jizya tax.","The Hegira, which imposed immediate conversion under penalty of death.","Jihad, which guaranteed absolute tax equality between everyone.","The razzia, which protected the property of Eastern Roman citizens.",The Dhimma is the status of 'protected' that allowed the 'People of the Book' to maintain their worship in exchange for a protection tax called jizya.
2,History,Antiquity & Middle Ages,Urban II's call and the 1st Crusade (1095),Which battle of 1071 caused the Seljuk threat to the Byzantine Empire?,The Battle of Manzikert,The Battle of Lepanto,The Battle of Hattin,The Battle of Antioch,"In 1071, the Seljuk Turks crushed the Byzantines at Manzikert, which led Emperor Alexios I Komnenos to call the Pope for help.",What spiritual reward does Urban II promise to those who go on crusade?,Plenary indulgence,Immediate canonization,The title of Knight Templar,Appointment as bishop,"Plenary indulgence promised crusaders the total remission of temporal punishment due for their sins, an immense spiritual motivator at the time.",What cry does the crowd spontaneously shout during the speech in Clermont?,"""God wills it!""","""For the cross!""","""Death to the Turks!""","""Rome commands it!""",The cry 'Deus vult' (God wills it) became the rallying slogan for the crusaders following Urban II's call in 1095.,Who led the 'Peasants' Crusade' that preceded that of the lords?,Peter the Hermit,Godfrey of Bouillon,Bohemond of Taranto,Baldwin of Boulogne,Peter the Hermit was a popular preacher who led a disorganized crowd of common people before the departure of the military nobility.,What title did Godefroy de Bouillon choose after the capture of Jerusalem in 1099?,Advocate of the Holy Sepulchre,King of Jerusalem,Caliph of the East,Latin Emperor,"Out of Christian humility, Godefroy refused the title of king in the city where Christ had died, preferring a title of secular protector of the church."
3,History,Antiquity & Middle Ages,The Sack of Rome by the Visigoths (410),For how long had Rome not been taken by an enemy at the time of the sack of 410?,800 years,100 years,300 years,"1,200 years","The last capture of Rome dated back to the invasion of the Gauls under Brennus in 390 BC, representing about 800 years of the city's sanctuary status.",Why did Alaric order to spare the Christian basilicas during the sack?,Because he is himself a Christian of Arian confession,Because he fears the curse of the Roman gods,Because he signed a secret agreement with Emperor Honorius,Because his soldiers are mostly Catholic,"Alaric and the Visigoths were Arian Christians (a branch then considered heretical by Rome but Christian), which explains their respect for places of worship.",Which great Work did Saint Augustine write to respond to pagan critics after 410?,«The City of God»,«The Confessions»,«The Rule of Saint Benedict»,«The Discourse on the Fall of the West»,"In this work, Augustine explains that the fall of earthly power (Rome) does not entail the fall of the Christian faith (the heavenly city).",Where was the administrative capital of the West at the time of the sack of 410?,Ravenna,Rome,Milan,Constantinople,"Emperor **Honorius** had chosen **Ravenna** in 402 for its security, abandoning Rome, which was no more than a symbolic capital.",Which **Event** officially marks the end of the Western Roman Empire in 476?,The deposition of **Romulus Augustulus** by **Odoacer**,The death of Alaric in Calabria,The destructive looting by the **Vandals**,The invasion of Attila's Huns,"In 476, **Odoacer** deposed the last emperor and sent the regalia back to Constantinople, marking the end of imperial authority in the West."
4,History,Antiquity & Middle Ages,The coronation of Charlemagne (800),What was the main characteristic of the war against the Saxons led by Charlemagne?,A thirty-year struggle mixing military repression and forced religious conversion,A series of defensive ambushes to protect the Pyrenees,A diplomatic alliance aiming to peacefully integrate the Germanic peoples,A three-year lightning crusade supported by the Byzantine Empire,The war against the Saxons lasted from 772 to 804 and was marked by a desire for **politics** and religious unification under constraint.,What was the major role of Alcuin of York within the Carolingian Empire?,Leading the palatine school and driving a cultural and educational **Renaissance**,Commanding the imperial armies during the Battle of **Roncevaux Pass**,Negotiating the territorial clauses of the future Treaty of Verdun,Serving as a permanent ambassador to the Emperor of Constantinople,"Alcuin was the court's leading scholar, responsible for educational reform and the preservation of ancient texts.",Why might the coronation of 800 have displeased Charlemagne according to some sources?,The Pope's gesture seemed to place the Church's power above that of the sovereign,He feared that the gold of the crown would be perceived as a wasteful expense,He did not wish to bear a title associated with ancient pagan Rome,The coronation contractually forced him to cede his lands to the **Lombard**,"By placing the crown, the Pope asserted his role as the distributor of power, creating a precedent of spiritual superiority over temporal power.",Which graphic innovation from the Carolingian era do we still use today?,"Carolingian minuscule, the ancestor of our lowercase letters",Roman numerals in their simplified cursive form,The musical notation system on a five-line staff,Gothic characters used for administrative acts,"Carolingian minuscule was created to standardize administrative and religious texts, becoming the basis of modern typography.",Which major consequence resulted from the Treaty of Verdun in 843?,"The division of the empire into three kingdoms, foreshadowing France and Germany",The definitive unification of Europe under a single currency,The end of Viking raids thanks to a reinforced Common defense,The transfer of the imperial capital from Aachen to Rome,"The Treaty of Verdun marked the birth of West Francia and East Francia, the respective ancestors of France and Germany."
5,History,Antiquity & Middle Ages,The Magna Carta (1215),Which French province did John Lackland lose to Philip II Augustus in 1204?,Normandy,Aquitaine,Brittany,Gascony,The loss of Normandy in 1204 was the triggering Event of the financial and politics crisis that led to the barons' revolt.,"Where did John Lackland place his seal on the Magna Carta on June 15, 1215?","At Runnymede, a meadow on the banks of the Thames","At Westminster, in the great hall of the royal palace","At Canterbury, in the presence of Archbishop Langton","In London, after the city was taken by the rebel barons",Runnymede was chosen as neutral ground between the royal castle of Windsor and the rebels' camp.,"What does Clause 39 of the Magna Carta, one of the most important, stipulate?",The prohibition of imprisoning a free man without the legal judgment of his peers,The immediate abolition of serfdom throughout the kingdom,Total freedom of worship for all religions,Universal voting rights for all English subjects,Clause 39 establishes the principle of 'due process': no one can be convicted or dispossessed without a fair trial according to the Law.,What immediate fate did the Magna Carta meet after its signing in 1215?,It was annulled by Pope Innocent III as early as August,It was rigorously applied throughout John's entire reign,It was burned by dissatisfied barons the very next day,It became the foundation of the first English Republic,"John Lackland denounced the text as soon as he could, obtaining its annulment by the papacy, which triggered the Barons' War.",Why is the reign of Henry III (John's successor) crucial for the Charter?,"He reissued and confirmed it, anchoring it permanently in the Law",He decided to abolish it definitively,He used it to declare war on France,He wrote a version in English for the people,"By reissuing the Charter to stabilize his power, the young Henry III made it a permanent legislative reference rather than a mere fleeting peace treaty."
6,History,Antiquity & Middle Ages,The Black Death in Europe (1347-1353),Through which port did the Black Death officially enter Europe in October 1347?,Messina (Sicily),Marseille (France),Venice (Italy),Genoa (Italy),"The epidemic arrived via twelve Genoese galleys from Crimea that docked in Messina in October 1347, marking the beginning of the European spread.",Which climatic Event favored high mortality before the arrival of the bacillus?,The Little Ice Age,A Saharan heatwave,A major earthquake in Italy,A giant tornado over Messina,"The climate cooling (Little Ice Age) caused chronic famines starting in 1315, biologically weakening the European population.",Why did serfdom decline after the end of the pandemic in 1353?,The labor shortage gave bargaining power to the peasants,The Church abolished slavery to thank God,Lords no longer had money to pay their guards,A universal royal Law freed all peasants in Europe,The death of 30 to 60% of workers made labor Rare. Survivors were able to demand higher wages and the end of feudal constraints.,What was the main vector of transmission for the bubonic plague?,The black rat flea,Contaminated well water,Direct skin contact,Houseflies,"It is the Xenopsylla cheopis flea, living on black rats, which transmitted the Yersinia pestis bacillus to humans via bites after the death of its animal host.","Which authority attempted, without much success, to protect Jews from pogroms?",Pope Clement VI,King Philip VI of France,Emperor Charles IV,The writer Boccaccio,"From Avignon, Pope Clement VI published papal bulls asserting the innocence of Jews, but he was largely ignored by terrified populations."
7,History,Antiquity & Middle Ages,Joan of Arc and the Hundred Years' War (1429),"What did the Treaty of Troyes of 1420, disastrous for France, stipulate?",Charles VI disinherits his own son and recognizes the English king as the legitimate heir to France,France cedes Normandy and Aquitaine to England for 100 years,"Charles VI abdicates in favor of Henry V, King of England",Paris is declared a Common Franco-English capital under shared governance,The Treaty of Troyes organized the dispossession of the future Charles VII (the Dauphin) in favor of the English Lancastrian line.,Which voices did Joan of Arc say she had been hearing since the age of 13?,"Saint Michael, Saint Catherine, and Saint Margaret","The Virgin Mary, Saint John, and Saint Peter","Saint Denis, patron saint of France, and two guardian angels","God himself, without supernatural intermediary","According to her testimony, these three celestial figures appeared to her to dictate her military and politics mission.",In how many days does Joan of Arc lift the siege of Orléans in May 1429?,"Nine days, even though the siege had been lasting for seven months","Three days, thanks to a surprise night attack","Thirty days, after bitter barricade-by-barricade fighting","One single day, during a decisive frontal assault",Joan's rapid intervention broke the encirclement of the city in record time (from April 29 to May 8).,Why is the coronation of Charles VII in Reims in July 1429 crucial in medieval logic?,"The consecrated king is king by divine right, which renders the English legal argument void",It legitimizes the crusade against the English occupier declared by the Pope,It allows for the levying of new taxes to finance the reconquest,It convinces the Burgundians allies to join the French side,"The coronation brings divine anointing, which is superior to any purely human treaty (such as the Treaty of Troyes) in the hierarchy of medieval law.",When was Joan of Arc canonized by the Church?,"In 1920, during a nationalist resurgence after the First World War","In 1456, during the nullification trial that overturned her conviction","In 1803, by decree of Napoleon who made her the symbol of France","In 1431, by the Pope who opposed her conviction by the English Church","Although rehabilitated by the King in 1456, she was not officially made a saint by the Catholic Church until 1920."
8,History,Antiquity & Middle Ages,The Fall of Constantinople (1453),For how many days did Mehmed II besiege Constantinople before capturing it?,53 days,7 days,200 days,1 year,"The siege officially began on April 2, 1453, and ended with the final victorious assault on May 29, a duration of 53 days.",What decisive ruse allowed Mehmed II to attack Constantinople from the Golden Horn ?,He had his ships slid over greased logs by land,He had a tunnel dug under the Theodosian Walls,He bribed guards who opened a secret door at night,He used primitive submarines to pass under the chain,"To bypass the chain closing the port, the sultan had his ships transported by land on greased wooden tracks through the hills of Galata.",What was the immediate fate of the Hagia Sophia basilica after the city was taken?,It was converted into a mosque by Mehmed II,It was demolished for its materials,It was transformed into an imperial palace,It was abandoned by the conquerors,"Mehmed II, fascinated by the building's splendor, ordered its immediate conversion into a mosque upon entering the city.",What link exists between the fall of Constantinople and the Italian Renaissance ?,The exile of Byzantine scholars brought ancient Greek manuscripts to Italy,Italian merchants moved their capital into art to forget their losses,The Ottoman victory imposed the Byzantine artistic style in Southern Europe,The Catholic Church financed artists to prove its superiority over Islam,"The diaspora of Byzantine scholars fleeing the invasion allowed for the rediscovery of forgotten Greek texts in the West, stimulating the intellectual revival of the Renaissance.","Who was Urban, a key Figure of the 1453 siege?",A metal founder who manufactured the Giants cannons of the Ottomans,A Venetian engineer who betrayed the Byzantine emperor,The head of Constantine XI's imperial guard,An explorer who opened the routes to America,"Urban was the artillery specialist who designed the 'Basilica', a monstrous cannon capable of shattering the city's ancient ramparts."
9,History,Antiquity & Middle Ages,The Aztec Empire,What divine image guided the Mexica to the foundation site of Tenochtitlán ?,An eagle perched on a cactus devouring a snake,A roaring jaguar on a jade stone,A feathered serpent emerging from the waters,A comet streaking across the sky,"According to the legend, the god Huitzilopochtli had predicted this sign to mark the end of the Mexica's wandering in 1325.","What is a chinampa, a central element of Aztec agriculture?",An artificial floating garden created by metabolic piling of lake mud between reeds,An irrigation system using canals dug from the mountains,An agricultural terrace carved into the sides of volcanoes,A raised field protected by dikes against flooding,"These artificial islands allowed for intensive agriculture (up to 7 harvests/year), essential for feeding such a population.",Which system of domination characterizes the Aztec Empire?,A system of tributes imposed on peripheral city-states,A total cultural and linguistic assimilation of the conquered,A centralized government with prefects in every village,A participatory democracy bringing together the leaders of each clan,"The empire was a confederation demanding wealth (tributes), which generated deep hatred among the subjugated peoples.",Which factor was the most devastating during the fall of the empire to the Spaniards?,The smallpox epidemics brought by Europeans,The lack of courage among the Aztec elite warriors,The absence of defensive walls around Tenochtitlán,The use of hot air balloons by the Conquistadors,"The biological shock decimated populations who had no immunity, killing more warriors than iron weapons.",In what year did Tenochtitlán definitively fall to Cortés?,1521,1492,1588,1325,The 80-day siege ended in 1521 with the almost total destruction of the capital and the beginning of Spanish rule.
