# Geschichte
"ID",Matière,Sous-catégorie,Titre,QCM1 — Question,QCM1 — ✅ Bonne réponse,QCM1 — ❌ Mauvaise 1,QCM1 — ❌ Mauvaise 2,QCM1 — ❌ Mauvaise 3,QCM1 — Explication,QCM2 — Question,QCM2 — ✅ Bonne réponse,QCM2 — ❌ Mauvaise 1,QCM2 — ❌ Mauvaise 2,QCM2 — ❌ Mauvaise 3,QCM2 — Explication,QCM3 — Question,QCM3 — ✅ Bonne réponse,QCM3 — ❌ Mauvaise 1,QCM3 — ❌ Mauvaise 2,QCM3 — ❌ Mauvaise 3,QCM3 — Explication,QCM4 — Question,QCM4 — ✅ Bonne réponse,QCM4 — ❌ Mauvaise 1,QCM4 — ❌ Mauvaise 2,QCM4 — ❌ Mauvaise 3,QCM4 — Explication,QCM5 — Question,QCM5 — ✅ Bonne réponse,QCM5 — ❌ Mauvaise 1,QCM5 — ❌ Mauvaise 2,QCM5 — ❌ Mauvaise 3,QCM5 — Explication
1,Geschichte,Antike & Mittelalter,Die Geburt des Islam (622),Was stellt die Hidschra (622) in der islamischen Geschichte und im Kalender dar?,"Die Abreise Mohammeds von Mekka nach Medina, die das Jahr 1 des Kalenders markiert.",Die Geburt Mohammeds in Mekka.,Der endgültige Sieg Mohammeds und das Zerstören der Idole der Kaaba.,"Die erste Offenbarung, die Mohammed in der Höhle von Hira erhielt.","Die Hidschra bezeichnet die Auswanderung der muslimischen Gemeinschaft nach Medina im Jahr 622, ein gründendes Ereignis, das als Ausgangspunkt der islamischen Ära gewählt wurde.",Welche Rolle spielte die Kaaba vor der Eroberung Mekkas durch die Muslime?,"Ein polytheistisches Heiligtum, das hunderte von Stammesidolen beherbergte.","Eine byzantinische Kirche, die der Jungfrau Maria gewidmet war.",Ein einfaches Warenlager für die Karawanen der Quraisch.,Der offizielle Regierungssitz des Sassanidenreiches in Arabien.,"Vor dem Islam war die Kaaba das Zentrum eines polytheistischen Kultes, in dem die arabischen Stämme ihre Idole deponierten und lukrative Pilgerfahrten durchführten.",Welches war die Politik-Strategie Mohammeds bei der Einnahme Mekkas im Jahr 630?,"Ein Pardon Allgemein, das seinen ehemaligen Verfolgern trotz seiner Armee von 10.000 Mann gewährt wurde.",Die systematische Hinrichtung aller Mitglieder des Stammes der Quraisch.,"Die totale Zerstörung der Stadt, um eine neue Hauptstadt zu errichten.","Das erzwungene Exil aller Einwohner, die sich weigerten, sofort zu konvertieren.","Mohammed entschied sich für politische Milde, indem er ein Pardon Allgemein aussprach, was den massenhaften Beitritt der arabischen Stämme zum Islam erleichterte.","Was ist die Gemeindeordnung von Medina, die von Mohammed verfasst wurde?","Ein Edikt, das die Koexistenz zwischen muslimischen, jüdischen und polytheistischen Clans organisierte.",Die erste schriftliche Sammlung der Koranverse.,Ein Handbuch für militärische Taktiken für die Razzien.,"Ein Friedensvertrag, der zwischen Arabien und dem Byzantinischen Reich unterzeichnet wurde.","Kurz nach der Hidschra verfasst, definiert sie die Rechte und Pflichten der verschiedenen Gruppen der Oase und schafft das Konzept der Umma.","Welcher Rechtsstatus erlaubte es monotheistischen Nichtmuslimen, ihren Glauben auszuüben?","Die Dhimma, gegen Zahlung der Dschizya-Steuer.","Die Hidschra, die die sofortige Konversion unter Androhung der Todesstrafe vorschrieb.","Der Dschihad, der die absolute steuerliche Gleichheit zwischen allen garantierte.","Die Razzia, die das Eigentum der römischen Bürger des Ostens schützte.","Die Dhimma ist der Status des 'Geschützten', der es den 'Leuten des Buches' erlaubte, ihren Kult im Austausch gegen eine Schutzsteuer namens Dschizya beizubehalten."
2,Geschichte,Antike & Mittelalter,Der Aufruf Urbans II. und der 1. Kreuzzug (1095),Welche Schlacht von 1071 provoziert die Bedrohung durch die Seldschuken für das Byzantinische Reich?,Die Schlacht von Mantzikert,Die Schlacht von Lepanto,Die Schlacht von Hattin,Die Schlacht von Antiochia,"Im Jahr 1071 vernichten die Seldschuken-Türken die Byzantiner bei Mantzikert, was den Kaiser Alexios I. Komnenos dazu drängt, den Papst um Hilfe zu rufen.","Welche spirituelle Belohnung verspricht Urban II. jenen, die auf Kreuzzug gehen?",Der vollkommene Ablass,Die sofortige Kanonisation,Der Titel eines Tempelritters,Die Ernennung zum Bischof,"Der vollkommene Ablass versprach den Kreuzfahrern den vollständigen Erlass der zeitlichen Strafen für ihre Sünden, eine enorme spirituelle Triebkraft in jener Zeit.",Welchen Ruf stößt die Menge spontan während der Rede von Clermont aus?,„Gott will es!“,„Für das Kreuz!“,„Tod den Türken!“,„Rom befiehlt es!“,Der Ruf 'Deus vult' (Gott will es) wurde nach dem Aufruf Urbans II. im Jahr 1095 zum Schlachtruf der Kreuzfahrer.,"Wer leitete den 'Kreuzzug der Armen', der dem der Adligen vorausging?",Peter der Einsiedler,Gottfried von Bouillon,Bohemund von Tarent,Balduin von Boulogne,"Peter der Einsiedler war ein Volksprediger, der eine desorganisierte Menge von einfachen Leuten vor dem Aufbruch des Militäradels anführte.",Welchen Titel wählte Gottfried von Bouillon nach der Eroberung Jerusalems im Jahr 1099?,Vogt vom Heiligen Grab,König von Jerusalem,Kalif des Orients,Lateinischer Kaiser,"Aus christlicher Demut lehnte Gottfried den Königstitel in der Stadt ab, in der Christus gestorben war, und bevorzugte einen Titel als weltlicher Beschützer der Kirche."
3,Geschichte,Antike & Mittelalter,Die Plünderung Roms durch die Westgoten (410),Seit wie vielen Jahren war Rom zum Zeitpunkt der Plünderung im Jahr 410 nicht mehr von einem Feind eingenommen worden?,800 Jahre,100 Jahre,300 Jahre,1 200 Jahre,"Die letzte Einnahme Roms lag zur Zeit der Invasion der Gallier unter Brennus im Jahr 390 v. Chr. zurück, was etwa 800 Jahren Unantastbarkeit der Stadt entsprach.","Warum ordnete Alarich an, die christlichen Basiliken während der Plünderung zu verschonen?",Weil er selbst Christ arianisch Konfession ist,Weil er den Fluch der römischen Götter fürchtet,Weil er ein geheimes Abkommen mit Kaiser Honorius unterzeichnet hat,Weil seine Soldaten mehrheitlich katholisch sind,"Alarich und die Westgoten waren arianisch Christen (ein Zweig, der damals von Rom als häretisch eingestuft wurde, aber dennoch christlich war), was ihren Respekt für die Kultstätten erklärt.",Welches große Werk verfasste der heilige Augustinus als Reaktion auf die heidnische Kritik nach 410?,«De civitate Dei»,«Confessiones»,«Regula Benedicti»,«Die Rede über den Fall des Abendlandes»,"In diesem Werk erklärt Augustinus, dass der Fall der irdischen Macht (Rom) nicht den Fall des christlichen Glaubens (der himmlischen Stadt) nach sich zieht.",Wo befand sich zum Zeitpunkt der Plünderung von 410 die Verwaltungshauptstadt des Westens?,Ravenna,Rom,Mailand,Konstantinopel,"Kaiser Honorius hatte 402 zu seiner Sicherheit Ravenna gewählt und Rom verlassen, das nur noch eine symbolische Hauptstadt war.",Welches Ereignis markiert offiziell das Ende des Weströmischen Reiches im Jahr 476?,Die Absetzung von Romulus Augustulus durch Odoaker,Der Tod von Alarich in Kalabrien,Die zerstörerische Plünderung der Vandalen,Die Invasion der Hunnen unter Attila,"Im Jahr 476 setzt Odoaker den letzten Kaiser ab und schickt die Insignien nach Konstantinopel zurück, was das Ende der kaiserlichen Autorität im Westen markiert."
4,Geschichte,Antike & Mittelalter,Die Kaiserkrönung Karls des Großen (800),Was war das Hauptmerkmal des Krieges gegen die Sachsen unter Karl dem Großen?,"Ein dreißigjähriger Kampf, der militärische Repression mit erzwungener religiöser Bekehrung verband",Eine Serie von Verteidigungshinterhalten zum Schutz der Pyrenäen,"Ein diplomatisches Bündnis mit dem Ziel, die germanischen Völker friedlich zu integrieren","Ein dreijähriger Blitzkreuzzug, der vom Byzantinischen Reich unterstützt wurde",Der Sachsenkrieg dauerte von 772 bis 804 und war von dem Willen zur erzwungenen Politik und religiösen Vereinigung geprägt.,Welche bedeutende Rolle spielte Alkuin von York innerhalb des karolingischen Reiches?,Die Leitung der Hofschule und der Anstoß zu einer kulturellen und pädagogischen Renaissance,Das Kommando über die kaiserlichen Armeen in der Schlacht von Roncevaux,Die Aushandlung der territorialen Klauseln des künftigen Vertrags von Verdun,Der Dienst als ständiger Botschafter beim Kaiser von Konstantinopel,"Alkuin war der wichtigste Gelehrte des Hofes, verantwortlich für die Bildungsreform und die Erhaltung antiker Texte.",Warum könnte die Krönung von 800 laut einigen Quellen Karl dem Großen missfallen haben?,Die Geste des Papstes schien die Macht der Kirche über die des Herrschers zu stellen,"Er befürchtete, dass das Gold der Krone als unnötige Ausgabe wahrgenommen würde","Er wollte keinen Titel tragen, der mit dem alten heidnischen Rom in Verbindung gebracht wurde","Die Weihe verpflichtete ihn vertraglich, seine Ländereien an die Langobarde abzutreten","Indem er die Krone aufsetzte, bekräftigte der Papst seine Rolle als Verleiher der Macht und schuf einen Präzedenzfall für die Überlegenheit des Geistlichen über das Weltliche.",Welche grafische Innovation aus der Karolingerzeit nutzen wir noch heute?,"Die karolingische Minuskel, der Vorläufer unserer Kleinbuchstaben",Die römischen Ziffern in ihrer vereinfachten Kursivform,Das System der Musiknotation auf einem Liniensystem aus fünf Linien,"Die gotischen Schriftzeichen, die für Verwaltungsakte verwendet wurden","Die karolingische Minuskel wurde geschaffen, um administrative und religiöse Texte zu vereinheitlichen, und wurde zur Grundlage der modernen Typografie.",Welche schwerwiegende Folge ergab sich aus dem Vertrag von Verdun im Jahr 843?,"Die Aufteilung des Reiches in drei Königreiche, was Frankreich und Deutschland vorwegnahm",Die endgültige Vereinigung Europas unter einer gemeinsamen Währung,Das Ende der Wikingerüberfälle dank einer verstärkten gemeinsamen Verteidigung,Die Verlegung der kaiserlichen Hauptstadt von Aachen nach Rom,"Der Vertrag von Verdun besiegelt die Geburt der Francia occidentalis und der Francia orientalis, der jeweiligen Vorläufer von Frankreich und Deutschland."
5,Geschichte,Antike & Mittelalter,Magna Carta (1215),Welche französische Provinz verliert Johann Ohneland 1204 gegen Philipp II. August?,Die Normandie,Aquitanien,Die Bretagne,Die Gascogne,"Der Verlust der Normandie im Jahr 1204 ist das auslösende Ereignis der finanziellen und Politik Krisen, die zum Aufstand der Barone führen werden.",Wo setzt Johann Ohneland am 15. Juni 1215 sein Siegel auf die Magna Carta?,"In Runnymede, einer Wiese am Ufer der Themse","In Westminster, in der großen Halle des Königspalastes","In Canterbury, in Anwesenheit von Erzbischof Langton","In London, nach der Einnahme der Stadt durch die rebellierenden Barone",Runnymede wurde als neutraler Ort zwischen der königlichen Burg Windsor und dem Lager der Rebellen gewählt.,"Was besagt Klausel 39 der Magna Carta, eine der wichtigsten?","Das Verbot, einen freien Mann ohne rechtmäßiges Urteil seiner Gleichrangige einzusperren",Die sofortige Abschaffung der Leibeigenschaft im gesamten Königreich,Die totale Religionsfreiheit für alle Religionen,Das universelle Wahlrecht für alle englischen Untertanen,Klausel 39 begründet das Prinzip des 'due process': Niemand darf ohne ein faires Verfahren nach dem Gesetz verurteilt oder enteignet werden.,Welches unmittelbare Schicksal ereilte die Magna Carta nach ihrer Unterzeichnung im Jahr 1215?,Sie wird bereits im August von Papst Innozenz III. annulliert,Sie wird während der gesamten Herrschaft von Johann streng angewendet,Sie wird bereits am nächsten Tag von unzufriedenen Baronen verbrannt,Sie wird zur Grundlage der ersten englischen Republik,"Johann Ohneland widerrief den Text, sobald er konnte, und erwirkte seine Annullierung durch das Papsttum, was den Krieg der Barone auslöste.",Warum ist die Herrschaft von Heinrich III. (Nachfolger von Johann) entscheidend für die Charta?,"Er gibt sie erneut heraus und bestätigt sie, wodurch er sie dauerhaft im Recht verankert","Er beschließt, sie endgültig abzuschaffen","Er nutzt sie, um Frankreich den Krieg zu erklären",Er verfasst eine englische Version für das Volk,"Indem der junge Heinrich III. die Charta zur Stabilisierung seiner Macht erneut herausgab, machte er sie zu einem dauerhaften Referenz-Gesetz anstatt zu einem bloßen flüchtigen Friedensvertrag."
6,Geschichte,Antike & Mittelalter,Der Schwarze Tod in Europa (1347-1353),Durch welchen Hafen gelangt der Schwarze Tod im Oktober 1347 offiziell nach Europa?,Messina (Sizilien),Marseille (Frankreich),Venedig (Italien),Genua (Italien),"Die Epidemie erreicht Europa durch zwölf genuesische Galeeren aus der Krim, die im Oktober 1347 in Messina anlegen und damit den Beginn der europäischen Ausbreitung markieren.",Welches klimatische Ereignis begünstigte die hohe Sterblichkeit vor der Ankunft des Bakteriums?,Kleine Eiszeit,Eine saharanische Hitzewelle,Ein schweres Erdbeben in Italien,Ein Riesen-Tornado über Messina,"Die Klimaabkühlung (Kleine Eiszeit) verursachte ab 1315 chronische Hungersnöte, was die europäische Bevölkerung biologisch schwächte.",Warum geht die Leibeigenschaft nach dem Ende der Pandemie im Jahr 1353 zurück?,Der Mangel an Arbeitskräften verleiht den Bauern Verhandlungsmacht,"Die Kirche schaffte die Sklaverei ab, um Gott zu danken","Die Herren hatten kein Geld mehr, um ihre Wachen zu bezahlen",Ein universelles königliches Gesetz befreite alle Bauern in Europa,Der Tod von 30 bis 60 % der Arbeiter machte Arbeitskräfte **Selten**. Die Überlebenden konnten höhere Löhne und das Ende feudaler Zwänge fordern.,Was war der Hauptübertragungsweg für die Beulenpest?,Der Floh der Hausratte,Kontaminiertes Brunnenwasser,Direkter Hautkontakt,Stubenfliegen,"Es ist der Floh **Xenopsylla cheopis**, der auf schwarzen Ratten lebt, welcher das Bakterium Yersinia pestis durch Bisse auf den Menschen übertrug, nachdem sein tierischer Wirt gestorben war.","Welche Autorität versuchte ohne großen Erfolg, die Juden vor den **Pogrom**-Wellen zu schützen?",Papst **Clemens VI.**,Der französische König Philipp VI.,Kaiser Karl IV.,Der Schriftsteller **Boccaccio**,"Von Avignon aus veröffentlichte Papst **Clemens VI.** päpstliche Bullen, die die Unschuld der Juden beteuerten, wurde aber von der verängstigten Bevölkerung weitgehend ignoriert."
7,Geschichte,Antike & Mittelalter,Jeanne d’Arc und der Hundertjährige Krieg (1429),Was legt der für Frankreich katastrophale Vertrag von Troyes von 1420 fest?,Karl VI. enterbt seinen eigenen Sohn und erkennt den englischen König als rechtmäßigen Erben Frankreichs an,Frankreich tritt die Normandie und Aquitanien für 100 Jahre an England ab,"Karl VI. dankt zugunsten von Heinrich V., dem König von England, ab",Paris wird zur gemeinsamen französisch-englischen Hauptstadt unter geteilter Verwaltung erklärt,Der Vertrag von Troyes organisiert die Enteignung des zukünftigen Karl VII. (des Dauphins) zugunsten der englischen lancastrischen Linie.,Welche Stimmen sagt Jeanne d’Arc seit ihrem 13. Lebensjahr zu hören?,"Der heilige Michael, die heilige Katharina und die heilige Margareta","Die Jungfrau Maria, der heilige Johannes und der heilige Petrus","Heiliger Dionysius, Schutzpatron von Frankreich, und zwei Schutzengel","Gott selbst, ohne übernatürlichen Vermittler","Ihrem Zeugnis zufolge erschienen ihr diese drei himmlischen Gestalten, um ihr ihre Politik- und Militärmission zu diktieren.",In wie vielen Tagen hebt Jeanne d'Arc die Belagerung von Orléans im Mai 1429 auf?,"Neun Tage, obwohl die Belagerung schon seit sieben Monaten andauerte","Drei Tage, dank eines nächtlichen Überraschungsangriffs","Dreißig Tage, nach erbitterten Kämpfen Barrikade um Barrikade","Nur ein einziger Tag, bei einem entscheidenden Frontalangriff","Jeannes schnelles Eingreifen ermöglichte es, die Einkesselung der Stadt in Rekordzeit (vom 29. April bis 8. Mai) zu durchbrechen.",Warum ist die Krönung von Karl VII. in Reims im Juli 1429 in der mittelalterlichen Logik so entscheidend?,"Der gesalbte König ist König von Gottes Gnaden, was das englische Rechtsargument hinfällig macht",Sie legitimiert den vom Papst ausgerufenen Kreuzzug gegen die englischen Besatzer,Sie ermöglicht die Erhebung neuer Steuern zur Finanzierung der Rückeroberung,"Sie überzeugt die verbündeten Burgunder, sich auf die französische Seite zu schlagen","Die Krönung bringt die göttliche Salbung, die in der Hierarchie des mittelalterlichen Rechts jedem rein menschlichen Vertrag (wie dem von Troyes) überlegen ist.",Wann wird Jeanne d'Arc von der Kirche heiliggesprochen?,"1920, während eines nationalistischen Aufschwungs nach dem Ersten Weltkrieg","1456, während des Revisionsprozesses, der ihre Verurteilung annullierte","1803, per Dekret von Napoleon, der sie zum Symbol Frankreichs machte","1431, durch den Papst, der sich ihrer Verurteilung durch die englische Kirche widersetzte","Obwohl sie 1456 vom König rehabilitiert wurde, wurde sie von der katholischen Kirche erst 1920 offiziell zur Heiligen erklärt."
8,Geschichte,Antike & Mittelalter,Der Fall von Konstantinopel (1453),"Wie viele Tage lang belagerte Mehmed II. Konstantinopel, bevor er es einnahm?",53 Tage,7 Tage,200 Tage,1 Jahr,"Die Belagerung begann offiziell am 2. April 1453 und endete mit dem siegreichen Abschlussangriff am 29. Mai, was einer Dauer von 53 Tagen entspricht.","Welche entscheidende List ermöglichte es Mehmed II., Konstantinopel vom Goldenes Horn aus anzugreifen?",Er ließ seine Schiffe auf eingefetteten Baumstämmen über Land gleiten,Er ließ einen Tunnel unter den Theodosianische Mauern graben,"Er bestach Wachen, die nachts eine Geheimtür öffneten","Er benutzte primitive U-Boote, um unter der Kette hindurchzufahren","Um die Kette zu umgehen, die den Hafen schloss, ließ der Sultan seine Schiffe über Land auf eingefetteten Holzwegen durch die Hügel von Gala transportieren.",Was war das unmittelbare Schicksal der Hagia Sophia nach der Einnahme der Stadt?,Sie wurde von Mehmed II. in eine Moschee umgewandelt,Sie wurde wegen ihrer Baumaterialien abgerissen,Sie wurde in einen kaiserlichen Palast umgewandelt,Sie wurde von den Eroberern dem Verfall preisgegeben,"Mehmed II., fasziniert von der Pracht des Gebäudes, ordnete sofort nach seinem Einzug in die Stadt die Umwandlung in eine Moschee an.",Welche Verbindung besteht zwischen dem Fall Konstantinopels und der Die italienische Renaissance?,Das Exil byzantinischer Gelehrter brachte antike griechische Manuskripte nach Italien,"Italienische Händler verlagerten ihr Kapital in die Kunst, um ihre Verluste zu vergessen",Der osmanische Sieg erzwang den byzantinischen Kunststil in Südeuropa,"Die katholische Kirche finanzierte Künstler, um ihre Überlegenheit gegenüber dem Islam zu beweisen","Die Diaspora byzantinischer Gelehrter, die vor der Invasion flohen, ermöglichte die Wiederentdeckung vergessener griechischer Texte im Westen und stimmte den intellektuellen Aufbruch der Renaissance an.","Wer ist Urban, ein Schlüssel-Personage der Belagerung von 1453?","Ein Metallgießer, der die Giganten-Kanonen der Osmanen herstellte","Ein venezianischer Ingenieur, der den byzantinischen Kaiser verriet",Der Anführer der kaiserlichen Garde von Konstantin XI.,"Ein Entdecker, der die Routen nach Amerika eröffnete","Urban war der Spezialist für Artillerie, der die 'Basilika' entwarf, eine monströse Kanone, die in der Lage war, die antiken Stadtmauern zu durchbrechen."
9,Geschichte,Antike & Mittelalter,Das Aztekenteich,Welches göttliche Bild leitete die Mexica zum Gründungsort von Tenochtitlán?,"Ein Adler, der auf einem Kaktus sitzt und eine Schlange verschlingt",Ein brüllender Jaguar auf einem Jadestein,"Eine gefiederte Schlange, die aus dem Wasser auftaucht","Ein Komet, der den Himmel überquert","Der Legende nach hatte der Gott Huitzilopochtli dieses Zeichen vorhergesagt, um das Ende der Irrfahrt der Mexica im Jahr 1325 zu markieren.","Was ist eine Chinampa, ein zentrales Element der aztekischen Landwirtschaft?","Ein künstlicher schwimmender Garten, der durch das Aufschichten von Seeschlamm zwischen Schilfrohr angelegt wurde","Ein Bewässerungssystem durch Kanäle, die von den Bergen herab gegraben wurden","Eine landwirtschaftliche Terrasse, die in die Flanken der Vulkane geschnitten wurde","Ein erhöhtes Feld, das durch Deiche vor Überschwemmungen geschützt ist","Diese künstlichen Inseln ermöglichten eine intensive Landwirtschaft (bis zu 7 Ernten/Jahr), die für die Ernährung einer solchen Bevölkerung unerlässlich war.",Welches Herrschaftssystem charakterisiert Das Aztekenteich?,"Ein Tributsystem, das peripheren Stadtstaaten auferlegt wurde",Eine vollständige kulturelle und sprachliche Assimilation der Besiegten,Eine zentralisierte Regierung mit Präfekten in jedem Dorf,"Eine partizipative Demokratie, die die Anführer jedes Clans vereinte","Das Reich war eine Konföderation, die Reichtümer (Tribute) forderte, was einen tiefen Hass bei den unterworfenen Völkern hervorrief.",Welcher Faktor war beim Sturz des Reiches gegen die Spanier am verheerendsten?,Die von den Europäern eingeschleppten Pocken-Epidemien,Der mangelnde Mut der aztekischen Elitekrieger,Das Fehlen von Verteidigungsmauern um Tenochtitlán,Der Einsatz von Heißluftballons durch die Konquistadoren,"Der biologische Schock dezimierte die Bevölkerung, die keinerlei Immunität besaß, und tötete mehr Krieger als die Eisenwaffen.",In welchem Jahr fällt Tenochtitlán endgültig in die Hände von Cortés?,1521,1492,1588,1325,Die 80-tägige Belagerung endet 1521 mit der fast vollständigen Zerstörung der Hauptstadt und dem Beginn der spanischen Herrschaft.
