id,Nom,Rareté,Cours
k_fv51zsinebhn,Enkidu,Rara,Gilgamesh: o primeiro herói da história
k_x573a31hebhn,Hórus,Lendária,Osíris e Set (mitologia egípcia)
k_obj2aln3ebhn,Ísis,Lendária,Osíris e Set (mitologia egípcia) | Rá e a criação do mundo (Egito)
k_ieqsp8y2ebhn,Erich von Falkenhayn,Comum,A batalha de Verdun (1916)
k_98ttzi6hebhn,Hecatônquiros,Comum,"O nascimento dos deuses gregos (Cronos, Zeus, o Olimpo) | Os Titãs vs os Deuses (Titanomaquia) | Os Titãs vs os Deuses: a Titanomaquia completa"
k_hndjjet9ebhn,Jocasta,Rara,"Édipo Rei, Sófocles | Édipo e a Esfinge"
k_w21mq76febhn,Tirésias,Rara,"Édipo Rei, Sófocles | Antígona, Sófocles | Antígona: dever familiar vs lei do Estado | Narciso e Eco"
k_ovpp78boebhn,Hémon,Comum,"Antígona, Sófocles | Antígona: dever familiar vs lei do Estado"
k_noy1lpmbebhn,Ismênia,Comum,"Antígona, Sófocles | Antígona: dever familiar vs lei do Estado"
k_aaco2w1jebhn,Inocêncio III,Rara,A Magna Carta (1215)
k_9leefxjqebhn,Godofredo de Bouillon,Rara,O apelo de Urbano II e a 1ª Cruzada (1095)
k_56gablwrebhn,Aleixo I Comneno,Comum,O apelo de Urbano II e a 1ª Cruzada (1095)
k_fg0m9859ebhn,Umar,Rara,O nascimento do Islã (622)
k_dctp0svtebhn,Abu Bakr,Rara,O nascimento do Islã (622)
k_d8a98ncmebhn,Ali,Rara,O nascimento do Islã (622)
k_t8acp06webhn,Cadija,Rara,O nascimento do Islã (622)
k_seakzzrr7udi,Bruce Springsteen,Lendária,A queda do muro de Berlim (1989)
k_21oehq8h7udi,Maomé,Lendária,O nascimento do Islã (622)
k_wtnvf16cooie,Satoshi Nakamoto,Rara,A blockchain e as criptomoedas
k_hc75qe7uo6r2,Deng Xiaoping,Rara,A China e o seu modelo económico
k_6ej3vu1pknwx,Clement Attlee,Rara,A descolonização: panorama (1945-1975)
k_akzmgdp9knwx,Talat Paxá,Comum,O genocídio arménio (1915-1916)
k_o5gu57xuknwx,Enver Paxá,Comum,O genocídio arménio (1915-1916)
k_efzxix81knwx,Philippe Pétain,Rara,A batalha de Verdun (1916) | A Blitzkrieg (1940)
k_kri3e219knwx,Jean Moulin,Lendária,A Blitzkrieg (1940)
k_pvl2e9ydknwx,Josef Stalin,Lendária,A Revolução Russa (1917) | A batalha de Estalinegrado (1942-1943)
k_d4xdfwq9knwx,Ulysses S. Grant,Rara,A Guerra de Secessão americana (1861-1865)
k_th8s1n1pknwx,Robert E. Lee,Rara,A Guerra de Secessão americana (1861-1865)
