courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_5_la_magna_carta_1215,utrata Normandii,utrata Normandii (1204),evenementConnexe,"Ważne wydarzenie, w którym Jan Lackland stracił swój majątek na rzecz Filipa II Augusta, wywołując kryzys fiskalny u początków Magna Carta (1215).",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,Traktat z Troyes,Traktat z Troyes (1420),evenementConnexe,"Porozumienie, na mocy którego Karol VI, król francuski, wydziedzicza swojego syna, Delfina Karola, na rzecz króla Anglii Henryka V, tworząc francusko-angielską unię dynastyczną.",short_form
course_8_la_chute_de_constantinople_1453,Złupienie Konstantynopola podczas 4. krucjaty,Złupienie Konstantynopola podczas 4. krucjaty (1204),evenementConnexe,"W 1204 r. krzyżowcy, odwróceni przez Wenecję, splądrowali chrześcijański Konstantynopol na trzy dni. Ta trauma trwale osłabiła Bizancjum i wyjaśnia nieufność Bizancjum do Zachodu podczas oblężenia w 1453 r.",short_form
course_8_la_chute_de_constantinople_1453,złupienie Konstantynopola podczas 4. krucjaty,złupienie Konstantynopola podczas 4. krucjaty (1204),evenementConnexe,"W 1204 r. krzyżowcy, odwróceni przez Wenecję, splądrowali chrześcijański Konstantynopol na trzy dni. Ta trauma trwale osłabiła Bizancjum i wyjaśnia nieufność Bizancjum do Zachodu podczas oblężenia w 1453 r.",short_form
course_10_la_decouverte_de_l_amerique_1492,Semmelweis i Lister,Antyseptyka (Semmelweis i Lister),concept,"Jeszcze przed znieczuleniem infekcje pooperacyjne zabijały pacjentów. Semmelweis (1847), a następnie Lister (1867) narzucali higienę: mycie rąk i sterylizację narzędzi. Te dwie rewolucje – znieczulenie i antyseptyka – odmieniły chirurgię.",short_form
course_18_la_grande_depression_1929,Nowy ład Roosevelta,Nowy ład Roosevelta (1933),evenementConnexe,"Zestaw amerykańskich programów łączących bodźce gospodarcze (roboty publiczne na dużą skalę), reformy finansowe (FDIC, SEC) i ochronę socjalną. Nie zakończyło to kryzysu, ale stworzyło podwaliny pod amerykańskie państwo Providence.",short_form
course_20_hiroshima_et_nagasaki_1945,Radziecka inwazja na Mandżurię,Radziecka inwazja na Mandżurię (9 sierpnia 1945),evenementConnexe,"Stalin wypowiedział wojnę Japonii dokładnie w dniu zrzucenia bomby na Nagasaki, dokonując inwazji na Mandżurię. Niektórzy historycy uważają, że to sowieckie zagrożenie było równie decydujące, jak bomby, które wpłynęły na decyzję Japonii o kapitulacji.",short_form
course_22_la_crise_des_missiles_de_cuba_1962,MAD,Wzajemnie gwarantowane zniszczenie (MAD),concept,"Doktryna nuklearna stwierdzająca, że ​​ani Stany Zjednoczone, ani ZSRR nie przetrwają wojny nuklearnej. Ta logika zrównoważonego terroru odstraszała wszystkich od ataków i kształtowała całą dynamikę kryzysu kubańskiego.",short_form
course_22_la_crise_des_missiles_de_cuba_1962,Wzajemnie gwarantowane zniszczenie,Wzajemnie gwarantowane zniszczenie (MAD),concept,"Doktryna nuklearna stwierdzająca, że ​​ani Stany Zjednoczone, ani ZSRR nie przetrwają wojny nuklearnej. Ta logika zrównoważonego terroru odstraszała wszystkich od ataków i kształtowała całą dynamikę kryzysu kubańskiego.",short_form
course_22_la_crise_des_missiles_de_cuba_1962,kwiecień 1961,Inwazja w Zatoce Świń (kwiecień 1961),evenementConnexe,"Nieudana próba inwazji na Kubę dokonana przez kubańskich uchodźców przeszkolonych przez CIA. Upokarzająca porażka osłabiła Kennedy'ego, zachęciła Chruszczowa do podejmowania ryzyka i wzmocniła Castro, tworząc warunki dla kryzysu 1962 roku.",short_form
course_23_la_guerre_d_algerie_1954_1962,kwiecień 1961,Pucz generałów (kwiecień 1961),evenementConnexe,"Próba zamachu stanu dokonana przez czterech generałów sprzeciwiających się niepodległości. De Gaulle zmiażdżył go w cztery dni dzięki przemówieniu radiowemu. Następnie utworzono OAS, profrancuską algierską organizację terrorystyczną.",short_form
course_23_la_guerre_d_algerie_1954_1962,pucz generałów,pucz generałów (kwiecień 1961),evenementConnexe,"Próba zamachu stanu dokonana przez czterech generałów sprzeciwiających się niepodległości. De Gaulle zmiażdżył go w cztery dni dzięki przemówieniu radiowemu. Następnie utworzono OAS, profrancuską algierską organizację terrorystyczną.",short_form
course_24_la_bataille_de_dien_bien_phu_1954,lipiec 1954,Porozumienia genewskie (lipiec 1954),evenementConnexe,"Porozumienia kończące wojnę indochińską: Wietnam został podzielony na 17 równoleżniku. Wybory zjednoczeniowe zaplanowane na rok 1956 nigdy się nie odbyły, co zasiało nasiona wojny amerykańskiej, która miała nastąpić.",short_form
course_25_le_genocide_armenien_1915_1916,Masakry Hamidian,Masakry Hamidian (1894-1896),evenementConnexe,"Pierwsza fala masakr Ormian pod rządami sułtana Abdula Hamida II, w wyniku której zginęło od 100 000 do 300 000 osób. Ten nieusankcjonowany precedens pokazał przyszłym władzom osmańskim, że takie zbrodnie mogą pozostać bezkarne.",short_form
course_26_la_creation_de_l_onu_1945,luty 1945,Konferencja w Jałcie (luty 1945),evenementConnexe,"Spotkanie Roosevelta, Churchilla i Stalina kładące podwaliny pod powojenny porządek światowy: podział Europy na strefy wpływów, warunki wejścia ZSRR przeciwko Japonii, utworzenie struktury ONZ.",short_form
