Nom du cours,Classification,Terme,Explication
The birth of Islam (622),Historical reference,The Byzantine and Sassanid Empires,"The two powers surrounding the Arabian Peninsula in the 7th century. Byzantium (Eastern Roman Empire) and the Sassanids (Zoroastrian Persian Empire) were exhausting themselves in an endless war, clearing the way for Arab conquests."
The birth of Islam (622),Concept,The Ummah,"Community of Muslim believers, transcending tribal boundaries. All Muslims form a single body regardless of their origin."
The birth of Islam (622),Concept,Jihad,"Arabic term literally meaning ""effort"". Refers to the inner effort for self-improvement and the armed defense of the community."
Urban II's call and the 1st Crusade (1095),Related event,The Schism of 1054,"Definitive break between the Roman Catholic Church and the Orthodox Church, over papal authority and the Filioque question. This schism made relations between Byzantium and Rome complex at the time when Alexios I was requesting military aid."
Urban II's call and the 1st Crusade (1095),Figure,Alexios I Komnenos,Byzantine Emperor who sent an embassy to Pope Urban II to request mercenaries against the Seljuk Turks. His modest request unintentionally triggered the massive mobilization of the first crusade.
Urban II's call and the 1st Crusade (1095),Concept,Plenary indulgence,"Total remission of the punishments due to sins, granted by the Pope. Urban II promised one to all crusade participants - a powerful driver for mobilization in a deeply religious society."
The Sack of Rome by the Visigoths (410),Historical reference,The Huns,"Nomadic people from Central Asia who swept into Europe around 370, pushing the Goths and other Germanic peoples to cross Roman borders to flee. Their leader Attila would ravage Europe in the 450s."
The Sack of Rome by the Visigoths (410),Concept,The Roman foedus,"Treaty by which Rome authorized a Barbarian people to settle on its territory in exchange for military service. The Visigoths obtained a foedus in 382, but Rome did not respect it, which explains Alaric's revolt."
The Sack of Rome by the Visigoths (410),Related event,The division of the Empire in 395,"Upon the death of Theodosius I, the Empire was shared between his two sons: Honorius in the West (capital Ravenna) and Arcadius in the East (Constantinople). This permanent division weakened the response to invasions."
The coronation of Charlemagne (800),Concept,The Holy Roman Empire,"Politics entity born from The Coronation of Charlemagne (800), claiming to embody the continuity of the Roman Empire in the West under Christian authority. It lasted until 1806 and structured the Germanic space for a thousand years."
The coronation of Charlemagne (800),Concept,The missi dominici,"Carolingian ""envoys of the master"": royal inspectors sent in pairs (one bishop, one layman) to control local administration and render justice in the name of the emperor. Key instrument of Carolingian government over an immense territory."
The coronation of Charlemagne (800),Figure,Alcuin of York,"English scholar brought in by Charlemagne to lead the Palatine School in Aachen. He oversaw the reform of writing and education, training a generation of literate administrators who maintained the empire."
The Magna Carta (1215),Concept,The feudal system,Medieval organization based on personal ties: the suzerain grants land (fief) in exchange for military service and loyalty. The Magna Carta (1215) was extracted within this contractual framework: the barons reminded the king of his obligations.
The Magna Carta (1215),Related event,The loss of Normandy (1204),"Major Event where John Lackland lost his possessions to Philip II Augustus, provoking the fiscal crisis at the origin of the Magna Carta (1215)."
The Magna Carta (1215),Concept,Habeas corpus,"Legal principle protecting against arbitrary arrests: any person arrested must be presented to a judge. Direct heritage of clause 39 of the Magna Carta (1215), it has become a pillar of Anglo-Saxon law."
The Black Death in Europe (1347-1353),Concept,Miasma theory,Medieval medical belief that diseases were caused by impure vapors emanating from stagnant waters and corpses. It explains the total helplessness of medicine against the Plague - one could not treat what one did not understand.
The Black Death in Europe (1347-1353),Place / institution,The Italian maritime republics,"Genoa and Venice, whose commercial ships linked the Black Sea to Europe, were the vectors of the epidemic. Genoese ships introduced the plague to Sicily in 1347, spreading the bacteria through their Mediterranean trade networks."
The Black Death in Europe (1347-1353),Related event,The Jewish pogroms (1348-1349),"Accused of poisoning wells, tens of thousands of Jews were massacred in Germany and France during the Plague. Pope Clement VI defended them but was little heard in devastated cities looking for scapegoats."
Joan of Arc and the Hundred Years' War (1429),Event,The Treaty of Troyes (1420),"Agreement by which Charles VI of France disinherits his son, the Dauphin Charles, in favor of the King of England Henry V, creating a Franco-English dynastic union."
Joan of Arc and the Hundred Years' War (1429),Concept,The coronation at Reims,"Ceremony by which the King of France was anointed with holy oil, conferring upon him a quasi-sacred character. Only a king crowned in Reims was fully legitimate in the eyes of the Church and the people - hence the urgency for Joan to lead Charles VII there."
Joan of Arc and the Hundred Years' War (1429),Historical reference,The Burgundians,"French faction allied with the English, led by the Duke of Burgundy (Philip the Good in 1429). Their alliance with England was broken by the Treaty of Arras in 1435."
The Fall of Constantinople (1453),Related event,The sack of Constantinople by the 4th Crusade (1204),"The crusaders, diverted by Venice, looted Christian Constantinople for three days in 1204. This trauma permanently weakened Byzantium and explains Byzantine mistrust of the West during the siege of 1453."
The Fall of Constantinople (1453),Historical reference,The Greek diaspora and the Renaissance,"Greek scholars fleeing Constantinople brought their manuscripts to Italy, contributing decisively to the Renaissance. The fall of Byzantium paradoxically accelerated the intellectual revival of the West."
The Fall of Constantinople (1453),Concept,Byzantine law and Roman heritage,"Constantinople had preserved and transmitted Roman law, Greek philosophy, and Christian theology for a thousand years. Its fall put an end to this living continuity between Antiquity and the modern world."
The Aztec Empire,Concept,The Five Suns Cosmogony,"Aztec myth: the universe has already been created and destroyed four times. The current fifth sun is only kept alive through human sacrifices. This cosmology made sacrifices cosmically necessary - without them, the sun would stop."
The Aztec Empire,Concept,The chinampas,"""Floating gardens"" created in Lake Texcoco: artificial islands of mud and vegetation allowing for highly productive agriculture. Tenochtitlán was surrounded by a network of canals and cultivated lands that fed 200,000 inhabitants."
The Aztec Empire,Place / institution,Tenochtitlán and Mexico City,"Aztec capital founded in 1325 on an islet in Lake Texcoco, where Mexico City is located today. It was one of the largest cities in the world in 1519, with a sophisticated network of aqueducts and canals."
The Discovery of America (1492),Event,The Spanish Reconquista (1492),The triumph of the capture of Granada released resources and created a momentum of national ambition that explains Isabella of Castile's support for Columbus.
The Discovery of America (1492),Figure,Amerigo Vespucci,Florentine navigator who understood that the discovered lands were an unknown continent. The continent was named in his honor in 1507.
The Discovery of America (1492),Event,The Treaty of Tordesillas (1494),Agreement arbitrated by the Pope dividing the world into two spheres of influence between Spain (west) and Portugal (east).
The Storming of the Bastille (1789),Concept,The Ancien Régime and the three estates,"French society divided into three estates: Clergy (1st), Nobility (2nd), and Third Estate (97% of the population, 3rd). At the Estates General, each estate had only one vote out of three, despite the overwhelming demographic representativeness of the Third Estate."
The Storming of the Bastille (1789),Concept,The lettre de cachet,"Royal order of imprisonment without trial or explanation, signed by the king. The Bastille symbolized this royal arbitrariness, even though in July 1789 it contained only 7 prisoners - its value was purely symbolic."
Napoleon's strategy at Ulm (1805),Concept,The Napoleonic Army Corps,"An autonomous military unit of 15,000 to 30,000 men including all arms, capable of fighting alone for several days. This organizational innovation allowed for the speed of maneuver that was Napoleon's strength."
