courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,מיהו המחבר של Les Fleurs du Mal?,"שארל בודלר פרסם את Les Fleurs du Mal ב-1857, תעודת הלידה של השירה המודרנית.","[""צ'רלס בודלר"", ""פול ורלן"", ""סטפן מאלרמה"", ""ארתור רימבו""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,מדוע נידונו Les Fleurs du Mal בשנת 1857?,"האוסף נדונה בשל ""זעם על המוסר הציבורי"", שערורייה שלא תוסר רשמית עד 1949.","[""על \""זעם על המוסר הציבורי\"""", ""על פלגיאט"", ""על הסתה לאלימות פוליטית"", ""על סיכון ביטחון המדינה""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,באיזו שנה שוקמו רשמית ששת השירים הנידונים מ-Les Fleurs du Mal?,"ששת השירים שנידונו ב-1857 לא שוקמו רשמית רק ב-1949, 92 שנים מאוחר יותר.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,"מה מייצג האלבטרוס בקטע ""טחול ואידיאלי""?","האלבטרוס, מלכותי במעוף אבל מגוחך פעם שהוצב על הקרקע, מייצג את המשורר בעולם שאינו מבין אותו.","[""המשורר, מלכותי במעוף אבל מגוחך על הקרקע"", ""חופש מוחלט של האמן"", ""המוות הבלתי נמנע"", ""יופי בלתי מושג""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,איזה חלק בקולקציה הופך את פריז לנוף פסיכולוגי?,"""ציורי פריז"" הופך את העיר לנוף פסיכולוגי. המשורר משוטט שם כעגלה, צופה בחיי פריז תחת האוסמן.","[""\""ציורים פריזאיים\"""", ""”טחול ואידיאלי“"", ""\""היין\"""", ""\""מות\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"איזה שיר מתאר את הטבע כ""מקדש"" של סימנים המקשרים ריחות, צבעים וצלילים?","""התכתבויות"" מתאר את הטבע כמקדש של סימנים. החושים מתערבבים שם: בשמים, צבעים וצלילים מגיבים זה לזה.","[""\""התכתבות\"""", ""\""האלבטרוס\"""", ""\""טחול\"""", ""\""גביה\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,נכון או לא נכון: בודלר דוחה לחלוטין צורות שיריות קלאסיות כמו הסונטה.,"בודלר, להיפך, קושר את הצורה הקלאסית, כמו הסונטה והאלכסנדרין, לחזון פואטי חדש לחלוטין.","[""נכון"", ""לא נכון""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"איזו תנועה פואטית מצאה הפואטיקה של התכתובת של בודלר, שנישאה לאחר מכן על ידי ורלן ומלרמה?","פואטיקה זו של התכתבויות ייסדה את הסמליות, שנישאה לאחר מכן על ידי ורליין ומלרמה.","[""הסמליות"", ""רומנטיקה"", ""טבעונות"", ""קלאסיציזם""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"איזה סופר אמריקאי, שתואר כ""אח נשמה"", תרגם בודלר?","בודלר תרגם את אדגר פו, שנחשב בעיניו ל""אח נשמה"" שחלק את טעמו למקאברי.","[""אדגר אלן פו"", ""הרמן מלוויל"", ""נתנאל הות'ורן"", ""וולט ויטמן""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,כיצד מסכם בודלר את האלכימיה הפואטית שלו להפקת יופי מבוץ?,"בודלר מסכם את הפרויקט שלו עם הנוסחה הזו: ""נתת לי את הבוץ שלך והכנתי ממנו זהב"".","[""\""נתת לי את הבוץ שלך ועשיתי ממנו זהב\"""", ""\""היופי הוא נצחי\"""", ""\""רוע מוליד רוע\"""", ""\""אמנות למען האמנות\""""]",0,,,,,,
