id,Titre,Description,Cours
c_4kd6x78samcf,Der menschliche Körper: von der Heilung zur Technologie,Die Evolution unseres Verhältnisses zur Gesundheit und zum biologischen Fortschritt.,"Wie funktioniert ein Impfstoff? | Die Struktur der DNA (Watson & Crick, 1953) | KI und Beschäftigung | Psychische Gesundheit als gesellschaftliche Herausforderung | Die Entdeckung des Penicillins (Fleming, 1928)"
c_vblwguvnamcf,Klänge und Sinne: Die Wissenschaft der **Musik**,Warum berührt uns die **Musik**? Eine Erkundung zwischen **Kunst** und Biologie.,Beethoven: Genie und Taubheit | Warum verursachen uns bestimmte Geräusche Gänsehaut? | Bach und die Barockmusik | Wie funktioniert Elektrizität in unserem Körper? | Die Geburt der elektronischen Musik
c_fgpg15z4amcf,Das schwarze Gold und die Wirtschaft der **Welt**,"Verstehen, wie Erdöl die Geopolitik und die moderne Wissenschaft geformt hat.",Erdöl als Konfliktquelle | Wie funktioniert der Ölpreis? | Die Weltwirtschaftskrise (1929) | Was ist der Treibhauseffekt (wirklich)? | Die Entdeckung der Mikrowelle (durch Zufall)
c_m3308zqbamcf,Der Weltraum: die letzte Grenze,Die Eroberung des Kosmos zwischen Astrophysik und filmischer Fantasie.,Der Urknall | Was ist ein Schwarzes Loch? | Kubrick: 2001: Odyssee im Weltraum | Die Relativitätstheorie für alle | Gibt es Leben anderswo im Universum?
c_idrry5c5amcf,Die Zeit der Revolten,"Die großen sozialen und künstlerischen Umbrüche, die die Freiheit neu definiert haben.","Der Sturm auf die Bastille (1789) | Die Pariser Kommune (1871) | Bob Dylan und der Protest-Folk | Die Freiheit führt das Volk, Delacroix | Die Russische Revolution (1917)"
c_jbwuzn5zamcf,Das Imperium der Angst,"Erforschung der Mechanismen der Angst durch Suspense, Wissenschaft und globale Krisen.","Hitchcock und der Suspense | Warum bekommt man Gänsehaut? | Die Kubakrise (1962) | 1984, George Orwell | Der Expressionismus: Munch und Der Schrei"
c_6870opqzamcf,Architektur und Macht,Wie gebaute Strukturen Überzeugungen und politische Systeme widerspiegeln.,Die athenische Demokratie | Gotische Architektur: Die Kathedralen | Das Bauhaus | Der Fall der Berliner Mauer (1989) | Die Kaiserkrönung Karls des Großen (800)
c_7etcora6amcf,Das Feuer: zwischen göttlicher Strafe und Energie,"Studie des Feuers durch die **Mythologie**, die Geologie und die **Geschichte** der Technologie.","Prometheus: Der Feuerbringer | Warum brechen Vulkane aus? | Frankenstein, Mary Shelley | Die Energiewende | Fahrenheit 451, Bradbury"
c_nuv73pnuamcf,**Genozide** und Erinnerung: Nie wieder,"Eine historische, soziologische und juristische Analyse der **Verbrechen gegen die Menschlichkeit** im 20. Jahrhundert.","Die Shoah: Mechanismen eines Völkermords | Der Völkermord an den Armeniern (1915-1916) | Der Völkermord in Ruanda (1994) | Der Nürnberger Prozess (1945–1946) | Guernica, Picasso"
c_tl61pxu9amcf,Der Mensch und das Meer: Mythen und Realitäten,Vom Schaum der griechischen Mythen bis zu den zeitgenössischen geopolitischen Herausforderungen der Ozeane.,"Die Odyssee, Homer | Moby-Dick, Melville | Warum ist Meerwasser salzig? | Der Suezkanal: Warum er strategisch wichtig ist | Der Anstieg des Meeresspiegels"
c_9y3ap3px8kck,Außergewöhnliche Frauen: von der Wissenschaft zur Freiheit,"Ein fächerübergreifender Streifzug zur Ehrung von Frauen, die die **Geschichte** erschüttert haben, sei es durch bedeutende wissenschaftliche Entdeckungen, soziale Kämpfe oder grundlegende **Literatur**.","Die Entdeckung der Radioaktivität (Marie Curie) | Rosa Parks und Montgomery (1955) | Frankenstein, Mary Shelley | Jeanne d’Arc und der Hundertjährige Krieg (1429)"
g_mpzqlws4_0n3de,Das Pantheon des antiken Griechenlands,"Begegnen Sie den Göttern und Helden, die die Vorstellungswelt der westlichen Zivilisation geprägt haben.","Die Geburt der griechischen Götter (Kronos, Zeus, Olymp) | Herkules und seine 12 Taten | Prometheus: Der Feuerbringer | Medusa und Perseus | Theseus und der Minotaurus | Die athenische Demokratie"
