courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Wie is de auteur van Les Fleurs du Mal?,"Charles Baudelaire publiceerde in 1857 Les Fleurs du Mal, de geboorteakte van de moderne poëzie.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Waarom werden Les Fleurs du Mal in 1857 veroordeeld?,"De collectie werd veroordeeld wegens “verontwaardiging over de publieke moraal”, een schandaal dat pas in 1949 officieel zou worden opgeheven.","[""Wegens “verontwaardiging over de publieke moraal”"", ""Voor plagiaat"", ""Voor het aanzetten tot politiek geweld"", ""Wegens het in gevaar brengen van de staatsveiligheid""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,In welk jaar werden de zes veroordeelde gedichten uit Les Fleurs du Mal officieel gerehabiliteerd?,"De zes in 1857 veroordeelde gedichten werden pas in 1949, 92 jaar later, officieel gerehabiliteerd.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Wat vertegenwoordigt de albatros in de sectie ‘Milt en ideaal’?,"De albatros, majestueus tijdens de vlucht maar belachelijk als hij eenmaal op de grond is geplaatst, vertegenwoordigt de dichter in een wereld die hem niet begrijpt.","[""De dichter, majestueus tijdens de vlucht maar belachelijk op de grond"", ""Totale vrijheid van de kunstenaar"", ""De onvermijdelijke dood"", ""Onbereikbare schoonheid""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Welk deel van de collectie maakt Parijs tot een psychologisch landschap?,"‘Parisian Paintings’ verandert de stad in een psychologisch landschap. De dichter dwaalt daar rond als wandelaar, als waarnemer van het Parijse leven onder Haussmann.","[""“Parijse schilderijen”"", ""“Milt en Ideaal”"", ""“De wijn”"", ""\""Dood\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Welk gedicht beschrijft de natuur als een ‘tempel’ van tekens die geuren, kleuren en geluiden met elkaar verbinden?","‘Correspondences’ beschrijft de natuur als een tempel van tekens. De zintuigen mengen zich daar: parfums, kleuren en geluiden reageren op elkaar.","[""“Correspondenties”"", ""“De Albatros”"", ""\""Milt\"""", ""\""Verzameling\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,Waar of niet waar: Baudelaire wijst klassieke poëtische vormen als het sonnet volledig af.,"Baudelaire daarentegen koppelt de klassieke vorm, zoals het sonnet en de alexandrijn, aan een radicaal nieuwe poëtische visie.","[""Waar"", ""Onwaar""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Welke poëtische beweging vond de poëtica van Baudelaires correspondentie, die vervolgens werd gedragen door Verlaine en Mallarmé?","Deze poëtica van correspondenties vormde de basis voor de symboliek, die vervolgens door Verlaine en Mallarmé werd gedragen.","[""De symboliek"", ""Romantiek"", ""Naturalisme"", ""Classicisme""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Welke Amerikaanse schrijver, omschreven als een ‘soul brother’, vertaalde Baudelaire?","Baudelaire vertaalde Edgar Poe, die hij beschouwde als een ‘zielenbroeder’ die zijn smaak voor het macabere deelde.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Hoe vat Baudelaire zijn poëtische alchemie van het extraheren van schoonheid uit modder samen?,Baudelaire vat zijn project samen met deze formule: “Je gaf mij je modder en ik heb er goud van gemaakt”.,"[""“Je gaf mij je modder en ik heb er goud van gemaakt”"", ""“Schoonheid is eeuwig”"", ""“Kwaad brengt kwaad voort”"", ""“Kunst omwille van de kunst”""]",0,,,,,,
