Nom du cours,Classification,Terme,Explication
O nascimento do Islã (622),Referência histórica,O Império Bizantino e o Sassânida,"As duas potências que rodeavam a península arábica no século VII. Bizâncio (Império Romano do Oriente) e os Sassânidas (império persa zoroastrista) esgotavam-se numa guerra interminável, abrindo caminho para as conquistas árabes."
O nascimento do Islã (622),Conceito,A Umma,"Comunidade dos crentes muçulmanos, transcendendo as fronteiras tribais. Todos os muçulmanos formam um só corpo, independentemente da sua origem."
O nascimento do Islã (622),Conceito,A jihad,Termo árabe que significa literalmente «esforço». Designa o esforço interior para se melhorar e a defesa armada da comunidade.
O apelo de Urbano II e a 1ª Cruzada (1095),Evento relacionado,O Cisma de 1054,"Ruptura definitiva entre a Igreja Católica Romana e a Igreja Ortodoxa, sobre a autoridade papal e a questão do Filioque. Este cisma tornava as relações entre Bizâncio e Roma complexas no momento em que Aleixo I Comneno pedia ajuda militar."
O apelo de Urbano II e a 1ª Cruzada (1095),Personagem,Aleixo I Comneno,Imperador bizantino que enviou uma embaixada ao Papa Urbano II para pedir mercenários contra os turcos seljúcidas. O seu pedido modesto desencadeou involuntariamente a mobilização maciça da primeira cruzada.
O apelo de Urbano II e a 1ª Cruzada (1095),Conceito,A indulgência plenária,"Remissão total das penas devidas aos pecados, concedida pelo Papa. Urbano II prometeu uma a todos os participantes na cruzada - um poderoso motor de mobilização numa sociedade profundamente religiosa."
A tomada de Roma pelos Visigodos (410),Referência histórica,Os Hunos,"Povo nômade da Ásia Central que avançou sobre a Europa por volta de 370, pressionando os Godos e outros povos germânicos a atravessar as fronteiras romanas para fugir. Seu líder Átila devastaria a Europa nos anos 450."
A tomada de Roma pelos Visigodos (410),Conceito,O foedus romano,"Tratado pelo qual Roma autorizava um povo Bárbaro a instalar-se no seu território em troca de serviço militar. Os Visigodos obtiveram um foedus em 382, mas Roma não o respeitou, o que explica a revolta de Alarico."
A tomada de Roma pelos Visigodos (410),Evento relacionado,A divisão do Império em 395,"Aquando da morte de Teodósio I, o Império foi partilhado entre os seus dois filhos: Honório a Oeste (capital Ravena) e Arcádio a Leste (Constantinopla). Esta divisão permanente enfraqueceu a resposta às invasões."
A coroação de Carlos Magno (800),Conceito,O Sacro Império Romano-Germânico,"Entidade política nascida da coroação de Carlos Magno, pretendendo encarnar a continuidade do Império Romano no Ocidente sob autoridade cristã. Esta perdurará até 1806 e estruturará o espaço germânico durante mil anos."
A coroação de Carlos Magno (800),Conceito,Os missi dominici,"«Enviados do mestre» carolíngios: inspetores reais enviados aos pares (um bispo, um leigo) para controlar a administração local e aplicar a justiça em nome do imperador. Instrumento-chave do governo carolíngio sobre um território imenso."
A coroação de Carlos Magno (800),Personagem,Alcuíno de Iorque,"Sábio inglês que Carlos Magno mandou vir para dirigir a escola palatina de Aachen. Supervisionou a reforma da escrita e do ensino, formando uma geração de administradores letrados que mantiveram o império."
