courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Kes on raamatu Les Fleurs du Mal autor?,Charles Baudelaire avaldas 1857. aastal kaasaegse luule sünnitunnistuse Les Fleurs du Mal.,"[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Miks Les Fleurs du Mal 1857. aastal hukka mõisteti?,"Kollektsioon mõisteti hukka ""avaliku moraali pahameele"" pärast, mis on skandaaliga ametlikult tühistatud alles 1949. aastal.","[""\""Avaliku moraali pahameele eest\"""", ""Plagiaati eest"", ""Poliitilise vägivalla õhutamise eest"", ""Riigi julgeoleku ohustamise eest""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,Mis aastal Les Fleurs du Mali kuus hukkamõistetud luuletust ametlikult rehabiliteeriti?,"Kuus 1857. aastal hukka mõistetud luuletust rehabiliteeriti ametlikult alles 1949. aastal, 92 aastat hiljem.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,"Mida tähistab albatross jaotises ""Põrn ja ideaal""?","Albatross, kes on lennult majesteetlik, kuid kunagi maapinnale asetatud naeruväärne, esindab poeeti maailmas, mis teda ei mõista.","[""Luuletaja, lennult majesteetlik, kuid maa peal naeruväärne"", ""Kunstniku täielik vabadus"", ""Vältimatu surm"", ""Kättesaamatu ilu""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Milline kollektsiooni osa teeb Pariisist psühholoogilise maastiku?,"“Pariisi maalid” muudab linna psühholoogiliseks maastikuks. Luuletaja rändab seal vankrina, Pariisi elu vaatlejana Haussmanni käe all.","[""\""Pariisi maalid\"""", ""“Põrn ja ideaal”"", ""\""Vein\"""", ""\""Surm\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Millises luuletuses kirjeldatakse loodust kui lõhnu, värve ja helisid ühendavate märkide ""templit""?","“Kirjavahetus” kirjeldab loodust kui märkide templit. Meeled segunevad seal: parfüümid, värvid ja helid reageerivad üksteisele.","[""\""Kirjavahetus\"""", ""\""Albatros\"""", ""\""Põrn\"""", ""\""Kollektsioon\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,"Õige või vale: Baudelaire lükkab täielikult tagasi klassikalised poeetilised vormid, nagu sonett.","Baudelaire, vastupidi, seob klassikalise vormi, nagu sonett ja aleksandriin, radikaalselt uue poeetilise nägemusega.","[""Tõene"", ""Väär""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Millise poeetilise liikumise leidis Baudelaire'i kirjavahetuse poeetika, mida hiljem kandsid edasi Verlaine ja Mallarmé?","See kirjavahetuse poeetika pani aluse sümboolikale, mida hiljem kandsid edasi Verlaine ja Mallarmé.","[""Sümboolika"", ""Romantism"", ""Naturalism"", ""Klassitsism""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Millise Ameerika kirjaniku, keda kirjeldatakse kui ""hingevenna"", tõlkis Baudelaire?","Baudelaire tõlkis Edgar Poe, keda ta pidas “hingevennaks”, kes jagas oma maitset õudsuse järele.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Kuidas võtab Baudelaire kokku oma poeetilise alkeemia mudast ilu ammutamiseks?,Baudelaire võtab oma projekti kokku järgmise valemiga: “Sa andsid mulle oma muda ja ma tegin sellest kulla”.,"[""\""Sa andsid mulle oma muda ja ma tegin sellest kulla\"""", ""\""Ilu on igavene\"""", ""\""Kurjus sünnitab kurja\"""", ""\""Kunst kunsti pärast\""""]",0,,,,,,
