courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Tko je autor knjige Les Fleurs du Mal?,"Charles Baudelaire objavio je 1857. godine Les Fleurs du Mal, rodni list moderne poezije.","[""Charles Baudelaire"", ""Paul Verlaine"", ""Stéphane Mallarmé"", ""Arthur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Zašto su Les Fleurs du Mal osuđeni 1857.?,"Zbirka je osuđena zbog “vrijeđanja javnog morala”, skandal koji će biti službeno podignut tek 1949.","[""Za \""vrijeđanje javnog morala\"""", ""Za plagijat"", ""Za poticanje političkog nasilja"", ""Za ugrožavanje državne sigurnosti""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,Koje je godine šest osuđenih pjesama iz Les Fleurs du Mal službeno rehabilitirano?,"Šest pjesama osuđenih 1857. službeno su rehabilitirane tek 1949., 92 godine kasnije.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,"Što predstavlja albatros u odjeljku ""Slezena i ideal""?","Albatros, veličanstven u letu, ali smiješan kad se spusti na zemlju, predstavlja pjesnika u svijetu koji ga ne razumije.","[""Pjesnik, veličanstven u letu, ali smiješan na zemlji"", ""Potpuna sloboda umjetnika"", ""Neizbježna smrt"", ""Nedostižna ljepota""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Koji dio zbirke čini Pariz psihološkim krajolikom?,"“Pariške slike” pretvaraju grad u psihološki pejzaž. Pjesnik tu luta kao šetač, promatrač pariškog života pod Haussmannom.","[""“Pariške slike”"", ""“Spleen i ideal”"", ""“Vino”"", ""\""Smrt\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Koja pjesma opisuje prirodu kao ""hram"" znakova koji povezuju mirise, boje i zvukove?","“Korespondencije” opisuju prirodu kao hram znakova. Tu se miješaju osjetila: mirisi, boje i zvukovi reagiraju jedni na druge.","[""“Dopisivanje”"", ""“Albatros”"", ""\""Slezena\"""", ""\""Kolekcija\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,Točno ili netočno: Baudelaire u potpunosti odbacuje klasične pjesničke forme poput soneta.,"Baudelaire, naprotiv, povezuje klasičnu formu, poput soneta i aleksandrine, s radikalno novom pjesničkom vizijom.","[""Točno"", ""Netočno""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Koji je poetski pokret utemeljila poetika Baudelaireove korespondencije, koju su potom prenosili Verlaine i Mallarmé?","Ova poetika korespondencije utemeljila je simbolizam, a potom su ga nositelji Verlaine i Mallarmé.","[""Simbolika"", ""Romantizam"", ""Naturalizam"", ""Klasicizam""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Kojeg je američkog pisca, opisanog kao “brata po duši”, preveo Baudelaire?","Baudelaire je preveo Edgara Poea, kojeg je smatrao ""bratom po duši"" koji je dijelio njegov ukus za jezivo.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Kako Baudelaire sažima svoju poetsku alkemiju izvlačenja ljepote iz blata?,Baudelaire sažima svoj projekt ovom formulom: “Dao si mi svoje blato i ja sam od njega napravio zlato”.,"[""\""Dao si mi svoje blato i napravio sam zlato od njega\"""", ""“Ljepota je vječna”"", ""“Zlo rađa zlo”"", ""“Umjetnost radi umjetnosti”""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,Koje je pravo ime Georgea Orwella?,George Orwell je pseudonim Erica Arthura Blaira.,"[""Eric Arthur Blair"", ""George Bernard Shaw"", ""Aldous Huxley"", ""Herbert George Wells""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,U kojem se sukobu Orwell borio prije nego što je napisao 1984.?,"Orwell se borio 1936.-1937. u milicijama POUM tijekom Španjolskog građanskog rata, gdje je i ozlijeđen.","[""Španjolski građanski rat"", ""Prvi svjetski rat"", ""Burski rat"", ""Alžirski rat""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q3,mcq,"Što je Orwella najviše pogodilo tijekom ovog iskustva, osim nasilja?","Ono što se Orwella najviše dojmilo je vidjeti kako novine prepisuju prošlost i brišu borce, opsjednutost državnim lažima koja potiče roman.","[""Krivotvorenje činjenica i prošlosti putem propagande"", ""Nedostatak hrane"", ""Izdaja njegovih drugova"", ""Cenzura stranog tiska""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q4,mcq,Koji pravi totalitarni režim nadahnjuje sustav Oceanije?,Sustav Oceanije posebno je inspiriran sovjetskim totalitarizmom kao modelom.,"[""Sovjetski totalitarizam"", ""Talijanski fašizam"", ""Vichyjevski režim"", ""Britansko carstvo""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q5,mcq,Kako se zove jedina stranka koja upravlja Oceanijom?,"Oceanijom upravlja Ingsoc, koji se temelji na četiri paradoksalna ministarstva: mir, obilje, ljubav i istina.","[""Ingsoc"", ""Narodna stranka"", ""Crvena liga"", ""Centralni blok""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q6,mcq,Što Winston Smith radi za posao u Ministarstvu istine?,"Winston Smith radi u Ministarstvu istine, gdje briše prošlost kako bi se uklopio u sadašnjost koju definira Partija.","[""On briše i prepisuje prošlost kako bi se uklopio u sadašnjost Partije"", ""Građane prati putem teleekrana"", ""Piše govore Big Brothera"", ""Obučava nove članove Partije""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q7,mcq,"Kako nazivate sposobnost prihvaćanja dviju kontradiktornih istina odjednom, 1984.?","Dvostruko mišljenje se odnosi na sposobnost prihvaćanja dvije kontradiktorne istine odjednom, stup partijske kontrole uma.","[""Duplo razmišljanje"", ""novogovor"", ""Teleekran"", ""Ingsoc""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q8,mcq,Zašto Partija smanjuje vokabular putem novogovora?,Novogovor smanjuje raspoloživi vokabular kako bi samo kritičko mišljenje bilo nemoguće formulirati.,"[""Onemogućiti kritičko mišljenje"", ""Za pojednostavljenje administracije"", ""Olakšati međunarodnu trgovinu"", ""Ujediniti regionalne dijalekte""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q9,chronological,Poredajte ove faze Orwellova života i rada.,"Ove četiri faze obilježavaju Orwellovu karijeru: Španjolski građanski rat (1936-1937), Životinjska farma (1945), 1984 (1949), zatim njegova smrt 1950.",,,"[""Orwell se borio u POUM milicijama tijekom Španjolskog građanskog rata"", ""Izdaje Životinjsku farmu"", ""Objavio je 1984"", ""Umro je u Škotskoj ubrzo nakon objavljivanja svog romana.""]",,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q10,trueFalse,Istina ili netočnost: na kraju romana Winston Smith na kraju zavoli Big Brothera.,"Totalitarizam pobjeđuje na psihološkoj razini: Winston ne samo da posluša, već i zavoli Big Brothera.","[""Točno"", ""Netočno""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q1,mcq,Koji povijesni događaj Životinjska farma prikazuje u obliku alegorije?,Orwell transponira glavne faze ruske revolucije i staljinističke izdaje u bajku o životinjama.,"[""Ruska revolucija"", ""Francuska revolucija"", ""Španjolski građanski rat"", ""Engleska industrijska revolucija""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q2,mcq,Koju životinju Staljin predstavlja u Orwellovoj alegoriji?,"Napoleon, svinja koja silom preuzima vlast nakon što je jurio Snowballa, model je Staljina.","[""Napoleon"", ""Stari Major"", ""gruda snijega"", ""malabarski""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q3,trueFalse,"Točno ili netočno: Izdavač T.S. Eliot je odbio objaviti Orwellov rukopis, bojeći se da će pametne svinje uvrijediti državnike.","T.S. Eliot, tadašnji urednik, zapravo je iz tog razloga odbio rukopis.","[""Točno"", ""Netočno""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q4,mcq,Što u alegoriji predstavljaju Napoleonovi psi?,Psi koje je Napoleon istrenirao da jure Snowballa i teroriziraju farmu predstavljaju sovjetsku tajnu policiju.,"[""Tajna policija"", ""Careva regularna vojska"", ""Pobunjeni seljaci"", ""Službeni novinari""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q5,mcq,Koja životinja utjelovljuje proletarijat izrabljivan do iznemoglosti?,"Malabar, predani i neumorni radni konj, simbolizira proletarijat koji radi ne dovodeći u pitanje autoritet.","[""Malabar, marljivi konj"", ""Brille-Babil, propagandist"", ""Stari Major"", ""gruda snijega""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q6,chronological,Stavite ove korake iz Životinjske farme u red.,Ova sekvenca pokazuje postupni pomak od egalitarne revolucije prema diktaturi svinja.,,,"[""Životinje jure Farmera Jonesa"", ""Napoleon lovi Snowballa sa svojim psima"", ""Svinje potajno mijenjaju sedam zapovijedi"", ""Svinje počinju hodati na dvije noge""]",,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q7,mcq,"Koja konačna formula sažima, na kraju romana, izdaju egalitarnog ideala?","Ova paradoksalna formula, ispisana na zidu staje, otkriva da je proklamirana jednakost ispražnjena od smisla.","[""“Sve životinje su jednake, ali neke životinje su jednakije od drugih”"", ""“Svinje moraju služiti drugim životinjama”"", ""“Napoleon je uvijek u pravu”"", ""“Mlin će biti naš spas”""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q8,trueFalse,Istina ili netočnost: na kraju romana druge životinje više ne mogu razlikovati svinje od ljudi.,"Svinje hodaju na dvije noge, oblače se i goste s farmerima, potpuno brišući granicu između njih.","[""Točno"", ""Netočno""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q9,numericSlider,"Koliko otprilike riječi ima Životinjska farma, namjerno jako kratak tekst?","Orwell svoju alegoriju iznosi u jedva 30 000 riječi, što pojačava učinkovitost bajke.",,,,30000.0,15000.0,50000.0,5000.0,riječi
course_103_hamlet_shakespeare,course_103_hamlet_shakespeare_q1,mcq,"Tko ubija kralja Danske, Hamletova oca?","Klaudije ubija svog brata, kralja, zatim se ženi kraljicom Gertrudom i preuzima prijestolje.","[""Klaudije"", ""Polonije"", ""Laertes"", ""Fortinbras""]",0,,,,,,
course_103_hamlet_shakespeare,course_103_hamlet_shakespeare_q2,mcq,Tko govori Hamletu o ubojstvu njegova oca?,Duh preminulog kralja javlja se Hamletu kako bi otkrio Klaudijev zločin.,"[""Duh njegova oca"", ""Njegova majka Gertruda"", ""Ofelija"", ""Horacije""]",0,,,,,,
course_103_hamlet_shakespeare,course_103_hamlet_shakespeare_q3,mcq,"Koju strategiju Hamlet usvaja da istraži zločin, a da se ne otkrije?","Hamlet glumi ludilo kako bi promatrao dvor bez izazivanja sumnje, strategija koja na kraju ne uspijeva.","[""On simulira ludilo"", ""Odlazi u progonstvo u Wittenberg"", ""Javno optužuje Klaudija"", ""Pridružuje se kazališnoj grupi""]",0,,,,,,
course_103_hamlet_shakespeare,course_103_hamlet_shakespeare_q4,trueFalse,"Točno ili netočno: za vrijeme vladavine Elizabete I., ženske uloge poput Ofelije igrale su žene na pozornici.","Žene su bile zabranjene na pozornici: ženske uloge igrali su muškarci, često tinejdžeri.","[""Točno"", ""Netočno""]",1,,,,,,
course_103_hamlet_shakespeare,course_103_hamlet_shakespeare_q5,mcq,Što Hamlet poduzima kako bi zarobio Klaudija i potvrdio njegovu krivnju?,Hamlet postavlja predstavu koja ponavlja ubojstvo njegova oca kako bi promatrao Klaudijevu reakciju.,"[""Soba u sobi, \""Mišolovka\"""", ""Javni dvoboj"", ""Suđenje na sudu"", ""Anonimno pismo""]",0,,,,,,
course_103_hamlet_shakespeare,course_103_hamlet_shakespeare_q6,mcq,"Koga Hamlet greškom ubija, ubrzavajući tragičnu spiralu?","Hamlet ubija Polonija, kraljevog savjetnika, vjerujući da udara špijuna skrivenog iza zastora.","[""Polonije"", ""Laertes"", ""Klaudije"", ""Horacije""]",0,,,,,,
course_103_hamlet_shakespeare,course_103_hamlet_shakespeare_q7,mcq,"Prema tadašnjoj medicini, što objašnjava Hamletovu melankoliju?","Elizabetanska medicina pripisivala je melankoliju višku crne žuči, čineći subjekt bistrim, ali paraliziranim.","[""Višak crne žuči"", ""Demonska opsjednutost"", ""Neravnoteža tople krvi"", ""Obiteljsko prokletstvo""]",0,,,,,,
course_103_hamlet_shakespeare,course_103_hamlet_shakespeare_q8,mcq,"Koje čitanje Freud predlaže za Hamleta, nekoliko stoljeća nakon Shakespearea?","Freud tumači Hamletovo oklijevanje kroz Edipov kompleks, popularizirajući psihoanalitičko čitanje drame.","[""On to vidi kao izraz Edipova kompleksa"", ""On to vidi kao kritiku kapitalizma u nastajanju"", ""On to vidi kao religijsku alegoriju"", ""On to vidi kao molbu za monarhiju""]",0,,,,,,
course_103_hamlet_shakespeare,course_103_hamlet_shakespeare_q9,trueFalse,Istina ili netočnost: monolog “Biti ili ne biti” ostao je najpoznatije egzistencijalno pitanje u zapadnom kazalištu.,"Taj je monolog postao simbolom egzistencijalnog pitanja u kazalištu, suprotstavljajući radnju i patnju.","[""Točno"", ""Netočno""]",0,,,,,,
course_104_romeo_et_juliette_shakespeare,course_104_romeo_et_juliette_shakespeare_q1,mcq,Na koji se izvor Shakespeare prvenstveno oslanjao da bi napisao Romea i Juliju?,"Shakespeare crpi inspiraciju iz talijanskog pripovjedača Mattea Bandella, ali sažima radnju na pet dana kako bi intenzivirao tragediju.","[""Kratka priča Mattea Bandella"", ""Starogrčki mit"", ""Drama Christophera Marlowea"", ""Suvremena londonska vijest""]",0,,,,,,
course_104_romeo_et_juliette_shakespeare,course_104_romeo_et_juliette_shakespeare_q2,numericSlider,Tijekom koliko dana Shakespeare sažima svu radnju drame?,"Shakespeare zaoštrava radnju tijekom pet dana, čineći konačnu katastrofu još neizbježnijom.",,,,5.0,1.0,14.0,1.0,dana
course_104_romeo_et_juliette_shakespeare,course_104_romeo_et_juliette_shakespeare_q3,mcq,Koji događaj mijenja ton predstave s komedije na tragediju?,"Smrt Mercutia, kojeg je ubio Tybalt, uklanja neopreznost i definitivno prebacuje predstavu u tragediju.","[""Mercutiova smrt"", ""Bal pod maskama Capuletovih"", ""Tajni brak ljubavnika"", ""Romeovo progonstvo""]",0,,,,,,
course_104_romeo_et_juliette_shakespeare,course_104_romeo_et_juliette_shakespeare_q4,mcq,"Tko slavi tajno vjenčanje Romea i Julije, nadajući se da će pomiriti dvije obitelji?","Brat Laurent potajno vjenčava ljubavnike, nadajući se da će njihova zajednica ublažiti mržnju između klanova.","[""brat Laurent"", ""Princ od Verone"", ""Mercutio"", ""Julietteina medicinska sestra""]",0,,,,,,
course_104_romeo_et_juliette_shakespeare,course_104_romeo_et_juliette_shakespeare_q5,mcq,Što sprječava da poruka brata Lawrencea stigne do Romea na vrijeme?,"Epidemija kuge odgađa glasnika odgovornog za upozorenje Romeu, ubrzavajući konačno dvostruko samoubojstvo.","[""Epidemija kuge koja odgađa glasnika"", ""Oluja na moru"", ""Uhićenje glasnika od strane princa"", ""Pogreška adrese""]",0,,,,,,
course_104_romeo_et_juliette_shakespeare,course_104_romeo_et_juliette_shakespeare_q6,trueFalse,"Točno ili netočno: u Bandellu, Shakespeareovom talijanskom izvoru, Julija se budi prije nego što Romeo umre, za razliku od drame.",Shakespeare briše ovaj oproštajni dar u Bandellu kako bi kraj drame učinio okrutnijim.,"[""Točno"", ""Netočno""]",0,,,,,,
course_104_romeo_et_juliette_shakespeare,course_104_romeo_et_juliette_shakespeare_q7,mcq,"Tko ubija Tybalta, zbog čega je Romeo protjeran iz Verone?","Romeo ubija Tybalta kako bi osvetio Mercutia, što rezultira njegovim protjerivanjem iz grada.","[""sam Romeo"", ""Mercutio"", ""grof Paris"", ""Princ od Verone""]",0,,,,,,
course_104_romeo_et_juliette_shakespeare,course_104_romeo_et_juliette_shakespeare_q8,mcq,Koje djelo iz 20. stoljeća prenosi sukob veronskih klanova na ulice New Yorka?,West Side Story zamjenjuje Montague i Capuletove s bandama Sharks i Jets.,"[""Priča sa zapadne strane"", ""Mast"", ""Kum"", ""Bijes življenja""]",0,,,,,,
course_104_romeo_et_juliette_shakespeare,course_104_romeo_et_juliette_shakespeare_q9,trueFalse,Točno ili netočno: Dante je već govorio o obiteljima Montecchi i Cappelletti dva stoljeća prije Shakespearea.,"Dante spominje ove dvije obitelji Veronese u svom djelu, mnogo prije nego što je Shakespeare od njih napravio univerzalnu tragediju.","[""Točno"", ""Netočno""]",0,,,,,,
course_105_le_meilleur_des_mondes_aldous_huxley,course_105_le_meilleur_des_mondes_aldous_huxley_q1,mcq,Kako se dominacija koju je zamišljao Huxley razlikuje od one koju je zamišljao Orwell 1984.?,"Gdje Orwell opisuje policijski teror, Huxley zamišlja dobrovoljno pokoravanje koje se postiže kroz užitak i udobnost.","[""Temelji se na užitku i udobnosti, a ne na teroru"", ""Temelji se na organiziranoj gladi"", ""Temelji se na permanentnom ratu"", ""Oslanja se na stalni policijski nadzor""]",0,,,,,,
course_105_le_meilleur_des_mondes_aldous_huxley,course_105_le_meilleur_des_mondes_aldous_huxley_q2,mcq,Koji je industrijski model Huxley nadahnuo da organizira svoje buduće društvo?,Huxley prenosi logiku pokretnih traka i industrijske standardizacije na samu ljudsku reprodukciju.,"[""fordizam i taylorizam"", ""britanski kolonijalizam"", ""pruski militarizam"", ""Tradicijski zanati""]",0,,,,,,
course_105_le_meilleur_des_mondes_aldous_huxley,course_105_le_meilleur_des_mondes_aldous_huxley_q3,trueFalse,"Istina ili netočnost: izvorni naslov, Vrli novi svijet, ironično citira Shakespeareovu dramu.","U naslovu se citira Shakespeareova Oluja, čije naivno čudo ovdje maskira dehumaniziranu budućnost.","[""Točno"", ""Netočno""]",0,,,,,,
course_105_le_meilleur_des_mondes_aldous_huxley,course_105_le_meilleur_des_mondes_aldous_huxley_q4,mcq,"Kako su u romanu određene društvene kaste, od Alfi do Ipsilona?","Bokanovsky proces dopušta svakoj kasti da bude proizvedena i uvjetovana od začeća, tako da voli svoje stanje.","[""Od dizajna, zahvaljujući procesu Bokanovsky"", ""Položenim ispitom kao odrasla osoba"", ""Po obiteljskom nasljeđu"", ""Ždrijebom pri rođenju""]",0,,,,,,
course_105_le_meilleur_des_mondes_aldous_huxley,course_105_le_meilleur_des_mondes_aldous_huxley_q5,mcq,Kakvu ulogu ima soma u ovom društvu?,Soma je lijek bez nuspojava koji trenutno rješava svaku frustraciju ili bol.,"[""To je lijek za utjehu koji uklanja sve frustracije"", ""To je gorivo rezervirano za industriju"", ""To je obavezno cjepivo za sve"", ""To je racionirana osnovna hrana""]",0,,,,,,
course_105_le_meilleur_des_mondes_aldous_huxley,course_105_le_meilleur_des_mondes_aldous_huxley_q6,mcq,Tko je Savage John?,"John, rođen izvan sustava u rezervatu, utjelovljuje humanistu sposobnog za bol i ekstazu, obučenog čitanjem Shakespearea.","[""Čovjek rođen prirodnim putem u rezervatu, koji je čitao Shakespearea"", ""Kontrolor globalnog sustava"", ""Pobunjenik Alpha podignut u glavnom gradu"", ""Znanstvenik koji je stvorio somu""]",0,,,,,,
course_105_le_meilleur_des_mondes_aldous_huxley,course_105_le_meilleur_des_mondes_aldous_huxley_q7,mcq,"Što John tuži protiv Mustapha Monda, svjetskog nadzornika?","John odbija umjetnu utjehu i prisvaja pravo na patnju, stvaranje i istinsku ljubav.","[""Pravo biti nesretan"", ""Pravo na posjed više soma"", ""Pravo vladanja svijetom"", ""Pravo na život u glavnom gradu""]",0,,,,,,
course_105_le_meilleur_des_mondes_aldous_huxley,course_105_le_meilleur_des_mondes_aldous_huxley_q8,trueFalse,Istina ili netočnost: na kraju romana John pristaje živjeti u udobnosti u Vrsnom novom svijetu.,"Ivan odbija somu i umjetni raj koji predlaže Mond: ubija se, bez mogućnosti pomirenja.","[""Točno"", ""Netočno""]",1,,,,,,
course_105_le_meilleur_des_mondes_aldous_huxley,course_105_le_meilleur_des_mondes_aldous_huxley_q9,numericSlider,Koje je godine Aldous Huxley objavio Vrli novi svijet?,"Huxley je ovaj roman objavio 1932. godine, nakon što ga je napisao prethodne godine.",,,,1932.0,1900.0,1960.0,3.0,
course_106_frankenstein_mary_shelley,course_106_frankenstein_mary_shelley_q1,mcq,Koji je klimatski događaj natjerao Mary Shelley i njezine prijatelje da ostanu zatvoreni u Villi Diodati 1816.?,"Erupcija Tambore bacila je Europu u godinu bez ljeta 1816., prisiljavajući skupinu da ostane zatvorena na obalama Ženevskog jezera.","[""Erupcija vulkana Tambora, uzrokovala godinu bez ljeta"", ""Epidemija kolere u Europi"", ""Napoleonski rat"", ""Oštra, ali uobičajena zima""]",0,,,,,,
course_106_frankenstein_mary_shelley,course_106_frankenstein_mary_shelley_q2,mcq,Tko vodi natječaj za strašne priče o Frankensteinu?,Lord Byron je bio taj koji je predložio ovo natjecanje kako bi se oslobodio dosade tijekom lošeg vremena 1816. godine.,"[""Lord Byron"", ""Percy Shelley"", ""John Polidori"", ""Sama Mary Shelley""]",0,,,,,,
course_106_frankenstein_mary_shelley,course_106_frankenstein_mary_shelley_q3,numericSlider,Koliko je Mary Shelley imala godina kad je napisala Frankensteina?,"Mary Shelley imala je samo 18 godina kada je napisala ovaj roman, na raskrižju mračnog romantizma i znanstvenih rasprava svog vremena.",,,,18.0,10.0,30.0,2.0,godina
course_106_frankenstein_mary_shelley,course_106_frankenstein_mary_shelley_q4,mcq,Iz kojeg znanstvenog područja Mary Shelley crpi inspiraciju za buđenje stvorenja?,"Galvanizam, koji kao da oživljava mrtvu tvar elektricitetom, izravno nadahnjuje scenu stvaranja stvorenja.","[""Galvanizam, ti električni eksperimenti na mrtvoj tvari"", ""Industrijska kemija u nastajanju"", ""Newtonova astronomija"", ""Tropska medicina""]",0,,,,,,
course_106_frankenstein_mary_shelley,course_106_frankenstein_mary_shelley_q5,mcq,Zašto Victor Frankenstein traži tajnu života u Ingolstadtu?,"Victor je vođen ambicijom da izazove prirodni poredak i postane kreator, “moderni Prometej”.","[""Postati moderni Prometej, a ne obogatiti se"", ""Za liječenje obiteljske bolesti"", ""Za dobivanje financijskog priznanja"", ""Da osveti očevu smrt""]",0,,,,,,
course_106_frankenstein_mary_shelley,course_106_frankenstein_mary_shelley_q6,mcq,Kako stvorenje uči ljudski jezik i osjećaje?,"Stvorenje uči samo, u tajnosti, promatrajući seljačku obitelj i čitajući Izgubljeni raj.","[""Promatrajući seljačku obitelj i čitajući Miltonov Izgubljeni raj"", ""Pohađanjem kolegija na Sveučilištu u Ingolstadtu"", ""Čitajući Victorove dnevnike"", ""Slušanje putujućih svećenika""]",0,,,,,,
course_106_frankenstein_mary_shelley,course_106_frankenstein_mary_shelley_q7,mcq,"Što stvorenje traži od Victora, koji to odbija?",Stvorenje traži suputnika da više ne bude samo; Victorovo odbijanje pokreće njegovu destruktivnu osvetu.,"[""Suputnik njezina stanja"", ""Novac za putovanje"", ""Ime za društveno postojanje"", ""Javni oprost za njegove zločine""]",0,,,,,,
course_106_frankenstein_mary_shelley,course_106_frankenstein_mary_shelley_q8,trueFalse,"Točno ili netočno: U romanu se naziv ""Frankenstein"" odnosi na tvorca, dok samo stvorenje nema imena.","Stvorenje nikada nema pravo ime, što je znak Victorova poricanja očinstva: nazvati čudovište ""Frankenstein"" stoga je pogrešno tumačenje.","[""Točno"", ""Netočno""]",0,,,,,,
course_106_frankenstein_mary_shelley,course_106_frankenstein_mary_shelley_q9,mcq,"Gdje završava roman, između Victorove smrti i nestanka stvorenja?","Roman završava u ledu Arktika, gdje Victor umire, a stvorenje nestaje u magli.","[""Na Arktiku"", ""U Ženevi"", ""U Ingolstadtu"", ""Na otvorenom Sredozemnom moru""]",0,,,,,,
course_107_crime_et_chatiment_dostoievski,course_107_crime_et_chatiment_dostoievski_q1,mcq,"Što Raskoljnikov čini da provjeri svoju teoriju o ""nadčovjeku""?","Raskoljnikov ubija starog zelenaša kako bi provjerio pripada li on ""izvanrednim"" bićima ovlaštenim za kršenje moralnog zakona.","[""Ubija zelenaša kojeg smatra beskorisnim društvu"", ""Pljačka petrogradsku banku"", ""Prijavljuje nevinog čovjeka policiji"", ""Izaziva plemića na dvoboj""]",0,,,,,,
course_107_crime_et_chatiment_dostoievski,course_107_crime_et_chatiment_dostoievski_q2,mcq,"Koga Raskoljnikov također ubija, a da to nije planirao?","Raskoljnikov također ubija Lizavetu, koja je stigla iznenada, što otežava njegov zločin ubojstva s predumišljajem.","[""Lizaveta, nevina sestra zelenaša"", ""Sonya Marmeladova"", ""Vlastita majka"", ""Sudac Porfirije Petrovič""]",0,,,,,,
course_107_crime_et_chatiment_dostoievski,course_107_crime_et_chatiment_dostoievski_q3,mcq,"Prema Raskoljnikovljevoj teoriji, tko ima pravo prekršiti moralni zakon?","Raskoljnikov dijeli čovječanstvo na ""obična"" i ""izvanredna"", od kojih potonji mogu prekršiti zakon za viši cilj.","[""“Izvanredni” pojedinci, poput Napoleona"", ""Rodni plemići"", ""Svećenici i redovnici"", ""Bogati trgovci""]",0,,,,,,
