courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_1_la_naissance_de_l_islam_622,Byzantinische und das Sassanidenreich,Das Byzantinische und das Sassanidenreich,referenceHistorique,"Die beiden Mächte, die die Arabische Halbinsel im 7. Jahrhundert einrahmten. Byzanz (Oströmisches Reich) und die Sassaniden (ein zoroastrisches persisches Reich) erschöpften sich in einem endlosen Krieg und machten so den Weg frei für die arabischen Eroberungen.",short_form
course_1_la_naissance_de_l_islam_622,Umma,Die Umma,concept,"Gemeinschaft der muslimischen Gläubigen, die Stammesgrenzen überschreitet. Alle Muslime bilden einen einzigen Körper, ungeachtet ihrer Herkunft.",short_form
course_1_la_naissance_de_l_islam_622,Dschihad,Der Dschihad,concept,"Arabischer Begriff, der wörtlich «Anstrengung» bedeutet. Bezeichnet die innere Anstrengung zur Selbstverbesserung sowie die bewaffnete Verteidigung der Gemeinschaft.",short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,Morgenländische Schisma von 1054,Das Morgenländische Schisma von 1054,evenementConnexe,"Endgültiger Bruch zwischen der römisch-katholischen Kirche und der orthodoxen Kirche über die päpstliche Autorität und die Frage des Filioque. Dieses Schisma machte die Beziehungen zwischen Byzanz und Rom zu dem Zeitpunkt komplex, als Alexios I. um militärische Hilfe bat.",short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,vollkommene Ablass,Der vollkommene Ablass,concept,"Vollständiger Erlass der Sündenstrafen, gewährt durch den Papst. Urban II. versprach diesen allen Teilnehmern des Kreuzzugs – ein mächtiger Antrieb zur Mobilisierung in einer tief religiösen Gesellschaft.",short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,Morgenländisches Schisma von 1054,Morgenländische Schisma von 1054,evenementConnexe,"Endgültiger Bruch zwischen der römisch-katholischen Kirche und der orthodoxen Kirche über die päpstliche Autorität und die Frage des Filioque. Dieses Schisma machte die Beziehungen zwischen Byzanz und Rom zu dem Zeitpunkt komplex, als Alexios I. um militärische Hilfe bat.",content_link
course_3_la_prise_de_rome_par_les_wisigoths_410,Hunnen,Die Hunnen,referenceHistorique,"Nomadenvolk Zentralasiens, das um 370 über Europa hereinbrach und die Goten sowie andere germanische Völker zwang, die römischen Grenzen auf der Flucht zu überqueren. Ihr Anführer Attila verwüstete Europa in den 450er Jahren.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,römische Foedus,Das römische Foedus,concept,"Vertrag, durch den Rom einem Volk der Barbaren erlaubte, sich auf seinem Territorium niederzulassen, im Austausch für militärische Dienste. Die Westgoten erhielten 382 ein Foedus, aber Rom hielt es nicht ein, was den Aufstand von Alarich erklärt.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,Reichsteilung von 395,Die Reichsteilung von 395,evenementConnexe,Nach dem Tod von Theodosius I. wurde das Reich zwischen seinen beiden Söhnen aufgeteilt: Honorius im Westen (Hauptstadt Ravenna) und Arcadius im Osten (Konstantinopel). Diese dauerhafte Teilung schwächte die Reaktion auf die Invasionen.,short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,Heilige Hieronymus,Heiliger Hieronymus,personnage,"Kirchenvater und Übersetzer der Bibel ins Lateinische (die Vulgata), Zeuge des psychologischen Schocks, den der Fall Roms auslöste.",content_link
