courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Ko je autor Les Fleurs du Mal?,"Šarl Bodler je 1857. objavio Les Fleurs du Mal, rodni list moderne poezije.","[""Šarl Bodler"", ""Paul Verlaine"", ""Stephane Mallarme"", ""Artur Rembo""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Zašto su Les Fleurs du Mal osuđeni 1857?,"Zbirka je osuđena zbog „narušavanja javnog morala“, skandala koji će zvanično biti ukinut tek 1949. godine.","[""Za \""zlojed javnog morala\"""", ""Za plagijat"", ""Za podsticanje političkog nasilja"", ""Za ugrožavanje državne bezbednosti""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,Koje godine je zvanično rehabilitovano šest osuđenih pesama iz Les Fleurs du Mal?,"Šest pesama koje su osuđene 1857. godine zvanično su rehabilitovane tek 1949. godine, 92 godine kasnije.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Šta albatros predstavlja u odeljku „Slezina i ideal“?,"Albatros, veličanstven u letu, ali smešan jednom postavljen na zemlju, predstavlja pesnika u svetu koji ga ne razume.","[""Pesnik, veličanstven u letu, ali smešan na zemlji"", ""Potpuna sloboda umetnika"", ""Neizbežna smrt"", ""Nedostižna lepota""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Koji deo kolekcije čini Pariz psihološkim pejzažom?,"„Pariške slike“ pretvaraju grad u psihološki pejzaž. Pesnik tumara kao šetač, posmatrač pariskog života pod Osmanom.","[""\""Pariške slike\"""", ""“Slezina i idealno”"", ""“Vino”"", ""\""smrt\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Koja pesma opisuje prirodu kao „hram“ znakova koji povezuju mirise, boje i zvukove?","„Korespondencije“ opisuje prirodu kao hram znakova. Čula se tu mešaju: parfemi, boje i zvuci reaguju jedni na druge.","[""“Prepiska”"", ""“Albatros”"", ""„Slezina”"", ""“Kolekcija”""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,Tačno ili netačno: Bodler u potpunosti odbacuje klasične poetske forme poput soneta.,"Bodler, naprotiv, povezuje klasičnu formu, kao što su sonet i aleksandrin, sa radikalno novom poetskom vizijom.","[""Tačno"", ""Netačno""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Kakav je poetski pokret pronašla poetika Bodlerove prepiske, koju su potom preneli Verlen i Malarme?","Ova poetika korespondencije utemeljila je simbolizam, koji su potom preneli Verlen i Malarme.","[""Simbolika"", ""Romantizam"", ""Naturalizam"", ""Klasicizam""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Kojeg američkog pisca, opisanog kao „brata po duši“, je Bodler preveo?","Bodler je preveo Edgara Poa, koga je smatrao „bratom po duši“ koji je delio njegov ukus za jezivo.","[""Edgar Alan Po"", ""Herman Melville"", ""Nathaniel Havthorne"", ""Valt Vhitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Kako Bodler sažima svoju poetsku alhemiju izvlačenja lepote iz blata?,Bodler svoj projekat rezimira ovom formulom: „Dao si mi svoje blato i napravio sam zlato od njega“.,"[""„Dao si mi svoje blato i napravio sam zlato od njega“"", ""„Lepota je večna”"", ""\""Zlo rađa zlo\"""", ""„Umetnost radi umetnosti“""]",0,,,,,,
