id,Nom,Rareté,Cours
k_fv51zsinebhn,Enkidu,Rara,Gilgamesh: el primer héroe de la historia
k_x573a31hebhn,Horus,Legendaria,Osiris y Set (mitología egipcia)
k_obj2aln3ebhn,Isis,Legendaria,Osiris y Set (mitología egipcia) | Ra y la creación del mundo (Egipto)
k_ieqsp8y2ebhn,Erich von Falkenhayn,Común,La batalla de Verdún (1916)
k_98ttzi6hebhn,Hecatónquiros,Común,"El nacimiento de los dioses griegos (Cronos, Zeus, el Olimpo) | Los Titanes vs los Dioses (Titanomaquia) | Los Titanes vs. los Dioses: la Titanomaquia completa"
k_hndjjet9ebhn,Yocasta,Rara,"Edipo Rey, Sófocles | Edipo y la Esfinge"
k_w21mq76febhn,Tiresias,Rara,"Edipo Rey, Sófocles | Antígona, Sófocles | Antígona: deber familiar vs ley del Estado | Narciso y Eco"
k_ovpp78boebhn,Hemón,Común,"Antígona, Sófocles | Antígona: deber familiar vs ley del Estado"
k_noy1lpmbebhn,Ismene,Común,"Antígona, Sófocles | Antígona: deber familiar vs ley del Estado"
k_aaco2w1jebhn,Inocencio III,Rara,La Magna Carta (1215)
k_9leefxjqebhn,Godofredo de Bouillón,Rara,El llamado de Urbano II y la 1.ª Cruzada (1095)
k_56gablwrebhn,Alejo I Comneno,Común,El llamado de Urbano II y la 1.ª Cruzada (1095)
k_fg0m9859ebhn,Umar,Rara,El nacimiento del islam (622)
k_dctp0svtebhn,Abu Bakr,Rara,El nacimiento del islam (622)
k_d8a98ncmebhn,Ali,Rara,El nacimiento del islam (622)
k_t8acp06webhn,Jadiya,Rara,El nacimiento del islam (622)
k_seakzzrr7udi,Bruce Springsteen,Legendaria,La caída del muro de Berlín (1989)
k_21oehq8h7udi,Mahoma,Legendaria,El nacimiento del islam (622)
k_wtnvf16cooie,Satoshi Nakamoto,Rara,La blockchain y las criptomonedas
k_hc75qe7uo6r2,Deng Xiaoping,Rara,China y su modelo económico
k_6ej3vu1pknwx,Clement Attlee,Rara,La descolonización: panorama (1945-1975)
