courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_1_la_naissance_de_l_islam_622,Byzantijnse en Sassanidische rijk,Het Byzantijnse en Sassanidische rijk,referenceHistorique,"De twee machten die het Arabische schiereiland in de 7e eeuw omsingelden. Byzantium (Oost-Romeinse Rijk) en de Sassaniden (Zoroastrische Perzische Rijk) waren zichzelf aan het uitputten in een eindeloze oorlog, waardoor de weg werd vrijgemaakt voor Arabische veroveringen.",short_form
course_1_la_naissance_de_l_islam_622,Ummah,De Ummah,concept,"Gemeenschap van moslimgelovigen, die de stamgrenzen overstijgt. Alle moslims vormen één lichaam, ongeacht hun afkomst.",short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,schisma van 1054,Het schisma van 1054,evenementConnexe,"Definitieve breuk tussen de rooms-katholieke kerk en de orthodoxe kerk, over het pauselijke gezag en de Filioque-kwestie. Dit schisma maakte de betrekkingen tussen Byzantium en Rome complex op het moment dat Alexios I om militaire hulp vroeg.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,stad van God,De stad van God,referenceHistorique,"Theologische en filosofische verhandeling van Sint-Augustinus, geschreven na de plundering van Rome om het christendom te rechtvaardigen tegen heidense kritiek.",short_form
course_4_le_couronnement_de_charlemagne_800,missi dominici,De missi dominici,concept,"Karolingische ""gezanten van de meester"": koninklijke inspecteurs die in paren werden gestuurd (een bisschop, een leek) om het lokale bestuur te controleren en recht te spreken in naam van de keizer. Sleutelinstrument van de Karolingische regering over een enorm gebied.",short_form
course_5_la_magna_carta_1215,feodale systeem,Het feodale systeem,concept,Middeleeuwse organisatie gebaseerd op persoonlijke banden: de suzerein schenkt land (leengoed) in ruil voor militaire dienst en loyaliteit. Binnen dit contractuele kader werd de Magna Carta (1215) opgesteld: de baronnen herinnerden de koning aan zijn verplichtingen.,short_form
course_5_la_magna_carta_1215,verlies van Normandië,Het verlies van Normandië,evenementConnexe,"Belangrijke gebeurtenis waarbij John Lackland zijn bezittingen verloor aan Filips II Augustus, wat de begrotingscrisis veroorzaakte aan de oorsprong van de Magna Carta (1215).",short_form
course_6_la_peste_noire_en_europe_1347_1353,Joodse pogroms,De Joodse pogroms,evenementConnexe,"Beschuldigd van het vergiftigen van bronnen, werden tijdens de pest tienduizenden Joden afgeslacht in Duitsland en Frankrijk. Paus Clemens VI verdedigde hen, maar er werd weinig gehoord in de verwoeste steden die op zoek waren naar zondebokken.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,kroning in Reims,De kroning in Reims,concept,"Ceremonie waarbij de koning van Frankrijk werd gezalfd met heilige olie, waardoor hij een quasi-heilig karakter kreeg. Alleen een in Reims gekroonde koning was volledig legitiem in de ogen van de Kerk en het volk - vandaar de urgentie voor Jeanne om Karel VII daarheen te leiden.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,Verdrag van Troyes,Het Verdrag van Troyes,evenementConnexe,"Overeenkomst waarbij Karel VI van Frankrijk zijn zoon, de Dauphin Charles, onterft ten gunste van de koning van Engeland, Hendrik V, waardoor een Frans-Engelse dynastieke unie ontstaat.",short_form
course_8_la_chute_de_constantinople_1453,plundering van Constantinopel tijdens de 4e kruistocht (1204),De plundering van Constantinopel tijdens de 4e kruistocht (1204),evenementConnexe,"De kruisvaarders, omgeleid door Venetië, plunderden in 1204 Christelijk Constantinopel gedurende drie dagen. Dit trauma verzwakte Byzantium permanent en verklaart het Byzantijnse wantrouwen jegens het Westen tijdens het beleg van 1453.",short_form
course_8_la_chute_de_constantinople_1453,plundering van Constantinopel tijdens de 4e kruistocht,De plundering van Constantinopel tijdens de 4e kruistocht,evenementConnexe,"De kruisvaarders, omgeleid door Venetië, plunderden in 1204 Christelijk Constantinopel gedurende drie dagen. Dit trauma verzwakte Byzantium permanent en verklaart het Byzantijnse wantrouwen jegens het Westen tijdens het beleg van 1453.",short_form
course_8_la_chute_de_constantinople_1453,plundering van Constantinopel door de 4e kruistocht,plundering van Constantinopel door de 4e kruistocht (1204),evenementConnexe,"De kruisvaarders, omgeleid door Venetië, plunderden in 1204 Christelijk Constantinopel gedurende drie dagen. Dit trauma verzwakte Byzantium permanent en verklaart het Byzantijnse wantrouwen jegens het Westen tijdens het beleg van 1453.",short_form
course_9_l_empire_azteque,kosmogonie van de vijf zonnen,De kosmogonie van de vijf zonnen,concept,Azteekse mythe: het universum is al vier keer geschapen en vernietigd. De huidige vijfde zon wordt alleen in leven gehouden door mensenoffers. Deze kosmologie maakte offers kosmisch noodzakelijk - zonder hen zou de zon stilstaan.,short_form
course_10_la_decouverte_de_l_amerique_1492,Spaanse Reconquista,De Spaanse Reconquista,evenementConnexe,"De triomf van de verovering van Granada maakte middelen vrij en creëerde een momentum van nationale ambitie, wat de steun van Isabella van Castilië aan Columbus verklaart.",short_form
course_10_la_decouverte_de_l_amerique_1492,Verdrag van Tordesillas,Het Verdrag van Tordesillas,evenementConnexe,"Overeenkomst, bemiddeld door de paus, die de wereld in twee invloedssferen verdeelt: Spanje (west) en Portugal (oost).",short_form
course_11_la_prise_de_la_bastille_1789,Ancien Régime en de drie standen,Het Ancien Régime en de drie standen,concept,"De Franse samenleving was verdeeld in drie standen: geestelijken (1e), adel (2e) en derde stand (97% van de bevolking, 3e). Bij de Staten-Generaal had elke stand slechts één stem op drie, ondanks de overweldigende demografische representativiteit van de Derde Stand.",short_form
course_11_la_prise_de_la_bastille_1789,letter de cachet,De letter de cachet,concept,"Koninklijk bevel tot gevangenneming zonder proces of uitleg, ondertekend door de koning. De Bastille symboliseerde deze koninklijke willekeur, ook al telde er in juli 1789 slechts zeven gevangenen - de waarde ervan was puur symbolisch.",short_form
course_11_la_prise_de_la_bastille_1789,grote angst,De grote angst,evenementConnexe,"Een golf van paniek en boerenopstand die zich tussen juli en augustus 1789 over het Franse platteland verspreidde, wat leidde tot de vernietiging van landhuizen.",short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,slag bij Trafalgar (21 oktober 1805),De slag bij Trafalgar (21 oktober 1805),evenementConnexe,"Nelsons beslissende zeeoverwinning op de Frans-Spaanse vloot, dezelfde week als Ulm. Het maakte een einde aan de plannen om Engeland binnen te vallen en verklaart waarom Napoleon de Britse maritieme macht nooit zou kunnen verslaan.",short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,Continentale Systeem,Het Continentale Systeem,concept,"De Napoleontische economische politiek (1806) die alle Europese handel met Engeland verbood, om deze economisch te ruïneren. De onvolmaakte toepassing ervan dwong Napoleon het Iberisch schiereiland en vervolgens Rusland binnen te vallen.",short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,slag bij Trafalgar,De slag bij Trafalgar,evenementConnexe,"Nelsons beslissende zeeoverwinning op de Frans-Spaanse vloot, dezelfde week als Ulm. Het maakte een einde aan de plannen om Engeland binnen te vallen en verklaart waarom Napoleon de Britse maritieme macht nooit zou kunnen verslaan.",short_form
course_14_la_commune_de_paris_1871,De Internationale Arbeidersvereniging,De Internationale Arbeidersvereniging (Eerste Internationale),lieuInstitution,"Organisatie die in 1864 in Londen werd opgericht en vakbonden en arbeiderspartijen uit verschillende landen samenbracht. Hoewel de Commune niet haar directe werk was, vierde Marx haar als de eerste ervaring van arbeidersmacht.",short_form
course_14_la_commune_de_paris_1871,Internationale Arbeidersassociatie,De Internationale Arbeidersassociatie,lieuInstitution,"Organisatie die in 1864 in Londen werd opgericht en vakbonden en arbeiderspartijen uit verschillende landen samenbracht. Hoewel de Commune niet haar directe werk was, vierde Marx haar als de eerste ervaring van arbeidersmacht.",short_form
