Nom du cours,Classification,Terme,Explication
El nacimiento del islam (622),Referencia histórica,El Imperio bizantino y sasánida,"Las dos potencias que rodeaban la península arábiga en el siglo VII. Bizancio (Imperio romano de Oriente) y los sasánidas (imperio persa zoroástrico) se agotaban en una guerra interminable, abriendo el camino a las conquistas árabes."
El nacimiento del islam (622),Concepto,La Umma,"Comunidad de creyentes musulmanes, que trasciende las fronteras tribales. Todos los musulmanes forman un solo cuerpo independientemente de su origen."
El nacimiento del islam (622),Concepto,La yihad,Término árabe que significa literalmente «esfuerzo». Designa el esfuerzo interior para mejorar y la defensa armada de la comunidad.
El llamado de Urbano II y la 1.ª Cruzada (1095),Evento relacionado,El Cisma de 1054,"Ruptura definitiva entre la Iglesia católica romana y la Iglesia ortodoxa, sobre la autoridad papal y la cuestión del Filioque. Este cisma hizo que las relaciones entre Bizancio y Roma fueran complejas en el momento en que Alejo I Comneno solicitaba ayuda militar."
El llamado de Urbano II y la 1.ª Cruzada (1095),Personaje,Alejo I Comneno,Emperador bizantino que envió una embajada al papa Urbano II para pedir mercenarios contra los turcos selyúcidas. Su modesta petición desencadenó involuntariamente la movilización masiva de la primera cruzada.
El llamado de Urbano II y la 1.ª Cruzada (1095),Concepto,La indulgencia plenaria,"Remisión total de las penas debidas por los pecados, concedida por el papa. Urbano II prometió una a todos los participantes en la cruzada - un poderoso motor de movilización en una sociedad profundamente religiosa."
La toma de Roma por los visigodos (410),Referencia histórica,Los hunos,"Pueblo nómada de Asia Central que irrumpió en Europa hacia el 370, empujando a los godos y otros pueblos germánicos a cruzar las fronteras romanas para huir. Su líder Atila asolará Europa en los años 450."
La toma de Roma por los visigodos (410),Concepto,El foedus romano,"Tratado por el cual Roma autorizaba a un pueblo Bárbaro a instalarse en su territorio a cambio de un servicio militar. Los visigodos obtuvieron un foedus en 382, pero Roma no lo respetó, lo que explica la revuelta de Alarico."
La toma de Roma por los visigodos (410),Evento relacionado,La división del Imperio en 395,"A la muerte de Teodosio I, el Imperio fue repartido entre sus dos hijos: Honorio al Oeste (capital Rávena) y Arcadio al Este (Constantinopla). Esta división permanente debilitó la respuesta a las invasiones."
La coronación de Carlomagno (800),Concepto,El Sacro Imperio Romano Germánico,"Entidad política nacida de la coronación de Carlomagno, que pretendía encarnar la continuidad del Imperio romano en Occidente bajo autoridad cristiana. Perdudaría hasta 1806 y estructuraría el espacio germánico durante mil años."
La coronación de Carlomagno (800),Concepto,Los missi dominici,"«Enviados del señor» carolingios: inspectores reales enviados por parejas (un obispo, un laico) para controlar la administración local y administrar justicia en nombre del emperador. Instrumento clave del gobierno carolingio sobre un territorio inmenso."
La coronación de Carlomagno (800),Personaje,Alcuino de York,"Sabio inglés que Carlomagno hizo venir para dirigir la escuela palatina de Aquisgrán. Supervisó la reforma de la escritura y de la enseñanza, formando a una generación de administradores cultos que mantuvieron el imperio."
