courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Quem é o autor de Les Fleurs du Mal?,"Charles Baudelaire publicou Les Fleurs du Mal em 1857, a certidão de nascimento da poesia moderna.","[""Carlos Baudelaire"", ""Paulo Verlaine"", ""Stéphane Mallarmé"", ""Artur Rimbaud""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Por que Les Fleurs du Mal foram condenados em 1857?,"A coleção foi condenada por “ultraje à moral pública”, escândalo que só seria oficialmente levantado em 1949.","[""Por “indignação à moral pública”"", ""Por plágio"", ""Por incitar a violência política"", ""Por colocar em risco a segurança do Estado""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,Em que ano os seis poemas condenados de Les Fleurs du Mal foram oficialmente reabilitados?,"Os seis poemas condenados em 1857 só foram oficialmente reabilitados em 1949, 92 anos depois.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,O que o albatroz representa na seção “Baço e Ideal”?,"O albatroz, majestoso em voo, mas ridículo quando colocado no chão, representa o poeta num mundo que não o compreende.","[""O poeta, majestoso em vôo, mas ridículo no chão"", ""Liberdade total do artista"", ""A morte inevitável"", ""Beleza inatingível""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Qual seção da coleção faz de Paris uma paisagem psicológica?,"“Pinturas Parisienses” transforma a cidade numa paisagem psicológica. O poeta vagueia por lá como um caminhante, um observador da vida parisiense sob Haussmann.","[""“Pinturas parisienses”"", ""“Baço e Ideal”"", ""“O Vinho”"", ""\""Morte\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"Qual poema descreve a natureza como um “templo” de signos que ligam aromas, cores e sons?","“Correspondências” descreve a natureza como um templo de sinais. Os sentidos ali se misturam: perfumes, cores e sons respondem uns aos outros.","[""\""Correspondência\"""", ""“O Albatroz”"", ""\""Baço\"""", ""\""Coleção\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,Verdadeiro ou falso: Baudelaire rejeita inteiramente formas poéticas clássicas como o soneto.,"Baudelaire, pelo contrário, liga a forma clássica, como o soneto e o alexandrino, a uma visão poética radicalmente nova.","[""Verdadeiro"", ""Falso""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Que movimento poético encontrou a poética da correspondência de Baudelaire, posteriormente levada a cabo por Verlaine e Mallarmé?","Essa poética das correspondências fundou o simbolismo, posteriormente levado a cabo por Verlaine e Mallarmé.","[""O simbolismo"", ""Romantismo"", ""Naturalismo"", ""Classicismo""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Que escritor americano, descrito como “irmão de alma”, Baudelaire traduziu?","Baudelaire traduziu Edgar Poe, a quem considerava um “irmão de alma” que partilhava do gosto pelo macabro.","[""Edgar Allan Poe"", ""Herman Melville"", ""Nathaniel Hawthorne"", ""Walt Whitman""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Como Baudelaire resume sua alquimia poética de extrair beleza da lama?,Baudelaire resume seu projeto com esta fórmula: “Você me deu sua lama e com ela fiz ouro”.,"[""“Você me deu sua lama e eu fiz ouro com ela”"", ""“A beleza é eterna”"", ""“O mal gera o mal”"", ""“Arte pela arte”""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,Qual é o verdadeiro nome de George Orwell?,George Orwell é o pseudônimo de Eric Arthur Blair.,"[""Eric Arthur Blair"", ""George Bernard Shaw"", ""Aldous Huxley"", ""Herbert George Wells""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,Que conflito Orwell lutou antes de escrever 1984?,"Orwell lutou em 1936-1937 nas milícias do POUM durante a Guerra Civil Espanhola, onde foi ferido.","[""A Guerra Civil Espanhola"", ""A Primeira Guerra Mundial"", ""A Guerra dos Bôeres"", ""A Guerra da Argélia""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q3,mcq,"O que mais impressionou Orwell durante esta experiência, além da violência?","O que mais impressiona Orwell é ver os jornais reescreverem o passado e apagarem os combatentes, uma obsessão pelas mentiras do Estado que alimenta o romance.","[""A falsificação dos fatos e do passado através da propaganda"", ""Falta de comida"", ""A traição de seus camaradas"", ""Censura da imprensa estrangeira""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q4,mcq,Que verdadeiro regime totalitário inspira o sistema da Oceânia?,O sistema da Oceânia é particularmente inspirado no totalitarismo soviético como modelo.,"[""Totalitarismo soviético"", ""Fascismo italiano"", ""O regime de Vichy"", ""O Império Britânico""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q5,mcq,Qual é o nome do partido único que governa a Oceania?,"A Oceania é dirigida pelo Ingsoc, que se baseia em quatro ministérios paradoxais: Paz, Abundância, Amor e Verdade.","[""Ingsoc"", ""O Partido Popular"", ""A Liga Vermelha"", ""O Bloco Central""]",0,,,,,,
