courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_5_la_magna_carta_1215,1204 г.,Загубата на Нормандия (1204 г.),evenementConnexe,"Голямо събитие, при което Джон Лакланд губи владенията си от Филип II Август, провокирайки фискалната криза в началото на Магна Харта (1215 г.).",short_form
course_5_la_magna_carta_1215,загуба на Нормандия,загуба на Нормандия (1204 г.),evenementConnexe,"Голямо събитие, при което Джон Лакланд губи владенията си от Филип II Август, провокирайки фискалната криза в началото на Магна Харта (1215 г.).",short_form
course_6_la_peste_noire_en_europe_1347_1353,Еврейски погроми,Еврейски погроми (1348-1349),evenementConnexe,"Обвинени в отравяне на кладенци, десетки хиляди евреи са избити в Германия и Франция по време на чумата. Папа Климент VI ги защити, но беше малко чут в опустошените градове, търсещи изкупителни жертви.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,1420 г.,Договорът от Троа (1420 г.),evenementConnexe,"Споразумение, с което Карл VI от Франция лишава от наследство сина си, дофина Чарлз, в полза на краля на Англия Хенри V, създавайки френско-английски династичен съюз.",short_form
course_8_la_chute_de_constantinople_1453,1204 г.,Разграбването на Константинопол от 4-ия кръстоносен поход (1204 г.),evenementConnexe,"Кръстоносците, отклонени от Венеция, плячкосват християнския Константинопол за три дни през 1204 г. Тази травма трайно отслабва Византия и обяснява византийското недоверие към Запада по време на обсадата от 1453 г.",short_form
course_8_la_chute_de_constantinople_1453,разграбване на Константинопол от 4-ия кръстоносен поход,разграбване на Константинопол от 4-ия кръстоносен поход (1204 г.),evenementConnexe,"Кръстоносците, отклонени от Венеция, плячкосват християнския Константинопол за три дни през 1204 г. Тази травма трайно отслабва Византия и обяснява византийското недоверие към Запада по време на обсадата от 1453 г.",short_form
course_10_la_decouverte_de_l_amerique_1492,1494 г.,Договорът от Тордесилас (1494 г.),evenementConnexe,"Споразумение, арбитражирано от папата, разделящо света на две сфери на влияние между Испания (запад) и Португалия (изток).",short_form
course_10_la_decouverte_de_l_amerique_1492,Испанска Реконкиста,Испанска Реконкиста (1492),evenementConnexe,"Триумфът от превземането на Гранада освободи ресурси и създаде импулс на национална амбиция, което обяснява подкрепата на Изабела от Кастилия за Колумб.",short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,21 октомври 1805 г.,Битката при Трафалгар (21 октомври 1805 г.),evenementConnexe,"Решителната морска победа на Нелсън над френско-испанския флот, същата седмица като Улм. Той слага край на плановете за нахлуване в Англия и обяснява защо Наполеон никога не може да победи британската морска сила.",short_form
course_14_la_commune_de_paris_1871,Първи интернационал,Международната асоциация на работниците (Първи интернационал),lieuInstitution,"Организация, основана в Лондон през 1864 г., обединяваща профсъюзи и работнически партии от няколко страни. Въпреки че Комуната не е нейно пряко дело, Маркс я празнува като първото преживяване на властта на работниците.",short_form
course_19_la_bataille_de_stalingrad_1942_1943,22 юни 1941 г.,Операция Барбароса (22 юни 1941 г.),evenementConnexe,Нахлуването на СССР от Германия: 3 милиона войници на фронт от 3000 км - най-голямата военна операция в историята. Неуспехът да превземе Москва през 1941 г. принуди Хитлер да пренасочи усилията си към юга и кавказкия нефт през 1942 г.,short_form
course_20_hiroshima_et_nagasaki_1945,9 август 1945 г.,Съветското нахлуване в Манджурия (9 август 1945 г.),evenementConnexe,"Сталин обявява война на Япония точно в деня на бомбата в Нагасаки, нахлувайки в Манджурия. Някои историци смятат, че тази съветска заплаха е била толкова решаваща, колкото и бомбите в решението на Япония да се предаде.",short_form
