courseId,id,type,question,explanation,options_json,correctIndex,items_json,correctValue,sliderMin,sliderMax,tolerance,unit
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q1,mcq,Кто автор «Цвета зла»?,"Шарль Бодлер опубликовал «Цветы зла» в 1857 году, свидетельство о рождении современной поэзии.","[""Шарль Бодлер"", ""Поль Верлен"", ""Стефан Малларме"", ""Артюр Рембо""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q2,mcq,Почему в 1857 году были осуждены «Цветы зла»?,"Коллекция была осуждена за «оскорбление общественной морали», скандал, который официально не был снят до 1949 года.","[""За «оскорбление общественной морали»"", ""За плагиат"", ""За подстрекательство к политическому насилию"", ""За создание угрозы государственной безопасности""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q3,numericSlider,В каком году шесть осужденных стихотворений из «Цвета Маль» были официально реабилитированы?,"Шесть стихотворений, осужденных в 1857 году, не были официально реабилитированы до 1949 года, 92 года спустя.",,,,1949.0,1920.0,1970.0,5.0,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q4,mcq,Что символизирует альбатрос в разделе «Селезенка и идеал»?,"Альбатрос, величественный в полете, но смешной, оказавшись на земле, представляет поэта в мире, который его не понимает.","[""Поэт, величественный в полете, но нелепый на земле."", ""Полная свобода художника"", ""Неизбежная смерть"", ""Недосягаемая красота""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q5,mcq,Какой раздел коллекции делает Париж психологическим ландшафтом?,"«Парижские картины» превращают город в психологический пейзаж. Поэт бродит там как гуляющий, наблюдатель парижской жизни при Османе.","[""«Парижские картины»"", ""«Селезенка и идеал»"", ""«Вино»"", ""\""Смерть\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q6,mcq,"В каком стихотворении природа описывается как «храм» знаков, связывающих запахи, цвета и звуки?","«Переписки» описывают природу как храм знаков. Здесь смешиваются чувства: ароматы, цвета и звуки откликаются друг на друга.","[""«Переписка»"", ""«Альбатрос»"", ""«Селезенка»"", ""\""Коллекция\""""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q7,trueFalse,"Правда или ложь: Бодлер полностью отвергает классические поэтические формы, такие как сонет.","Бодлер, напротив, связывает классические формы, такие как сонет и александрийский текст, с радикально новым поэтическим видением.","[""Верно"", ""Неверно""]",1,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q8,mcq,"Какое поэтическое направление обнаружила поэтика переписки Бодлера, которую впоследствии несли Верлен и Малларме?","Эта поэтика соответствий положила начало символизму, который впоследствии несли Верлен и Малларме.","[""Символика"", ""Романтизм"", ""Натурализм"", ""Классицизм""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q9,mcq,"Какого американского писателя, которого называют «братом по душе», перевел Бодлер?","Бодлер перевел Эдгара По, которого считал «братом по душе», разделявшим его вкус к жуткому.","[""Эдгар Аллан По"", ""Герман Мелвилл"", ""Натаниэль Хоторн"", ""Уолт Уитмен""]",0,,,,,,
course_100_les_fleurs_du_mal_baudelaire,course_100_les_fleurs_du_mal_baudelaire_q10,mcq,Как Бодлер резюмирует свою поэтическую алхимию извлечения красоты из грязи?,"Бодлер резюмирует свой проект такой формулой: «Вы дали мне свою грязь, и я сделал из нее золото».","[""«Ты дал мне свою грязь, и я сделал из нее золото»"", ""«Красота вечна»"", ""«Зло порождает зло»"", ""«Искусство ради искусства»""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q1,mcq,Какое настоящее имя Джорджа Оруэлла?,Джордж Оруэлл — псевдоним Эрика Артура Блэра.,"[""Эрик Артур Блэр"", ""Джордж Бернард Шоу"", ""Олдос Хаксли"", ""Герберт Джордж Уэллс""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q2,mcq,"В каком конфликте боролся Оруэлл перед тем, как написать «1984»?","Оруэлл воевал в 1936–1937 годах в составе ополчения ПОУМ во время гражданской войны в Испании, где был ранен.","[""Гражданская война в Испании"", ""Первая мировая война"", ""Англо-бурская война"", ""Алжирская война""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q3,mcq,"Что больше всего поразило Оруэлла во время этого опыта, помимо насилия?","Что больше всего поражает Оруэлла, так это то, как газеты переписывают прошлое и стирают информацию о комбатантах, а также одержимость государственной ложью, которая подпитывает роман.","[""Фальсификация фактов и прошлого посредством пропаганды"", ""Недостаток еды"", ""Предательство своих товарищей"", ""Цензура иностранной прессы""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q4,mcq,Какой настоящий тоталитарный режим вдохновляет систему Океании?,Система Океании особенно вдохновлена советским тоталитаризмом как моделью.,"[""Советский тоталитаризм"", ""Итальянский фашизм"", ""Режим Виши"", ""Британская империя""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q5,mcq,"Как называется единственная партия, которая управляет Океанией?","Океанией управляет Ангсоц, в основе которого лежат четыре парадоксальных министерства: Мира, Изобилия, Любви и Истины.","[""Ангсоц"", ""Народная партия"", ""Красная Лига"", ""Центральный блок""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q6,mcq,Чем занимается Уинстон Смит на работе в Министерстве правды?,"Уинстон Смит работает в Министерстве правды, где стирает прошлое, чтобы оно соответствовало партийному настоящему.","[""Он стирает и переписывает прошлое, чтобы оно соответствовало настоящему партии."", ""Он следит за гражданами через телеэкраны"", ""Он пишет речи Большого Брата"", ""Он обучает новых членов партии.""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q7,mcq,"Как вы называете способность принять две противоречивые истины одновременно, в 1984 году?","Двоемыслие означает способность принимать две противоречивые истины одновременно, что является основой партийного контроля над разумом.","[""Двоемыслие"", ""Новояз"", ""Телекран"", ""Ангсоц""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q8,mcq,Почему партия сокращает словарный запас посредством новояза?,"Новояз сокращает доступный словарный запас, делая невозможным формулирование критического мышления.","[""Сделать критическое мышление невозможным"", ""Для упрощения администрирования"", ""Чтобы облегчить международную торговлю"", ""Объединить региональные диалекты""]",0,,,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q9,chronological,Приведите в порядок эти этапы жизни и творчества Оруэлла.,"Эти четыре этапа отмечают карьеру Оруэлла: Гражданская война в Испании (1936-1937), Скотный двор (1945), 1984 (1949), а затем его смерть в 1950 году.",,,"[""Оруэлл воевал в ополчении ПОУМ во время гражданской войны в Испании."", ""Он издает «Скотный двор»."", ""Он опубликовал в 1984 г."", ""Он умер в Шотландии вскоре после публикации своего романа.""]",,,,,
course_101_1984_george_orwell,course_101_1984_george_orwell_q10,trueFalse,Правда или ложь: в конце романа Уинстон Смит влюбляется в Большого Брата.,"Тоталитаризм побеждает на психологическом уровне: Уинстон не только подчиняется, но и полюбит Большого Брата.","[""Верно"", ""Неверно""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q1,mcq,Какое историческое событие в аллегории изображено в «Скотном дворе»?,Оруэлл переносит основные этапы русской революции и сталинского предательства в басню о животных.,"[""Русская революция"", ""Французская революция"", ""Гражданская война в Испании"", ""Английская промышленная революция""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q2,mcq,Какое животное изображает Сталин в аллегории Оруэлла?,"Наполеон, свинья, силой захватившая власть после погони за Снежком, моделирует фигуру Сталина.","[""Наполеон"", ""Старый майор"", ""Снежок"", ""Малабар""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q3,trueFalse,"Правда или ложь: Издатель Т.С. Элиот отказался публиковать рукопись Оруэлла, опасаясь, что умные свиньи оскорбят государственных деятелей.","Т.С. Элиот, тогдашний редактор, фактически отклонил рукопись именно по этой причине.","[""Верно"", ""Неверно""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q4,mcq,Что олицетворяют собаки Наполеона в аллегории?,"Собаки, обученные Наполеоном преследовать Снежка и терроризировать ферму, представляют собой советскую тайную полицию.","[""Тайная полиция"", ""Регулярная царская армия"", ""Восставшие крестьяне"", ""Официальные журналисты""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q5,mcq,Какое животное олицетворяет эксплуатируемый до изнеможения пролетариат?,"Малабар, преданная и неутомимая рабочая лошадка, символизирует пролетариат, который работает, никогда не подвергая сомнению власть.","[""Малабар, трудолюбивая лошадь"", ""Брилль-Бабиль, пропагандист"", ""Старый майор"", ""Снежок""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q6,chronological,Расположите эти шаги из «Скотного двора» по порядку.,Эта последовательность показывает постепенный переход от эгалитарной революции к диктатуре свиней.,,,"[""Животные преследуют фермера Джонса"", ""Наполеон гонится за Снежком со своими собаками"", ""Свиньи тайно меняют семь заповедей"", ""Свиньи начинают ходить на двух ногах""]",,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q7,mcq,Какая финальная формула в конце романа подводит итог предательству эгалитарного идеала?,"Эта парадоксальная формула, начертанная на стене сарая, показывает, что провозглашенное равенство лишилось своего смысла.","[""«Все животные равны, но некоторые животные равнее других»"", ""«Свиньи должны служить другим животным»"", ""«Наполеон всегда прав»"", ""«Мельница будет нашим спасением»""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q8,trueFalse,Правда или ложь: в конце романа остальные животные уже не способны отличить свиней от людей.,"Свиньи ходят на двух ногах, одеваются и пируют с фермерами, полностью стирая грань между ними.","[""Верно"", ""Неверно""]",0,,,,,,
course_102_la_ferme_des_animaux_george_orwell,course_102_la_ferme_des_animaux_george_orwell_q9,numericSlider,"Сколько примерно слов в «Скотном дворе», намеренно очень коротком тексте?","Оруэлл излагает свою аллегорию всего в 30 000 слов, что усиливает эффективность басни.",,,,30000.0,15000.0,50000.0,5000.0,слова
course_103_hamlet_shakespeare,course_103_hamlet_shakespeare_q1,mcq,"Кто убивает короля Дании, отца Гамлета?","Клавдий убивает своего брата-короля, затем женится на королеве Гертруде и занимает трон.","[""Клавдий"", ""Полоний"", ""Лаэрт"", ""Фортинбрас""]",0,,,,,,
course_103_hamlet_shakespeare,course_103_hamlet_shakespeare_q2,mcq,Кто расскажет Гамлету об убийстве его отца?,"Призрак умершего короля является Гамлету, чтобы раскрыть преступление Клавдия.","[""Призрак его отца"", ""Его мать Гертруда"", ""Офелия"", ""Горацио""]",0,,,,,,
