courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_5_la_magna_carta_1215,pierderea Normandiei,pierderea Normandiei (1204),evenementConnexe,"Eveniment major în care John Lackland și-a pierdut posesiunile în fața lui Filip al II-lea Augustus, provocând criza fiscală la originea Magna Carta (1215).",short_form
course_8_la_chute_de_constantinople_1453,jefuirea Constantinopolului de către Cruciada a IV-a,jefuirea Constantinopolului de către Cruciada a IV-a (1204),evenementConnexe,"Cruciații, deturnați de Veneția, au jefuit Constantinopolul creștin timp de trei zile în 1204. Această traumă a slăbit permanent Bizanțul și explică neîncrederea bizantină față de Occident în timpul asediului din 1453.",short_form
course_8_la_chute_de_constantinople_1453,Sacrul Constantinopolului de către Cruciada a 4-a,Sacrul Constantinopolului de către Cruciada a 4-a (1204),evenementConnexe,"Cruciații, deturnați de Veneția, au jefuit Constantinopolul creștin timp de trei zile în 1204. Această traumă a slăbit permanent Bizanțul și explică neîncrederea bizantină față de Occident în timpul asediului din 1453.",short_form
course_20_hiroshima_et_nagasaki_1945,Boala de radiații,Boala de radiații (sindromul acut de radiații),concept,"Un sindrom cauzat de expunerea la radiații: greață, căderea părului, hemoragie internă, insuficiență imunitară. Zeci de mii de supraviețuitori au murit în săptămânile următoare din cauza acestei boli, care atunci era necunoscută medicilor.",short_form
course_22_la_crise_des_missiles_de_cuba_1962,MAD,Distrugere reciprocă asigurată (MAD),concept,"Doctrina nucleară care afirmă că nici Statele Unite, nici URSS nu ar putea supraviețui unui război nuclear. Această logică a terorii echilibrate a descurajat pe toată lumea să atace și să structureze întreaga dinamică a crizei cubaneze.",short_form
course_22_la_crise_des_missiles_de_cuba_1962,Distrugere reciprocă asigurată,Distrugere reciprocă asigurată (MAD),concept,"Doctrina nucleară care afirmă că nici Statele Unite, nici URSS nu ar putea supraviețui unui război nuclear. Această logică a terorii echilibrate a descurajat pe toată lumea să atace și să structureze întreaga dinamică a crizei cubaneze.",short_form
course_23_la_guerre_d_algerie_1954_1962,Putchul generalilor,Putchul generalilor (aprilie 1961),evenementConnexe,"Tentativa de lovitură de stat a patru generali care s-au opus independenței. De Gaulle a zdrobit-o în patru zile datorită unui discurs la radio. A fost urmată de crearea OAS, o organizație teroristă pro-franceză din Algeria.",short_form
course_25_le_genocide_armenien_1915_1916,Masacrele Hamidiene,Masacrele Hamidiene (1894-1896),evenementConnexe,"Primul val de masacre armenești sub sultanul Abdul Hamid al II-lea, provocând între 100.000 și 300.000 de morți. Acest precedent nesancționat a arătat viitoarelor autorități otomane că astfel de crime ar putea rămâne nepedepsite.",short_form
course_26_la_creation_de_l_onu_1945,Conferința de la Yalta,Conferința de la Yalta (februarie 1945),evenementConnexe,"Întâlnire între Roosevelt, Churchill și Stalin care pune bazele ordinii mondiale postbelice: împărțirea Europei în zone de influență, condițiile intrării sovietice împotriva Japoniei, structura ONU care urmează să fie creată.",short_form
course_26_la_creation_de_l_onu_1945,CIJ,Curtea Internațională de Justiție (CIJ),lieuInstitution,"Organul judiciar al ONU cu sediul la Haga, care soluționează litigiile dintre state. Spre deosebire de CPI (care judecă indivizii), aceasta judecă statele. Deciziile sale sunt obligatorii, dar nu are niciun mecanism de executare.",short_form
