# Historia
"ID",Matière,Sous-catégorie,Titre,QCM1 — Question,QCM1 — ✅ Bonne réponse,QCM1 — ❌ Mauvaise 1,QCM1 — ❌ Mauvaise 2,QCM1 — ❌ Mauvaise 3,QCM1 — Explication,QCM2 — Question,QCM2 — ✅ Bonne réponse,QCM2 — ❌ Mauvaise 1,QCM2 — ❌ Mauvaise 2,QCM2 — ❌ Mauvaise 3,QCM2 — Explication,QCM3 — Question,QCM3 — ✅ Bonne réponse,QCM3 — ❌ Mauvaise 1,QCM3 — ❌ Mauvaise 2,QCM3 — ❌ Mauvaise 3,QCM3 — Explication,QCM4 — Question,QCM4 — ✅ Bonne réponse,QCM4 — ❌ Mauvaise 1,QCM4 — ❌ Mauvaise 2,QCM4 — ❌ Mauvaise 3,QCM4 — Explication,QCM5 — Question,QCM5 — ✅ Bonne réponse,QCM5 — ❌ Mauvaise 1,QCM5 — ❌ Mauvaise 2,QCM5 — ❌ Mauvaise 3,QCM5 — Explication
1,Historia,Antigüedad y Edad Media,El nacimiento del islam (622),¿Qué representa la Hégira (622) en la historia y el calendario islámicos?,"La salida de Mahoma de La Meca hacia Medina, marcando el año 1 del calendario.",El nacimiento de Mahoma en La Meca.,La victoria final de Mahoma y la destrucción de los ídolos de la Kaaba.,La primera revelación recibida por Mahoma en la cueva de Hira.,"La Hégira designa la emigración de la comunidad musulmana hacia Medina en 622, evento fundador elegido como punto de partida de la era islámica.",¿Cuál era el papel de la Kaaba antes de la conquista de La Meca por los musulmanes?,Un santuario politeísta que albergaba cientos de ídolos tribales.,Una iglesia bizantina dedicada a la Virgen María.,Un simple almacén de mercancías para las caravanas de los Quraysh.,La sede oficial del gobierno del Imperio sasánida en Arabia.,"Antes del islam, la Kaaba era el centro de un culto politeísta donde las tribus árabes depositaban sus ídolos y realizaban peregrinaciones lucrativas.",¿Cuál fue la estrategia política de Mahoma durante la toma de La Meca en 630?,Un perdón general concedido a sus antiguos perseguidores a pesar de su ejército de 10 000 hombres.,La ejecución sistemática de todos los miembros de la tribu de los Quraysh.,La destrucción total de la ciudad para reconstruir una nueva capital.,El exilio forzado de todos los habitantes que se negaran a convertirse inmediatamente.,"Mahoma optó por la clemencia política al pronunciar un perdón general, lo que facilitó la adhesión masiva de las tribus árabes al islam.",¿Qué es la Constitución de Medina redactada por Mahoma?,"Un edicto que organizaba la coexistencia entre los clanes musulmanes, judíos y politeístas.",La primera recopilación escrita de los versículos del Corán.,Un manual de tácticas militares para las razias.,Un tratado de paz firmado entre Arabia y el Imperio bizantino.,"Redactada poco después de la Hégira, define los derechos y deberes de los diferentes grupos del oasis, creando el Concepto de Umma.",¿Qué estatus jurídico permitía a los no musulmanes monoteístas practicar su fe?,"La Dhimma, mediante el pago del impuesto de la jizya.","La Hégira, que imponía la conversión inmediata bajo pena de muerte.","La yihad, que garantizaba la igualdad fiscal absoluta entre todos.","La razzia, que protegía los bienes de los ciudadanos romanos de Oriente.",La Dhimma es el estatus de 'protegido' que autorizaba a la 'Gente del Libro' a conservar su culto a cambio de un impuesto de protección llamado jizya.
2,Historia,Antigüedad y Edad Media,El llamado de Urbano II y la 1.ª Cruzada (1095),¿Qué batalla de 1071 provoca la amenaza selyúcida sobre el Imperio bizantino?,La Batalla de Mantzikert,La batalla de Lepanto,La batalla de Hattin,La batalla de Antioquía,"En 1071, los turcos selyúcidas aplastan a los bizantinos en Mantzikert, lo que empuja al emperador Alejo I Comneno a pedir ayuda al papa.",¿Qué recompensa espiritual promete Urbano II a quienes parten a la cruzada?,La indulgencia plenaria,La canonización inmediata,El título de caballero del Temple,El nombramiento como obispo,"La indulgencia plenaria prometía a los cruzados la remisión total de las penas temporales debidas por sus pecados, un inmenso motor espiritual en la época.",¿Qué grito lanza la multitud espontáneamente durante el discurso de Clermont?,«¡Dios lo quiere!»,«¡Por la cruz!»,«¡Muerte a los turcos!»,«¡Roma lo ordena!»,El grito 'Deus vult' (Dios lo quiere) se convirtió en el eslogan de unión de los cruzados tras el llamado de Urbano II en 1095.,¿Quién dirigía la 'Cruzada de los pobres' que precedió a la de los señores?,Pedro el Ermitaño,Godofredo de Bouillón,Bohemundo de Tarento,Balduino de Boulogne,Pedro el Ermitaño era un predicador popular que lideró a una multitud desorganizada de gente del pueblo antes de la partida de la nobleza militar.,¿Qué título elige Godofredo de Bouillón tras la toma de Jerusalén en 1099?,Protector del Santo Sepulcro,Rey de Jerusalén,Califa de Oriente,Emperador latino,"Por humildad cristiana, Godofredo rechazó el título de rey en la ciudad donde Cristo había muerto, prefiriendo un título de protector laico de la iglesia."
3,Historia,Antigüedad y Edad Media,La toma de Roma por los visigodos (410),¿Cuánto tiempo hacía que Roma no era tomada por un enemigo durante el saqueo de 410?,800 años,100 años,300 años,1 200 años,"La última toma de Roma se remontaba a la invasión de los galos de Brenno en 390 a. C., es decir, unos 800 años de sanctuarización de la ciudad.",¿Por qué Alarico ordena respetar las basílicas cristianas durante el saqueo?,Porque él mismo es cristiano de confesión ariana,Porque teme la maldición de los dioses romanos,Porque ha firmado un acuerdo secreto con el emperador Honorio,Porque sus soldados son mayoritariamente católicos,"Alarico y los visigodos eran cristianos arianos (una rama considerada entonces herética por Roma pero cristiana), lo que explica su respeto por los lugares de culto.",¿Qué gran Obra redacta San Agustín para responder a las críticas paganas después de 410?,«La ciudad de Dios»,«Las Confesiones»,«La Regla de San Benito»,«El Discurso sobre la caída de Occidente»,"En esta obra, Agustín explica que la caída del poder terrenal (Roma) no conlleva la de la fe cristiana (la ciudad celestial).",¿Dónde se encontraba la capital administrativa de Occidente en el momento del saqueo de 410?,Rávena,Roma,Milán,Constantinopla,"El emperador Honorio había elegido Rávena en 402 por su seguridad, abandonando Roma que ya no era más que una capital simbólica.",¿Qué Evento marca oficialmente el fin del Imperio romano de Occidente en 476?,La deposición de Rómulo Augústulo por Odoacro,La muerte de Alarico en Calabria,El saqueo destructor de los Vándalos,La invasión de los hunos de Atila,"En 476, Odoacro depone al último emperador y envía las insignias a Constantinopla, marcando el fin de la autoridad imperial en Occidente."
4,Historia,Antigüedad y Edad Media,La coronación de Carlomagno (800),¿Cuál fue la principal característica de la guerra contra los sajones llevada a cabo por Carlomagno?,Una lucha de treinta años que mezcló represión militar y conversión religiosa forzada,Una serie de emboscadas defensivas para proteger los Pirineos,Una alianza diplomática destinada a integrar pacíficamente a los pueblos germánicos,Una cruzada relámpago de tres años apoyada por el Imperio bizantino,La guerra contra los sajones duró de 772 a 804 y estuvo marcada por una voluntad de unificación política y religiosa bajo coacción.,¿Cuál fue el papel principal de Alcuino de York dentro del Imperio carolingio?,Dirigir la escuela palatina e impulsar un Renacimiento cultural y educativo,Comandar los ejércitos imperiales durante la batalla de Roncesvalles,Negociar las cláusulas territoriales del futuro tratado de Verdún,Servir como embajador permanente ante el emperador de Constantinopla,"Alcuino era el principal sabio de la corte, responsable de la reforma de la enseñanza y de la preservación de los textos antiguos.",¿Por qué la coronación de 800 pudo disgustar a Carlomagno según algunas fuentes?,El gesto del papa parecía situar el poder de la Iglesia por encima del del soberano,Temía que el oro de la corona fuera percibido como un gasto inútil,No deseaba ostentar un título asociado a la antigua Roma pagana,La consagración le obligaba contractualmente a ceder sus tierras a los Lombardo,"Al colocar la corona, el Papa afirmaba su papel de distribuidor del poder, creando un precedente de superioridad de lo espiritual sobre lo temporal.",¿Qué innovación gráfica de la época carolingia utilizamos todavía hoy?,"La escritura carolina, antepasado de nuestras letras minúsculas",Los números romanos en su forma cursiva simplificada,El sistema de navegación musical en un pentagrama de cinco líneas,Los caracteres góticos utilizados para los actos administrativos,"La escritura carolina fue creada para uniformar los textos administrativos y religiosos, convirtiéndose en la base de la tipografía moderna.",¿Qué consecuencia mayor se deriva del tratado de Verdún en 843?,"La división del imperio en tres reinos, prefigurando Francia y Alemania",La unificación definitiva de Europa bajo una moneda única,El fin de las incursiones vikingas gracias a una defensa Común reforzada,El traslado de la capital imperial de Aquisgrán a Roma,"El tratado de Verdún certifica el nacimiento de la Francia occidentalis y de la Francia orientalis, antepasados respectivos de Francia y Alemania."
5,Historia,Antigüedad y Edad Media,La Magna Carta (1215),¿Qué provincia francesa pierde Juan sin Tierra frente a Felipe II Augusto en 1204?,Normandía,Aquitania,Bretaña,Gascuña,La pérdida de Normandía en 1204 es el Evento desencadenante de la crisis financiera y política que llevará a la revuelta de los barones.,¿Dónde pone Juan sin Tierra su sello en la Magna Carta el 15 de junio de 1215?,"En Runnymede, una pradera a orillas del Támesis","En Westminster, en la gran sala del palacio real","En Canterbury, en presencia del arzobispo Langton","En Londres, tras la toma de la ciudad por los barones rebeldes",Runnymede fue elegido como terreno neutro entre el castillo real de Windsor y el campamento de los rebeldes.,"¿Qué estipula la cláusula 39 de la Magna Carta, una de las más importantes?",La prohibición de encarcelar a un hombre libre sin un juicio legal de sus pares,La abolición inmediata de la servidumbre en todo el reino,La libertad total de culto para todas las religiones,El derecho de voto universal para todos los súbditos ingleses,La cláusula 39 establece el principio del 'due process': nadie puede ser condenado o desposeído sin un juicio justo de acuerdo con la Ley.,¿Qué destino inmediato tuvo la Magna Carta tras su firma en 1215?,Es anulada por el papa Inocencio III desde el mes de agosto,Es aplicada rigurosamente durante todo el reinado de Juan,Es quemada por los barones insatisfechos al día siguiente,Se convierte en la base de la primera República inglesa,"Juan sin Tierra denunció el texto en cuanto pudo, obteniendo su anulación por el papado, lo que provocó la Guerra de los Barones.",¿Por qué el reinado de Enrique III (sucesor de Juan) es crucial para la Carta?,"La vuelve a emitir y la confirma, anclándola de forma duradera en el derecho",Decide suprimirla definitivamente,La utiliza para declarar la guerra a Francia,Redacta una versión en inglés para el pueblo,"Al volver a emitir la Carta para estabilizar su poder, el joven Enrique III la convierte en una referencia legislativa permanente en lugar de un simple tratado de paz efímero."
6,Historia,Antigüedad y Edad Media,La Peste Negra en Europa (1347-1353),¿Por qué puerto entra oficialmente la Peste Negra en Europa en octubre de 1347?,Mesina (Sicilia),Marsella (Francia),Venecia (Italia),Génova (Italia),"La epidemia llega a través de doce galeras genovesas procedentes de Crimea que atracan en Mesina en octubre de 1347, marcando el inicio de la propagación europea.",¿Qué Evento climático favoreció la alta mortalidad antes de la llegada del bacilo?,La Pequeña Edad de Hielo,Una ola de calor ariana,Un seísmo mayor en Italia,Un tornado gigante sobre Mesina,"El enfriamiento climático (Pequeña Edad de Hielo) causó hambrunas crónicas desde 1315, debilitando biológicamente a la población europea.",¿Por qué retrocede la servidumbre después del fin de la pandemia en 1353?,La falta de mano de **Obra** otorga poder de negociación a los campesinos,La Iglesia abolió la esclavitud para dar gracias a Dios,Los señores ya no tenían dinero para pagar a sus guardias,Una **Ley** real universal liberó a todos los campesinos de Europa,La muerte del 30 al 60% de los trabajadores hizo que la mano de **Obra** fuera **Rara**. Los supervivientes pudieron exigir salarios más altos y el fin de las limitaciones feudales.,¿Cuál era el vector principal de transmisión de la peste bubónica?,La pulga de la rata negra,El agua de los pozos contaminada,El contacto directo con la piel,Las moscas domésticas,"Es la pulga **Xenopsylla cheopis**, que vive en las ratas negras, la que transmitía el bacilo Yersinia pestis al hombre por picadura tras la muerte de su huésped animal.","¿Qué autoridad intentó, sin gran éxito, proteger a los judíos de los **pogromo**s?",El papa **Clemente VI**,El rey de Francia Felipe VI,El emperador Carlos IV,El escritor **Boccaccio**,"Desde Aviñón, el papa **Clemente VI** publicó bulas pontificias afirmando la inocencia de los judíos, pero fue ampliamente ignorado por las poblaciones aterrorizadas."
7,Historia,Antigüedad y Edad Media,Juana de Arco y la Guerra de los Cien Años (1429),"¿Qué estipula el tratado de Troyes de 1420, desastroso para Francia?",Carlos VI deshereda a su propio hijo y reconoce al rey inglés como heredero legítimo de Francia,Francia cede Normandía y Aquitania a Inglaterra por 100 años,"Carlos VI abdica en favor de Enrique V, rey de Inglaterra",París es declarada capital **Común** franco-inglesa bajo gobernanza compartida,El tratado de Troyes organiza la desposesión del futuro Carlos VII (el delfín) en beneficio de la estirpe inglesa de Lancaster.,¿Qué voces dice oír Juana de Arco desde los 13 años?,"San Miguel, Santa Catalina y Santa Margarita","La Virgen María, San Juan y San Pedro","San Dionisio, patrón de Francia, y dos ángeles guardianes","Dios mismo, sin intermediario sobrenatural","Según su testimonio, estas tres figuras celestiales se le aparecieron para dictarle su misión política y militar.",¿En cuántos días levanta Juana el asedio de Orleans en mayo de 1429?,"Nueve días, mientras que el asedio duraba ya siete meses","Tres días, gracias a un ataque sorpresa nocturno","Treinta días, tras duros combates barricada por barricada","Un solo día, durante un asalto decisivo frontal",La rápida intervención de Juana permite romper el cerco de la ciudad en un tiempo récord (del 29 de abril al 8 de mayo).,¿Por qué la coronación de Carlos VII en Reims en julio de 1429 es crucial en la lógica medieval?,"El rey consagrado es rey por derecho divino, lo que invalida el argumento jurídico inglés",Legitima la cruzada contra el ocupante inglés declarada por el papa,Permite recaudar nuevos impuestos para financiar la reconquista,Convence a los aliados Borgoñones de unirse al bando francés,"La coronación aporta la unción divina, superior a cualquier tratado puramente humano (como el de Troyes) en la jerarquía del derecho medieval.",¿Cuándo es canonizada Juana de Arco por la Iglesia?,"En 1920, durante un resurgimiento nacionalista tras la Primera Guerra Mundial","En 1456, durante el proceso de revisión que anuló su condena","En 1803, por decreto de Napoleón, quien la convirtió en el símbolo de Francia","En 1431, por el papa que se opuso a su condena por la Iglesia inglesa","Aunque fue rehabilitada por el rey en 1456, no será oficialmente nombrada santa por la Iglesia católica hasta 1920."
8,Historia,Antigüedad y Edad Media,La caída de Constantinopla (1453),¿Durante cuántos días asedia Mehmed II Constantinopla antes de tomarla?,53 días,7 días,200 días,1 año,"El asedio comienza oficialmente el 2 de abril de 1453 y termina con el asalto final victorioso el 29 de mayo, es decir, una duración de 53 días.",¿Qué astucia decisiva permite a Mehmed II atacar Constantinopla desde el <Cuerno de Oro>?,Hace deslizar sus barcos sobre troncos engrasados por vía terrestre,Hace cavar un túnel bajo las <Murallas teodosianas>,Soborna a guardias que abren una puerta secreta por la noche,Utiliza submarinos primitivos para pasar bajo la cadena,"Para rodear la cadena que cerraba el puerto, el sultán hizo transportar sus barcos por tierra sobre caminos de madera engrasados a través de las colinas de Galata.",¿Cuál fue el destino inmediato de la basílica de Santa Sofía tras la toma de la ciudad?,Es convertida en mezquita por Mehmed II,Es demolida por sus materiales,Es transformada en palacio imperial,Es dejada al abandono por los conquistadores,"Mehmed II, fascinado por el esplendor del edificio, ordena su conversión inmediata en mezquita desde su entrada en la ciudad.",¿Qué vínculo existe entre la caída de Constantinopla y el <Renacimiento> italiano?,El exilio de los sabios bizantinos aporta manuscritos antiguos griegos a Italia,Los mercaderes italianos desplazan sus capitales hacia el arte para olvidar sus pérdidas,La victoria otomana impone el estilo artístico bizantino en el sur de Europa,La Iglesia católica financia a los artistas para demostrar su superioridad sobre el Islam,"La <diáspora> de los letrados bizantinos que huían de la invasión permitió el redescubrimiento de textos griegos olvidados en Occidente, estimulando el renuevo intelectual del <Renacimiento>.","¿Quién es Urban, <Personaje> clave del asedio de 1453?",Un fundidor de metales que fabricó los cañones <Gigantes> de los otomanos,Un ingeniero veneciano que traicionó al emperador bizantino,El jefe de la guardia imperial de Constantino XI,Un explorador que abrió las rutas hacia América,"Urban es el especialista en artillería que diseñó la 'Basílica', un cañón monstruoso capaz de romper los baluartes antiguos de la ciudad."
9,Historia,Antigüedad y Edad Media,El imperio azteca,¿Qué imagen divina guía a los mexicas hasta el lugar de fundación de <Tenochtitlán>?,Un águila posada sobre un cactus devorando a una serpiente,Un jaguar rugiendo sobre una piedra de jade,Una serpiente emplumada que sale de las aguas,Un cometa atravesando el cielo,"Según la leyenda, el dios Huitzilopochtli había predicho esta señal para marcar el fin de la errancia de los mexicas en 1325.","¿Qué es una chinampa, elemento central de la agricultura azteca?",Un jardín flotante artificial creado al apilar lodo lacustre entre cañas,Un sistema de irrigación por canales excavados desde las montañas,Una terraza agrícola tallada en las laderas de los volcanes,Un campo elevado protegido por diques contra las inundaciones,"Estas islas artificiales permitían una agricultura intensiva (hasta 7 cosechas/año), indispensable para alimentar a tal población.",¿Qué sistema de dominación caracteriza a El imperio azteca?,Un sistema de tributos impuesto a ciudades-Estado periféricas,Una asimilación cultural y lingüística total de los vencidos,Un gobierno centralizado con prefectos en cada pueblo,Una democracia participativa que reunía a los jefes de cada clan,"El imperio era una confederación que exigía riquezas (tributos), lo que generaba un odio profundo en los pueblos sometidos.",¿Qué factor fue el más devastador durante la caída del imperio ante los españoles?,Las epidemias de viruela traídas por los europeos,La falta de valor de los guerreros de la élite azteca,La ausencia de murallas de defensa alrededor de Tenochtitlán,El uso de globos de aire caliente por parte de los Conquistadores,"El choque biológico diezmó a las poblaciones que no tenían inmunidad, matando a más guerreros que las armas de hierro.",¿En qué año cae Tenochtitlán definitivamente en manos de Cortés?,1521,1492,1588,1325,El sitio de 80 días termina en 1521 con la destrucción casi total de la capital y el inicio de la dominación española.
