id,Titre,Description,Cours
c_4kd6x78samcf,Il Corpo Umano: dalla Guarigione alla Tecnologia,L'evoluzione del nostro rapporto con la salute e il progresso biologico.,"Come funziona un vaccino? | La struttura del DNA (Watson & Crick, 1953) | L'IA e l'occupazione | La salute mentale come sfida sociale | La scoperta della penicillina (Fleming, 1928)"
c_vblwguvnamcf,Suoni e Senso: La Scienza della Musica,Perché la musica ci tocca? Un'esplorazione tra arte e biologia.,Beethoven: genio e sordità | Perché alcuni suoni ci fanno venire i brividi? | Bach e la musica barocca | Come funziona l'elettricità nel nostro corpo? | La nascita della musica elettronica
c_fgpg15z4amcf,L'Oro Nero e l'Economia del Mondo,Comprendere come il petrolio ha plasmato la geopolitica e la scienza moderna.,Il petrolio come fonte di conflitti | Come funziona il prezzo del petrolio? | La Grande Depressione (1929) | Cos'è l'effetto serra (davvero)? | La scoperta del microonde (per caso)
c_m3308zqbamcf,Lo Spazio: l'Ultima Frontiera,La conquista del cosmo tra astrofisica e immaginario cinematografico.,Il Big Bang | Cos'è un buco nero? | Kubrick: 2001: Odissea nello spazio | La teoria della relatività per tutti | C'è vita altrove nell'Universo?
c_idrry5c5amcf,Il Tempo delle Rivolte,I grandi ribaltamenti sociali e artistici che hanno ridefinito la libertà.,"La presa della Bastiglia (1789) | La Comune di Parigi (1871) | Bob Dylan e il folk di protesta | La Libertà che guida il popolo, Delacroix | La Rivoluzione russa (1917)"
c_jbwuzn5zamcf,L'Impero della Paura,"Esplorazione dei meccanismi della paura attraverso la suspense, la scienza e le crisi mondiali.","Hitchcock e la suspense | Perché abbiamo i brividi? | La crisi dei missili di Cuba (1962) | 1984, George Orwell | L'espressionismo: Munch e L'urlo"
c_6870opqzamcf,Architettura e Potere,Come le strutture costruite riflettono le credenze e i sistemi politici.,La democrazia ateniese | L'architettura gotica: le cattedrali | Il Bauhaus | La caduta del muro di Berlino (1989) | L'incoronazione di Carlo Magno (800)
c_7etcora6amcf,Il fuoco: tra punizione divina ed energia,"Studio del fuoco attraverso la mitologia, la geologia e la storia della tecnologia.","Prometeo: il ladro di fuoco | Perché i vulcani eruttano? | Frankenstein, Mary Shelley | La transizione energetica | Fahrenheit 451, Bradbury"
c_nuv73pnuamcf,Genocidi e Memoria: Mai più,"Un'analisi storica, sociologica e giudiziaria dei crimini contro l'umanità nel XX secolo.","La Shoah: meccanismi di un genocidio | Il genocidio armeno (1915-1916) | Il genocidio ruandese (1994) | Il processo di Norimberga (1945-1946) | Guernica, Picasso"
c_tl61pxu9amcf,L'Uomo e il Mare: Miti e Realtà,Dalla schiuma dei miti greci alle sfide geopolitiche contemporanee degli oceani.,"Odissea, Omero | Moby Dick, Melville | Perché l'acqua di mare è salata? | Il Canale di Suez: perché è strategico | L'innalzamento del livello del mare"
c_9y3ap3px8kck,Donne d'eccezione: dalla scienza alla libertà,"Un percorso trasversale che onora le donne che hanno sconvolto la storia, che si tratti di grandi scoperte scientifiche, di lotte sociali o di letteratura fondatrice.","La scoperta della radioattività (Marie Curie) | Rosa Parks e Montgomery (1955) | Frankenstein, Mary Shelley | Giovanna d'Arco e la Guerra dei cent'anni (1429)"
g_mpzqlws4_0n3de,Il Panteon della Grecia Antica,Incontrate gli dei e gli eroi che hanno plasmato l'immaginario della civiltà occidentale.,"La nascita degli dei greci (Crono, Zeus, l'Olimpo) | Ercole e le sue 12 fatiche | Prometeo: il ladro di fuoco | Medusa e Perseo | Teseo e il Minotauro | La democrazia ateniese"
g_mpzqlws4_1j8bg,Le rivoluzioni scientifiche,"Dalla gravitazione al DNA, scoprite le scoperte che hanno trasformato la nostra comprensione del vivente.","La teoria della gravitazione (Newton, 1687) | La teoria dell'evoluzione di Darwin (1859) | La struttura del DNA (Watson & Crick, 1953) | La scoperta della radioattività (Marie Curie) | La teoria della relatività per tutti"
g_mpzqlws4_24n9h,Iniziazione alla storia dell'arte,Un viaggio visivo dai capolavori del Rinascimento alle rotture dell'arte astratta.,Il Rinascimento italiano | La Gioconda | Caravaggio e il chiaroscuro | La nascita dell'impressionismo | Il cubismo: Picasso e Braque | L'arte astratta: Kandinsky e Mondrian
