id,Titre,Description,Cours
c_4kd6x78samcf,The Human Body: from Healing to Technology,The evolution of our relationship with health and biological progress.,"The discovery of penicillin (Fleming, 1928) | The structure of DNA (Watson & Crick, 1953) | AI and employment | Mental health as a societal issue"
c_vblwguvnamcf,Sounds and Senses: The Science of Music,Why does Music move us? An exploration between Art and biology.,Beethoven: genius and deafness | Why do certain sounds give us chills? | Bach and Baroque music | How does electricity work in our bodies? | The birth of electronic music
c_fgpg15z4amcf,Black Gold and the Economy of the World,Understanding how oil has shaped geopolitics and modern science.,Oil as a source of conflict | How do oil prices work? | The Great Depression (1929) | What is the greenhouse effect (really)? | The discovery of the microwave (by accident)
c_m3308zqbamcf,Space: the Ultimate Frontier,The conquest of the cosmos between astrophysics and cinematic imagination.,The Big Bang | What is a black hole? | Kubrick: 2001: A Space Odyssey | The theory of relativity for everyone | Is there life elsewhere in the Universe?
c_idrry5c5amcf,The Era of Revolts,The great social and artistic shifts that redefined freedom.,"The Storming of the Bastille (1789) | The Paris Commune (1871) | Bob Dylan and protest folk | Liberty Leading the People, Delacroix | The Russian Revolution (1917)"
c_jbwuzn5zamcf,The Empire of Fear,"An exploration of the mechanisms of fear through suspense, science, and global crises.","Hitchcock and suspense | Why do we get chills? | The Cuban Missile Crisis (1962) | 1984, George Orwell | Expressionism: Munch and The Scream"
c_6870opqzamcf,Architecture and Power,How built structures reflect beliefs and systems of Politics.,Athenian democracy | Gothic architecture: cathedrals | The Bauhaus | The fall of the Berlin Wall (1989) | The coronation of Charlemagne (800)
c_7etcora6amcf,Fire: between divine punishment and energy,"A study of fire through Mythology, geology, and the History of technology.","Prometheus: the thief of fire | Why do volcanoes erupt? | Frankenstein, Mary Shelley | The energy transition | Fahrenheit 451, Bradbury"
c_nuv73pnuamcf,genocides and Memory: Never again,"A historical, sociological, and judicial analysis of crimes against humanity in the 20th century.","The Holocaust: mechanisms of a genocide | The Armenian Genocide (1915-1916) | The Rwandan genocide (1994) | The Nuremberg trials (1945-1946) | Guernica, Picasso"
c_tl61pxu9amcf,Man and the Sea: Myths and Realities,From the foam of Greek myths to contemporary geopolitical issues of the oceans.,"The Odyssey, Homer | Moby Dick, Melville | Why is seawater salty? | The Suez Canal: why it is strategic | Rising sea levels"
c_9y3ap3px8kck,Exceptional women: from science to freedom,"A transversal journey honoring the women who overturned History, whether through major scientific discoveries, social struggles, or founding Literature.","The discovery of radioactivity (Marie Curie) | Rosa Parks and Montgomery (1955) | Frankenstein, Mary Shelley | Joan of Arc and the Hundred Years' War (1429)"
g_mpzqlws4_0n3de,The Pantheon of Ancient Greece,Meet the gods and heroes who shaped the imagination of Western civilization.,"The birth of the Greek gods (Cronus, Zeus, Olympus) | Hercules and his 12 labors | Prometheus: the thief of fire | Medusa and Perseus | Theseus and the Minotaur | Athenian democracy"
g_mpzqlws4_1j8bg,Scientific revolutions,"From gravitation to DNA, discover the breakthroughs that transformed our understanding of the living.","The theory of gravitation (Newton, 1687) | Darwin's theory of evolution (1859) | The structure of DNA (Watson & Crick, 1953) | The discovery of radioactivity (Marie Curie) | The theory of relativity for everyone"
g_mpzqlws4_24n9h,Introduction to the History of Art,A visual journey from the masterpieces of the Renaissance to the ruptures of abstract Art.,The Italian Renaissance | The Mona Lisa | Caravaggio and chiaroscuro | The birth of Impressionism | Cubism: Picasso and Braque | Abstract Art: Kandinsky and Mondrian
g_mpzqlws4_382sp,Ecological challenges of the 21st century,Understanding climate issues and solutions to preserve our planet.,Rising sea levels | Climate migration | The energy transition | Why are bees vital? | The circular economy | Water: the next source of conflict? | The ozone layer hole (and its recovery)
g_mpzqlws4_4xiac,Literary dystopias,When Literature imagines the worst of all worlds to better question our present.,"1984, George Orwell | Brave New World, Aldous Huxley | Fahrenheit 451, Bradbury | Animal Farm, George Orwell | The Trial, Kafka | GAFAM: power and abuses | Disinformation and fake news"
g_mpzqlws4_5kxjr,Turning points of the World War,Dive into the heart of the decisive confrontations that marked the mid-20th century.,The Blitzkrieg (1940) | The Battle of Stalingrad (1942-1943) | Hiroshima and Nagasaki (1945) | The Holocaust: mechanisms of a genocide | The Nuremberg trials (1945-1946)
g_mpzqlws4_6mt1o,Secrets of the human brain,"Explore the fascinating mechanisms of memory, sleep, and consciousness.",Why do we dream? | How does memory work? | Why do we sleep? | Why do we yawn? | How does the brain store memories? | How does electricity work in our bodies?
g_mpzqlws4_7r1yy,History of the seventh art,Great directors and the movements that revolutionized the moving image.,Charlie Chaplin and silent cinema | Orson Welles and Citizen Kane | Hitchcock and suspense | The French New Wave | Kubrick: 2001: A Space Odyssey
g_mpzqlws4_8liwv,The odyssey of Ulysses,Follow the journey of the hero of Ithaca through myths and founding texts.,"The Odyssey, Homer | Odysseus and the Cyclops | Odysseus and the Sirens | The Iliad, Homer"
g_mpzqlws4_9zcsy,Understanding current Geopolitics,The keys to decoding power dynamics and tensions in the modern World.,"The China–United States rivalry | The war in Ukraine explained | Putin's Russia | Tensions around Taiwan | The concept of a ""multipolar"" world"
g_mpzqlws4_afvtk,Great names of the Theatre,From dramatic Greek tragedy to Shakespearian dramas.,"Greek tragedy and ancient theater | The theater of Shakespeare | Hamlet, Shakespeare | Oedipus Rex, Sophocles | Antigone, Sophocles"
g_mpzqlws4_bonja,The digital age,From The invention of the Internet to the excesses of social networks and AI.,The invention of the Internet | GAFAM: power and abuses | AI and employment | The global digital divide
g_mpzqlws4_cuig5,Splendors of the Middle Ages,"Between castles, cathedrals, and great epidemics: medieval Europe.",The coronation of Charlemagne (800) | Gothic architecture: cathedrals | The Black Death in Europe (1347-1353) | Joan of Arc and the Hundred Years' War (1429) | Urban II's call and the 1st Crusade (1095)
g_mpzqlws4_dtp66,Progress and Medicine,How science learned to heal the human body and fight viruses.,"The discovery of penicillin (Fleming, 1928) | The discovery of anesthesia | The discovery of X-rays (Röntgen, 1895) | How does soap kill viruses?"
g_mpzqlws4_exr09,The masters of music,"From the rigor of Bach to the fury of Beethoven, the evolution of harmony.",Bach and Baroque music | Mozart: child prodigy and tragic life | Beethoven: genius and deafness | Verdi's opera | The birth of electronic music
g_mpzqlws4_fit77,Struggles for freedom,Civil movements and the figures who broke the chains of oppression.,Rosa Parks and Montgomery (1955) | Apartheid and Mandela (1948-1994) | The Paris Commune (1871) | Decolonization: an overview (1945-1975) | The Storming of the Bastille (1789)
g_mpzqlws4_gcstj,Introduction to philosophy,"The great questions about the State, morality, and the human condition.","The Apology of Socrates, Plato | The Republic, Plato | The Symposium, Plato | The Myth of Sisyphus, Camus | Candide, Voltaire"
g_mpzqlws4_hlrmk,To the edges of the Universe,A journey from the birth of the cosmos to the mysteries of black holes.,The Big Bang | What is a black hole? | What is dark matter? | Is there life elsewhere in the Universe? | The theory of relativity for everyone
g_mpzqlws4_ikf6h,The inner workings of the global economy,"Understanding capital flows, crises, and new forms of work.","The Great Depression (1929) | Tax havens explained | Global debt | The platform economy [Uber, Airbnb...] | Oil as a source of conflict"
g_mpzqlws4_jwtrk,Natural phenomena explained,Discover the science behind our planet's manifestations.,Why do volcanoes erupt? | How do earthquakes form? | How does lightning form? | Why are there seasons? | Photosynthesis explained simply
