courseId,aliasTerm,canonicalDisplayTerm,classification,explanation,source
course_1_la_naissance_de_l_islam_622,bizánci és a szászánida birodalom,A bizánci és a szászánida birodalom,referenceHistorique,"Az Arab-félszigetet körülvevő két hatalom a 7. században. Bizánc (Keletrómai Birodalom) és a Szászánidák (Zoroasztriai Perzsa Birodalom) kimerítették magukat egy véget nem érő háborúban, megszabadítva az utat az arab hódítások előtt.",short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,1054-es szakadás,Az 1054-es szakadás,evenementConnexe,"Végleges szakítás a római katolikus egyház és az ortodox egyház között, a pápai hatalom és a filioque-kérdés miatt. Ez a szakadás bonyolulttá tette Bizánc és Róma viszonyát abban az időben, amikor I. Aleksziosz katonai segítséget kért.",short_form
course_2_l_appel_d_urbain_ii_et_la_1re_croisade_1,Szent Sír szószólója,A Szent Sír szószólója,concept,"A címet Godfrey of Bouillon birtokolta, aki vallási alázatból megtagadta a jeruzsálemi király címet.",short_form
course_3_la_prise_de_rome_par_les_wisigoths_410,Birodalom felosztása 395-ben,A Birodalom felosztása 395-ben,evenementConnexe,I. Theodosius halála után a Birodalmat két fia osztozta meg: Honorius nyugaton (főváros Ravenna) és Arcadius keleten (Konstantinápoly). Ez az állandó megosztottság gyengítette az inváziókra adott választ.,short_form
course_4_le_couronnement_de_charlemagne_800,Missi Dominici,A Missi Dominici,concept,"Karoling ""a mester követei"": a királyi felügyelők párban (egy püspök, egy laikus) küldték ki a helyi közigazgatás ellenőrzését és igazságszolgáltatást a császár nevében. A Karoling-kormányzat kulcsfontosságú eszköze egy hatalmas területen.",short_form
course_6_la_peste_noire_en_europe_1347_1353,olasz tengeri köztársaságok,Az olasz tengeri köztársaságok,lieuInstitution,"Genova és Velence, amelyek kereskedelmi hajói kötötték össze a Fekete-tengert Európával, voltak a járvány hordozói. 1347-ben genovai hajók vitték be a pestist Szicíliába, és terjesztették el a baktériumokat mediterrán kereskedelmi hálózataikon keresztül.",short_form
course_6_la_peste_noire_en_europe_1347_1353,zsidó pogromok (1348-1349),A zsidó pogromok (1348-1349),evenementConnexe,"A kutak megmérgezésével vádolt zsidók tízezreit mészárolták le Németországban és Franciaországban a pestisjárvány idején. VI. Kelemen pápa megvédte őket, de a lepusztult városokban alig hallották bűnbakokat keresni.",short_form
course_6_la_peste_noire_en_europe_1347_1353,zsidó pogromok,A zsidó pogromok,evenementConnexe,"A kutak megmérgezésével vádolt zsidók tízezreit mészárolták le Németországban és Franciaországban a pestisjárvány idején. VI. Kelemen pápa megvédte őket, de a lepusztult városokban alig hallották bűnbakokat keresni.",short_form
course_6_la_peste_noire_en_europe_1347_1353,Zsidó pogromok,Zsidó pogromok (1348-1349),evenementConnexe,"A kutak megmérgezésével vádolt zsidók tízezreit mészárolták le Németországban és Franciaországban a pestisjárvány idején. VI. Kelemen pápa megvédte őket, de a lepusztult városokban alig hallották bűnbakokat keresni.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,Troyes-i Szerződés (1420),A Troyes-i Szerződés (1420),evenementConnexe,"Megállapodás, amellyel VI. francia Károly megfosztja fiát, Dauphin Károlyt V. Henrik angol király javára, létrehozva a francia-angol dinasztikus uniót.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,Troyes-i Szerződés,A Troyes-i Szerződés,evenementConnexe,"Megállapodás, amellyel VI. francia Károly megfosztja fiát, Dauphin Károlyt V. Henrik angol király javára, létrehozva a francia-angol dinasztikus uniót.",short_form
course_7_jeanne_d_arc_et_la_guerre_de_cent_ans_14,Troyes-i szerződés,Troyes-i szerződés (1420),evenementConnexe,"Megállapodás, amellyel VI. francia Károly megfosztja fiát, Dauphin Károlyt V. Henrik angol király javára, létrehozva a francia-angol dinasztikus uniót.",short_form
course_8_la_chute_de_constantinople_1453,Konstantinápoly kifosztása a 4. keresztes hadjárat során,Konstantinápoly kifosztása a 4. keresztes hadjárat során (1204),evenementConnexe,"A Velence által eltérített keresztesek 1204-ben három napig kifosztották a keresztény Konstantinápolyt. Ez a trauma végleg meggyengítette Bizáncot, és megmagyarázza a bizánci bizalmatlanságot a Nyugattal szemben az 1453-as ostrom alatt.",short_form
course_8_la_chute_de_constantinople_1453,görög diaszpóra és a reneszánsz,A görög diaszpóra és a reneszánsz,referenceHistorique,"A Konstantinápolyból menekülő görög tudósok kézirataikat Itáliába vitték, döntően hozzájárulva a reneszánszhoz. Bizánc bukása paradox módon felgyorsította a Nyugat szellemi újjáéledését.",short_form
course_8_la_chute_de_constantinople_1453,bizánci jog és a római örökség,A bizánci jog és a római örökség,concept,"Konstantinápoly ezer éven át megőrizte és továbbadta a római jogot, a görög filozófiát és a keresztény teológiát. Bukása véget vetett ennek az élő folytonosságnak az ókor és a modern világ között.",short_form
course_8_la_chute_de_constantinople_1453,Konstantinápoly kifosztása a 4. keresztes hadjárat által,Konstantinápoly kifosztása a 4. keresztes hadjárat által (1204),evenementConnexe,"A Velence által eltérített keresztesek 1204-ben három napig kifosztották a keresztény Konstantinápolyt. Ez a trauma végleg meggyengítette Bizáncot, és megmagyarázza a bizánci bizalmatlanságot a Nyugattal szemben az 1453-as ostrom alatt.",short_form
course_10_la_decouverte_de_l_amerique_1492,A spanyol reconquista,A spanyol reconquista (1492),evenementConnexe,"Granada elfoglalásának diadala erőforrásokat szabadított fel, és lendületet adott a nemzeti ambíciónak, ami megmagyarázza Kasztíliai Izabella Kolumbusz támogatását.",short_form
course_10_la_decouverte_de_l_amerique_1492,spanyol reconquista (1492),A spanyol reconquista (1492),evenementConnexe,"Granada elfoglalásának diadala erőforrásokat szabadított fel, és lendületet adott a nemzeti ambíciónak, ami megmagyarázza Kasztíliai Izabella Kolumbusz támogatását.",short_form
course_10_la_decouverte_de_l_amerique_1492,Tordesillasi békeszerződés,Tordesillasi békeszerződés (1494),evenementConnexe,"A pápa által választott megállapodás, amely a világot két befolyási övezetre osztja Spanyolország (nyugat) és Portugália (kelet) között.",short_form
course_10_la_decouverte_de_l_amerique_1492,spanyol Reconquista,A spanyol Reconquista,evenementConnexe,"Granada elfoglalásának diadala erőforrásokat szabadított fel, és lendületet adott a nemzeti ambíciónak, ami megmagyarázza Kasztíliai Izabella Kolumbusz támogatását.",short_form
course_10_la_decouverte_de_l_amerique_1492,Spanyol Reconquista,Spanyol Reconquista (1492),evenementConnexe,"Granada elfoglalásának diadala erőforrásokat szabadított fel, és lendületet adott a nemzeti ambíciónak, ami megmagyarázza Kasztíliai Izabella Kolumbusz támogatását.",short_form
course_10_la_decouverte_de_l_amerique_1492,tordesillasi békeszerződés,A tordesillasi békeszerződés,evenementConnexe,"A pápa által választott megállapodás, amely a világot két befolyási övezetre osztja Spanyolország (nyugat) és Portugália (kelet) között.",short_form
course_10_la_decouverte_de_l_amerique_1492,Tordesillasi szerződés,Tordesillasi szerződés (1494),evenementConnexe,"A pápa által választott megállapodás, amely a világot két befolyási övezetre osztja Spanyolország (nyugat) és Portugália (kelet) között.",short_form
course_11_la_prise_de_la_bastille_1789,letre de cachet,A letre de cachet,concept,"Királyi bebörtönzés tárgyalás és magyarázat nélkül, a király aláírásával. A Bastille ezt a királyi önkényt szimbolizálta, annak ellenére, hogy 1789 júliusában még csak 7 fogoly volt benne – értéke pusztán szimbolikus volt.",short_form
course_11_la_prise_de_la_bastille_1789,nagy félelem,A nagy félelem,evenementConnexe,"A pánik és a parasztlázadás hulláma, amely 1789 júliusa és augusztusa között terjedt el a francia vidéken, és az uradalmi feljegyzések megsemmisüléséhez vezetett.",short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,1805. október 21.,A trafalgari csata (1805. október 21.),evenementConnexe,"Nelson döntő haditengerészeti győzelme a francia-spanyol flotta felett, ugyanazon a héten, mint Ulm. Véget vetett az Anglia megszállására irányuló terveknek, és megmagyarázza, hogy Napóleon miért nem tudta soha legyőzni a brit tengeri hatalmat.",short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,trafalgari csata (1805. október 21.),A trafalgari csata (1805. október 21.),evenementConnexe,"Nelson döntő haditengerészeti győzelme a francia-spanyol flotta felett, ugyanazon a héten, mint Ulm. Véget vetett az Anglia megszállására irányuló terveknek, és megmagyarázza, hogy Napóleon miért nem tudta soha legyőzni a brit tengeri hatalmat.",short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,kontinentális rendszer,A kontinentális rendszer,concept,"A napóleoni gazdaságpolitika (1806) megtiltotta az összes európai kereskedelmet Angliával, hogy gazdaságilag tönkretegye azt. Tökéletlen alkalmazása arra kényszerítette Napóleont, hogy megtámadja az Ibériai-félszigetet, majd Oroszországot.",short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,trafalgari csata,A trafalgari csata,evenementConnexe,"Nelson döntő haditengerészeti győzelme a francia-spanyol flotta felett, ugyanazon a héten, mint Ulm. Véget vetett az Anglia megszállására irányuló terveknek, és megmagyarázza, hogy Napóleon miért nem tudta soha legyőzni a brit tengeri hatalmat.",short_form
course_12_la_strategie_de_napoleon_a_ulm_1805,Trafalgari csata,Trafalgari csata (1805. október 21.),evenementConnexe,"Nelson döntő haditengerészeti győzelme a francia-spanyol flotta felett, ugyanazon a héten, mint Ulm. Véget vetett az Anglia megszállására irányuló terveknek, és megmagyarázza, hogy Napóleon miért nem tudta soha legyőzni a brit tengeri hatalmat.",short_form
course_13_la_bataille_de_waterloo_1815,bécsi kongresszus,A bécsi kongresszus,evenementConnexe,"Az európai hatalmak találkozója a Napóleon utáni rend újjáépítésére. Átrajzolta Európa térképét, helyreállította a monarchiákat, és létrehozta az ""Európai Koncertet"", amely közel egy évszázadon át fenntartotta a viszonylagos békét.",short_form
course_14_la_commune_de_paris_1871,francia-porosz háború (1870-1871),A francia-porosz háború (1870-1871),evenementConnexe,A III. Napóleon által kiváltott konfliktus a Sedannál elszenvedett megsemmisítő vereséggel és a császár elfogásával végződött. A megalázó kapituláció és Párizs ostroma megteremtette a táptalajt a kommün számára.,short_form
course_14_la_commune_de_paris_1871,Első Nemzetközi,A Nemzetközi Dolgozók Szövetsége (Első Nemzetközi),lieuInstitution,"Az 1864-ben Londonban alapított szervezet, amely több ország szakszervezeteit és munkáspártjait tömöríti. Bár a Kommün nem volt közvetlen munkája, Marx a munkáshatalom első megtapasztalásaként ünnepelte.",short_form
