# História
"ID",Matière,Sous-catégorie,Titre,QCM1 — Question,QCM1 — ✅ Bonne réponse,QCM1 — ❌ Mauvaise 1,QCM1 — ❌ Mauvaise 2,QCM1 — ❌ Mauvaise 3,QCM1 — Explication,QCM2 — Question,QCM2 — ✅ Bonne réponse,QCM2 — ❌ Mauvaise 1,QCM2 — ❌ Mauvaise 2,QCM2 — ❌ Mauvaise 3,QCM2 — Explication,QCM3 — Question,QCM3 — ✅ Bonne réponse,QCM3 — ❌ Mauvaise 1,QCM3 — ❌ Mauvaise 2,QCM3 — ❌ Mauvaise 3,QCM3 — Explication,QCM4 — Question,QCM4 — ✅ Bonne réponse,QCM4 — ❌ Mauvaise 1,QCM4 — ❌ Mauvaise 2,QCM4 — ❌ Mauvaise 3,QCM4 — Explication,QCM5 — Question,QCM5 — ✅ Bonne réponse,QCM5 — ❌ Mauvaise 1,QCM5 — ❌ Mauvaise 2,QCM5 — ❌ Mauvaise 3,QCM5 — Explication
1,História,Antiguidade & Idade Média,O nascimento do Islã (622),O que representa a Hégira (622) na história e no calendário islâmicos?,"A partida de Muhammad de Meca para Medina, marcando o ano 1 do calendário.",O nascimento de Muhammad em Meca.,A vitória final de Muhammad e a quebra dos ídolos da Kaaba.,A primeira revelação recebida por Muhammad na gruta de Hira.,"A Hégira designa a emigração da comunidade muçulmana para Medina em 622, evento fundador escolhido como ponto de partida da era islâmica.",Qual era o papel da Kaaba antes da conquista de Meca pelos muçulmanos?,Um santuário politeísta que abrigava centenas de ídolos tribais.,Uma igreja bizantina dedicada à Virgem Maria.,Um simples entreposto de mercadorias para as caravanas dos Coraixitas.,A sede oficial do governo do Império Sassânida na Arábia.,"Antes do islã, a Kaaba era o centro de um culto politeísta onde as tribos árabes depositavam seus ídolos e realizavam peregrinações lucrativas.",Qual foi a estratégia política de Muhammad durante a tomada de Meca em 630?,"Um perdão geral concedido aos seus antigos perseguidores, apesar do seu exército de 10 000 homens.",A execução sistemática de todos os membros da tribo dos Coraixitas.,A destruição total da cidade para reconstruir uma nova capital.,O exílio forçado de todos os habitantes que se recusassem a converter-se imediatamente.,"Muhammad optou pela clemência política ao proclamar um perdão geral, o que facilitou a adesão massiva das tribos árabes ao islã.",O que é a Constituição de Medina redigida por Muhammad?,"Um édito que organizava a coexistência entre os clãs muçulmanos, judeus e politeístas.",A primeira compilação escrita dos versículos do Alcorão.,Um manual de táticas militares para as razias.,Um tratado de paz assinado entre a Arábia e o Império Bizantino.,"Redigida pouco depois da Hégira, ela define os direitos e deveres dos diferentes grupos do oásis, criando o Conceito de Oumma.",Qual estatuto jurídico permitia aos não-muçulmanos monoteístas praticar a sua fé?,"A Dhimma, mediante o pagamento do imposto da jizya.","A Hégira, que impunha a conversão imediata sob pena de morte.","A jihad, que garantia a igualdade fiscal absoluta entre todos.","A razia, que protegia os bens dos cidadãos romanos do Oriente.",A Dhimma é o estatuto de 'protegido' que autorizava o 'Povo do Livro' a conservar o seu culto em troca de uma taxa de proteção chamada jizya.
2,História,Antiguidade & Idade Média,O apelo de Urbano II e a 1ª Cruzada (1095),Qual batalha de 1071 provoca a ameaça seljúcida sobre o Império Bizantino?,A Batalha de Manziquerta,A batalha de Lepanto,A batalha de Hattin,A batalha de Antioquia,"Em 1071, os Turcos Seljúcidas esmagam os Bizantinos em Manziquerta, o que leva o imperador Aleixo I Comneno a pedir ajuda ao papa.",Que recompensa espiritual Urbano II promete àqueles que partem em cruzada?,A indulgência plenária,A canonização imediata,O título de cavaleiro do Templo,A nomeação como bispo,"A Indulgência plenária prometia aos cruzados a remissão total das penas temporais devidas aos seus pecados, um imenso motor espiritual na época.",Qual grito a multidão lança espontaneamente durante o discurso de Clermont?,« Deus o quer! »,« Pela cruz! »,« Morte aos Turcos! »,« Roma o ordena! »,O grito 'Deus vult' (Deus o quer) tornou-se o slogan de união dos cruzados após o apelo de Urbano II em 1095.,Quem chefiava a 'Cruzada dos pobres' que precedeu a dos senhores?,"Pedro, o Eremita",Godofredo de Bulhão,Boemundo de Taranto,Balduíno de Bulhão,"Pedro, o Eremita era um pregador popular que liderou uma multidão desorganizada de pessoas do povo antes da partida da nobreza militar.",Que título escolheu Godofredo de Bulhão após a tomada de Jerusalém em 1099 ?,Defensor do Santo Sepulcro,Rei de Jerusalém,Califa do Oriente,Imperador latino,"Por humildade cristã, Godofredo recusou o título de rei na cidade onde Cristo havia morrido, preferindo um título de protetor leigo da igreja."
3,História,Antiguidade & Idade Média,A tomada de Roma pelos Visigodos (410),Há quanto tempo Roma não era tomada por um inimigo aquando do saque de 410 ?,800 anos,100 anos,300 anos,1 200 anos,"A última tomada de Roma remontava à invasão dos Gauleses de Breno em 390 a.C., ou seja, cerca de 800 anos de santuarização da cidade.",Por que razão Alarico ordena que se poupem as basílicas cristãs durante o saque ?,Porque ele próprio é cristão de confissão ariana,Porque teme a maldição dos deuses romanos,Porque assinou um acordo secreto com o imperador Honório,Porque os seus soldados são maioritariamente católicos,"Alarico e os Visigodos eram cristãos arianos (um ramo então considerado herético por Roma, mas cristão), o que explica o seu respeito pelos locais de culto.",Que grande Obra escreveu Santo Agostinho para responder às críticas pagãs após 410 ?,«A Cidade de Deus»,«As Confissões»,«A Regra de São Bento»,«O Discurso sobre a queda do Ocidente»,"Nesta obra, Agostinho explica que a queda do poder terrestre (Roma) não acarreta a da fé cristã (a cidade celeste).",Onde se situava a capital administrativa do Ocidente no momento do saque de 410 ?,Ravena,Roma,Milão,Constantinopla,"O imperador Honório tinha escolhido Ravena em 402 para a sua segurança, abandonando Roma que já não passava de uma capital simbólica.",Qual Evento marca oficialmente o fim do Império Romano do Ocidente em 476 ?,A deposição de Rômulo Augusto por Odoacro,A morte de Alarico na Calábria,O saque destruidor dos Vândalos,A invasão dos Huns de Átila,"Em 476, Odoacro depõe o último imperador e envia as insígnias de volta para Constantinopla, marcando o fim da autoridade imperial no Ocidente."
4,História,Antiguidade & Idade Média,A coroação de Carlos Magno (800),Qual foi a principal característica da guerra contra os Saxões travada por Carlos Magno ?,Uma luta de trinta anos misturando repressão militar e conversão religiosa forçada,Uma série de emboscadas defensivas para proteger os Pirenéus,Uma aliança diplomática visando integrar pacificamente os povos germânicos,Uma cruzada relâmpago de três anos apoiada pelo Império Bizantino,A guerra contra os Saxões durou de 772 a 804 e foi marcada por uma vontade de unificação política e religiosa sob coação.,Qual foi o papel fundamental de Alcuíno de York no seio do Império Carolíngio ?,Dirigir a escola palatina e impulsionar um renascimento cultural e educativo,Comandar os exércitos imperiais durante a batalha de Roncesvales,Negociar as cláusulas territoriais do futuro tratado de Verdun,Servir como embaixador permanente junto ao imperador de Constantinopla,"Alcuíno era o principal sábio da corte, responsável pela reforma do ensino e pela preservação dos textos antigos.","Por que razão a coroação de 800 poderá ter desagradado a Carlos Magno, segundo certas fontes ?",O gesto do papa parecia colocar o poder da Igreja acima do poder do soberano,Ele receava que o ouro da coroa fosse visto como uma despesa inútil,Ele não desejava ostentar um título associado à antiga Roma pagã,A sagração obrigava-o contratualmente a ceder as suas terras aos Lombardo,"Ao colocar a coroa, o Papa afirmava o seu papel de distribuidor do poder, criando um precedente de superioridade do espiritual sobre o temporal.",Que inovação gráfica da época carolíngia ainda utilizamos hoje?,"A escrita carolina, antepassada das nossas letras minúsculas",Os algarismos romanos na sua forma cursiva simplificada,O sistema de notação musical numa pauta de cinco linhas,Os caracteres góticos utilizados nos atos administrativos,"A escrita carolina foi criada para uniformizar os textos administrativos e religiosos, tornando-se a base da tipografia moderna.",Que consequência maior decorre do Tratado de Verdun em 843?,"A divisão do império em três reinos, prefigurando a França e a Alemanha",A unificação definitiva da Europa sob uma moeda única,O fim das incursões vikings graças a uma defesa Comum reforçada,A transferência da capital imperial de Aachen para Roma,"O tratado de Verdun decreta o nascimento da Francia occidentalis e da Francia orientalis, antepassadas respetivas da França e da Alemanha."
5,História,Antiguidade & Idade Média,A Magna Carta (1215),Que província francesa João Sem-Terra perde face a Filipe II Augusto em 1204?,A Normandia,A Aquitânia,A Bretanha,A Gasconha,A perda da Normandia em 1204 é o Evento desencadeador da crise financeira e política que levará à revolta dos barões.,Onde João Sem-Terra coloca o seu selo na A Magna Carta em 15 de junho de 1215?,"Em Runnymede, um prado à beira do Tamisa","Em Westminster, na grande sala do palácio real","Em Cantuária, na presença do arcebispo Langton","Em Londres, após a tomada da cidade pelos barões rebeldes",Runnymede foi escolhida como terreno neutro entre o castelo real de Windsor e o acampamento dos rebeldes.,"O que estipula a cláusula 39 da A Magna Carta, uma das mais importantes?",A proibição de aprisionar um homem livre sem julgamento legal dos seus pares,A abolição imediata da servidão em todo o reino,A liberdade total de culto para todas as religiões,O direito de voto universal para todos os súditos ingleses,A cláusula 39 estabelece o princípio do 'due process': ninguém pode ser condenado ou despojado sem um processo justo de acordo com a Lei.,Que destino imediato teve a Magna Carta após a sua assinatura em 1215?,É anulada pelo papa Inocêncio III logo no mês de agosto,É aplicada rigorosamente durante todo o reinado de João,É queimada pelos barões insatisfeitos logo no dia seguinte,Torna-se a base da primeira República inglesa,"João Sem Terra denunciou o texto logo que pôde, obtendo a sua anulação pelo papado, o que provocou a Guerra dos Barões.",Por que razão o reinado de Henrique III (sucessor de João) é crucial para a Carta?,"Ele reedita-a e confirma-a, ancorando-a duradouramente no direito",Ele decide suprimi-la definitivamente,Ele utiliza-a para declarar guerra à França,Ele redige uma versão em inglês para o povo,"Ao reeditar a Carta para estabilizar o seu poder, o jovem Henrique III faz dela uma referência legislativa permanente em vez de um simples tratado de paz efémero."
6,História,Antiguidade & Idade Média,A Peste Negra na Europa (1347-1353),Por qual porto a Peste Negra entra oficialmente na Europa em outubro de 1347?,Messina (Sicília),Marselha (França),Veneza (Itália),Génova (Itália),"A epidemia chega através de doze galés genovesas provenientes da Crimeia que atracam em Messina em outubro de 1347, marcando o início da propagação europeia.",Qual Evento climático favoreceu a mortalidade elevada antes da chegada do bacilo?,O Pequena Idade do Gelo,Uma canícula ariana,Um sismo de grande magnitude na Itália,Um tornado gigante sobre Messina,"O arrefecimento climático (Pequena Idade do Gelo) causou fomes crónicas desde 1315, enfraquecendo biologicamente a população europeia.",Porque é que a servidão recua após o fim da pandemia em 1353 ?,A falta de mão de **Obra** dá um poder de negociação aos camponeses,A Igreja aboliu a escravatura para agradecer a Deus,Os senhores já não tinham dinheiro para pagar aos seus guardas,Uma **Lei** real universal libertou todos os camponeses da Europa,A morte de 30 a 60% dos trabalhadores tornou a mão de **Obra** **Rara**. Os sobreviventes puderam exigir salários mais elevados e o fim das restrições feudais.,Qual era o principal vetor de transmissão da peste bubónica ?,A pulga do rato preto,A água dos poços contaminada,O contacto direto com a pele,As moscas domésticas,"É a pulga **Xenopsylla cheopis**, que vivia nos ratos pretos, que transmitia o bacilo Yersinia pestis ao homem através da picada após a morte do seu hospedeiro animal.","Que autoridade tentou, sem grande sucesso, proteger os judeus dos **pogrom**s ?",O papa **Clemente VI**,O rei de França Filipe VI,O imperador Carlos IV,O escritor **Boccaccio**,"A partir de Avignon, o papa **Clemente VI** publicou bulas pontifícias afirmando a inocência dos judeus, mas foi amplamente ignorado pelas populações aterrorizadas."
7,História,Antiguidade & Idade Média,Joana d'Arc e a Guerra dos Cem Anos (1429),"O que estipula o tratado de Troyes de 1420, desastroso para a França ?",Carlos VI deserdou o seu próprio filho e reconheceu o rei inglês como herdeiro legítimo de França,A França cede a Normandia e a Aquitânia à Inglaterra por 100 anos,"Carlos VI abdica em favor de Henrique V, rei de Inglaterra",Paris é declarada capital **Comum** franco-inglesa sob governação partilhada,O tratado de Troyes organiza a despossessão do futuro Carlos VII (o delfim) em proveito da linhagem inglesa lancastriana.,Que vozes diz **Joana d'Arc** ouvir desde os 13 anos ?,"São Miguel, Santa Catarina e Santa Margarida","A Virgem Maria, São João e São Pedro","São Denis, padroeiro da França, e dois anjos da guarda","O próprio Deus, sem intermediário sobrenatural","Segundo o seu testemunho, estas três figuras celestiais apareceram-lhe para lhe ditar a sua missão política e militar.",Em quantos dias Joana d'Arc levanta o cerco de Orleães em maio de 1429?,"Nove dias, embora o cerco durasse há sete meses","Três dias, graças a um ataque surpresa noturno","Trinta dias, após duros combates barricada por barricada","Um único dia, durante um assalto decisivo frontal",A intervenção rápida de Joana permite quebrar o cerco da cidade num tempo recorde (de 29 de abril a 8 de maio).,"Porque é que a coroação de Carlos VII em Reims, em julho de 1429, é crucial na lógica medieval?","O rei sagrado é rei por direito divino, o que torna caduco o argumento jurídico inglês",Legitima a cruzada contra o ocupante inglês declarada pelo Papa,Permite lançar novos impostos para financiar a reconquista,Convence os aliados Borguinhões a juntarem-se ao campo francês,"A coroação traz a unção divina, superior a qualquer tratado puramente humano (como o de Troyes) na hierarquia do direito medieval.",Quando é que Joana d'Arc é canonizada pela Igreja?,"Em 1920, durante um ressurgimento nacionalista após a Primeira Guerra Mundial","Em 1456, durante o processo de revisão que anulou a sua condenação","Em 1803, por decreto de Napoleão que fez dela o símbolo da França","Em 1431, pelo Papa que se opôs à sua condenação pela Igreja inglesa","Embora reabilitada pelo rei em 1456, só será oficialmente declarada santa pela Igreja Católica em 1920."
8,História,Antiguidade & Idade Média,A queda de Constantinopla (1453),Durante quantos dias Mehmed II cerca Constantinopla antes de a tomar?,53 dias,7 dias,200 dias,1 ano,"O cerco começa oficialmente a 2 de abril de 1453 e termina com o assalto final vitorioso a 29 de maio, ou seja, uma duração de 53 dias.",Que astúcia decisiva permite a Mehmed II atacar Constantinopla a partir do Corno de Ouro ?,Ele faz deslizar os seus navios sobre troncos lubrificados por via terrestre,Ele manda cavar um túnel sob as Muralhas teodosianas,Ele corrompe guardas que abrem uma porta secreta à noite,Ele utiliza submarinos primitivos para passar por baixo da corrente,"Para contornar a corrente que fechava o porto, o sultão mandou transportar os seus navios por terra sobre caminhos de madeira lubrificados através das colinas de Galata.",Qual foi o destino imediato da basílica de Santa Sofia após a tomada da cidade ?,Ela é convertida em mesquita por Mehmed II,Ela é demolida para aproveitar os seus materiais,Ela é transformada em palácio imperial,Ela é deixada ao abandono pelos conquistadores,"Mehmed II, fascinado pelo esplendor do edifício, ordena a sua conversão imediata em mesquita logo após a sua entrada na cidade.",Que ligação existe entre a queda de Constantinopla e o Renascimento italiano ?,O exílio dos sábios bizantinos traz manuscritos gregos antigos para a Itália,Os mercadores italianos deslocam os seus capitais para a arte para esquecer as suas perdas,A vitória otomana impõe o estilo artístico bizantino no sul da Europa,A Igreja Católica financia os artistas para provar a sua superioridade sobre o Islão,"A diáspora dos literatos bizantinos que fugiam da invasão permitiu a redescoberta de textos gregos esquecidos no Ocidente, estimulando o renovo intelectual do Renascimento.","Quem é Urban, Personagem chave do cerco de 1453 ?",Um fundidor de metais que fabricou os canhões Gigantes dos otomanos,Um engenheiro veneziano que traiu o imperador bizantino,O chefe da guarda imperial de Constantino XI,Um explorador que abriu as rotas para a América,"Urban é o especialista em artilharia que concebeu a 'Basílica', um canhão monstruoso capaz de quebrar as muralhas antigas da cidade."
9,História,Antiguidade & Idade Média,O império asteca,Que imagem divina guia os Mexicas até ao local de fundação de Tenochtitlán ?,Uma águia pousada sobre um cacto devorando uma serpente,Um jaguar rugindo sobre uma pedra de jade,Uma serpente emplumada saindo das águas,Um cometa cruzando o céu,"Segundo a lenda, o deus Huitzilopochtli tinha previsto este sinal para marcar o fim da errância dos Mexica em 1325.","O que é uma chinampa, elemento central da agricultura asteca?",Um jardim flutuante artificial criado ao empilhar lama lacustre entre juncos,Um sistema de irrigação por canais cavados a partir das montanhas,Uma terraço agrícola esculpido nas encostas dos vulcões,Um campo elevado protegido por diques contra as inundações,"Estas ilhas artificiais permitiam uma agricultura intensiva (até 7 colheitas/ano), indispensável para alimentar tal população.",Qual sistema de dominação caracteriza o império asteca?,Um sistema de tributos imposto a cidades-Estado periféricas,Uma assimilação cultural e linguística total dos vencidos,Um governo centralizado com prefeitos em cada aldeia,Uma democracia participativa reunindo os chefes de cada clã,"O império era uma confederação que exigia riquezas (tributos), o que gerava um ódio profundo entre os povos submetidos.",Qual fator foi o mais devastador durante a queda do império frente aos espanhóis?,As epidemias de varíola trazidas pelos europeus,A falta de coragem dos guerreiros da elite asteca,A ausência de muros de defesa ao redor de Tenochtitlán,A utilização de balões de ar quente pelos Conquistadores,"O choque biológico dizimou as populações que não tinham nenhuma imunidade, matando mais guerreiros do que as armas de ferro.",Em que ano Tenochtitlán cai definitivamente nas mãos de Cortés?,1521,1492,1588,1325,O cerco de 80 dias termina em 1521 com a destruição quase total da capital e o início da dominação espanhola.
